episode,success,fell,timed_out,return,steps,max_riser,completion_fraction,minimum_cbf_h,intervention_count,intervention_per_riser,correction_mean,correction_max,would_intervene_count,would_intervene_per_riser,counterfactual_correction_mean,counterfactual_correction_max,mean_abs_centerline_error,max_abs_centerline_error,max_abs_heading_error,minimum_root_edge_clearance,minimum_foot_edge_clearance,operator_correction_fraction,side_edge_breach
29,True,False,False,10.122573852539062,502,9,1.0,-0.14930450916290283,0,0.0,5.988560047853753e-08,2.731491406393616e-07,1,0.1111111119389534,0.00023115880321711302,0.11601182818412781,0.09366791695356369,0.2738419771194458,1.0463752746582031,0.92615807056427,0.7895267009735107,0.9920319318771362,False
30,True,False,False,10.435874938964844,504,9,1.0,-0.14650315046310425,0,0.0,5.923043033817521e-08,2.5001111225719796e-07,4,0.4444444477558136,0.00033438345417380333,0.061280056834220886,0.12359948456287384,0.43449461460113525,1.3229655027389526,0.7655054330825806,0.6645053625106812,0.9702381491661072,False
31,True,False,False,9.272113800048828,506,9,1.0,-0.13601469993591309,0,0.0,6.112318118312032e-08,2.7680184189193824e-07,2,0.2222222238779068,0.0003810327616520226,0.09955136477947235,0.19300846755504608,0.6825258731842041,2.1462302207946777,0.5174741744995117,0.48749518394470215,1.0,False
32,True,False,False,10.97446346282959,519,9,1.0,-0.14819258451461792,0,0.0,5.829167193383e-08,2.640640275330952e-07,0,0.0,5.829167193383e-08,2.640640275330952e-07,0.21862253546714783,0.45847609639167786,1.3511240482330322,0.7415239810943604,0.6504583358764648,0.9980732202529907,False
33,True,False,False,11.28863525390625,521,9,1.0,-0.057800374925136566,0,0.0,5.6904998047002664e-08,2.414263917671633e-07,5,0.5555555820465088,0.0008930085459724069,0.21609336137771606,0.21944108605384827,0.5631202459335327,1.463687777519226,0.6368798017501831,0.5450283885002136,0.9942418336868286,False
34,True,False,False,9.995658874511719,522,9,1.0,-0.08406579494476318,0,0.0,5.945399550455477e-08,2.408797001862695e-07,10,1.1111111640930176,0.0017464554402977228,0.22182443737983704,0.17923162877559662,0.32847920060157776,1.1453983783721924,0.8715208768844604,0.7471630573272705,1.0,False
35,True,False,False,10.133123397827148,529,9,1.0,-0.06578350067138672,0,0.0,5.957182125371219e-08,2.480676926097658e-07,5,0.5555555820465088,0.0011923088459298015,0.5066050887107849,0.08134736865758896,0.2519189417362213,1.139793872833252,0.9480811357498169,0.8410197496414185,0.9773157238960266,False
36,True,False,False,10.741796493530273,531,9,1.0,-0.10493028163909912,0,0.0,5.719885010080361e-08,2.5507358714094153e-07,9,1.0,0.0013319436693564057,0.22785544395446777,0.06566343456506729,0.12258093059062958,0.8334149122238159,1.0774191617965698,0.9338991641998291,0.9924670457839966,False
37,True,False,False,10.462273597717285,531,9,1.0,-0.07245583832263947,0,0.0,6.093801374618124e-08,2.465737054535566e-07,3,0.3333333432674408,0.00031636349740438163,0.07847017049789429,0.2595953047275543,0.5539047122001648,1.3443776369094849,0.646095335483551,0.4964321255683899,0.9981167316436768,False
38,True,False,False,10.058696746826172,532,9,1.0,-0.0963430404663086,0,0.0,5.938608182987082e-08,2.4756380412327417e-07,11,1.2222222089767456,0.0020907926373183727,0.18656368553638458,0.1285703182220459,0.2766275703907013,1.2057785987854004,0.9233725070953369,0.8213874101638794,0.9924812316894531,False
39,True,False,False,11.487029075622559,533,9,1.0,-0.1468888521194458,0,0.0,6.044002276439642e-08,2.666186276201188e-07,6,0.6666666865348816,0.0009171986603178084,0.23616313934326172,0.13281378149986267,0.3988124132156372,1.2608492374420166,0.8011876344680786,0.6965754628181458,0.998123824596405,False
40,True,False,False,10.399378776550293,535,9,1.0,-0.09358879923820496,0,0.0,5.748949050143892e-08,2.6656007889869215e-07,7,0.7777777910232544,0.0014481149846687913,0.39729100465774536,0.07001425325870514,0.13911740481853485,1.2319514751434326,1.0608826875686646,0.9455373883247375,0.9981308579444885,False
41,True,False,False,7.476048469543457,537,9,1.0,-0.14789298176765442,0,0.0,6.049518930240083e-08,2.7232866273152467e-07,5,0.5555555820465088,0.0003821992431767285,0.09299039840698242,0.34346237778663635,1.0558106899261475,2.63879132270813,0.14418935775756836,0.13453400135040283,0.994413435459137,False
42,True,False,False,8.973702430725098,537,9,1.0,-0.14580529928207397,0,0.0,6.01767169428058e-08,2.633124154272082e-07,2,0.2222222238779068,0.0005627966020256281,0.1755657196044922,0.15219534933567047,0.31517037749290466,0.6108850836753845,0.8848296403884888,0.7327313423156738,0.9497206807136536,False
43,True,False,False,9.41146183013916,540,9,1.0,-0.13301396369934082,0,0.0,6.378577666055207e-08,2.5680196813482326e-07,6,0.6666666865348816,0.0005589527427218854,0.12306078523397446,0.15074166655540466,0.34734222292900085,1.3146506547927856,0.8526577949523926,0.6659715175628662,0.9981481432914734,False
44,True,False,False,8.406371116638184,540,9,1.0,-0.06276988983154297,0,0.0,6.231127969158479e-08,2.683243565115845e-07,7,0.7777777910232544,0.0009673357126303017,0.1481359899044037,0.1625846028327942,0.593967854976654,1.7605271339416504,0.6060321927070618,0.49440693855285645,0.9925925731658936,False
45,True,False,False,10.18608283996582,541,9,1.0,-0.14688065648078918,0,0.0,6.08397314749709e-08,2.413114259525173e-07,7,0.7777777910232544,0.0007859108154661953,0.13273830711841583,0.22143909335136414,0.419498085975647,1.1164076328277588,0.7805019617080688,0.6540984511375427,1.0,False
46,True,False,False,10.891975402832031,542,9,1.0,-0.13066446781158447,0,0.0,5.7869577574365394e-08,2.5003885184560204e-07,15,1.6666666269302368,0.0025482045020908117,0.26587337255477905,0.19304604828357697,0.48594555258750916,1.3636715412139893,0.7140544652938843,0.5922107100486755,0.9926199316978455,False
47,True,False,False,9.855439186096191,552,9,1.0,-0.11959922313690186,0,0.0,6.062540336415623e-08,2.3912329538688937e-07,14,1.5555555820465088,0.0017479087691754103,0.13506770133972168,0.3229357600212097,0.5781459212303162,1.466593623161316,0.6218541264533997,0.514582097530365,0.9981884360313416,False
48,True,False,False,10.123916625976562,553,9,1.0,-0.05391348898410797,0,0.0,5.957011595114636e-08,2.4222981664934196e-07,7,0.7777777910232544,0.0011123183649033308,0.17917823791503906,0.20032812654972076,0.658768355846405,1.5909565687179565,0.5412316918373108,0.4492318034172058,0.9873418211936951,False
49,True,False,False,8.867361068725586,557,9,1.0,-0.11993658542633057,0,0.0,6.380736294886447e-08,2.7678305514200474e-07,5,0.5555555820465088,0.0005322076613083482,0.09821265190839767,0.6676387786865234,1.032679557800293,1.5916107892990112,0.16732048988342285,0.03913259506225586,0.9982047080993652,False
50,True,False,False,10.156264305114746,560,9,1.0,-0.04778435826301575,0,0.0,5.999975627446474e-08,2.4811663479340496e-07,17,1.888888955116272,0.002860879059880972,0.2649511396884918,0.1530786007642746,0.24472926557064056,1.2617238759994507,0.9552707672119141,0.8531376123428345,0.9982143044471741,False
51,True,False,False,10.516641616821289,566,9,1.0,-0.10202598571777344,0,0.0,6.159535814731498e-08,2.6656007889869215e-07,8,0.8888888955116272,0.0011298968456685543,0.17808201909065247,0.4322318434715271,0.8313589096069336,1.6219948530197144,0.3686411380767822,0.2535567283630371,1.0,False
52,True,False,False,10.798582077026367,566,9,1.0,-0.13288915157318115,0,0.0,5.876850650565757e-08,2.5474184894846985e-07,11,1.2222222089767456,0.0018296991474926472,0.20790138840675354,0.18958711624145508,0.48894596099853516,1.271517276763916,0.7110540866851807,0.5829437971115112,0.9929328560829163,False
53,True,False,False,10.996642112731934,567,9,1.0,-0.12295380234718323,0,0.0,6.178355960173576e-08,2.74157059720892e-07,9,1.0,0.0016473936848342419,0.26587796211242676,0.3717859387397766,0.7531077861785889,1.7077082395553589,0.44689226150512695,0.342085599899292,0.9999999403953552,False
54,True,False,False,10.27283000946045,576,9,1.0,-0.14632785320281982,0,0.0,6.08604295848636e-08,2.76375374141935e-07,13,1.4444444179534912,0.0020993738435208797,0.47145339846611023,0.4599528908729553,0.9887279272079468,1.9857633113861084,0.21127212047576904,0.12184429168701172,0.9982638955116272,False
55,True,False,False,10.748077392578125,576,9,1.0,-0.0868227481842041,0,0.0,6.006721520179781e-08,2.429520691293874e-07,11,1.2222222089767456,0.00144773512147367,0.17991004884243011,0.33604246377944946,0.7341854572296143,1.669668197631836,0.46581459045410156,0.36893028020858765,1.0,False
56,True,False,False,11.619760513305664,581,9,1.0,-0.11739647388458252,0,0.0,5.9186106682318496e-08,2.472481526183401e-07,14,1.5555555820465088,0.0019056929741054773,0.17163830995559692,0.1345985382795334,0.35200244188308716,1.3163015842437744,0.8479976058006287,0.7175328135490417,0.9948365092277527,False
57,True,False,False,11.391653060913086,595,9,1.0,-0.03077775239944458,0,0.0,5.865485164235906e-08,2.580956959263858e-07,16,1.7777777910232544,0.002227792050689459,0.3531968295574188,0.061867550015449524,0.18987400829792023,0.9550411105155945,1.010125994682312,0.9093441367149353,0.9714285731315613,False
58,True,False,False,11.286955833435059,600,9,1.0,-0.06798413395881653,0,0.0,5.822756321549605e-08,2.7354894882591907e-07,18,2.0,0.0028735515661537647,0.22969366610050201,0.20320822298526764,0.5508736968040466,1.4817864894866943,0.6491263508796692,0.5416809320449829,0.9950000047683716,False
59,True,False,False,10.824560165405273,601,9,1.0,-0.07010066509246826,0,0.0,5.909495115474783e-08,2.6033131916847196e-07,6,0.6666666865348816,0.0007051271968521178,0.14346162974834442,0.12423538416624069,0.3683120608329773,1.1633977890014648,0.8316879868507385,0.6915311813354492,1.0,False
60,True,False,False,11.4659423828125,607,9,1.0,-0.114615797996521,0,0.0,5.7709275580464237e-08,1.8566751691651007e-07,20,2.222222328186035,0.002819773508235812,0.41022658348083496,0.09511546790599823,0.27113643288612366,1.1338157653808594,0.9288636445999146,0.8200995922088623,0.9934101700782776,False
61,True,False,False,10.830772399902344,627,9,1.0,-0.06559240818023682,0,0.0,5.853615192563666e-08,2.4759873440416413e-07,13,1.4444444179534912,0.001837178017012775,0.240233913064003,0.13789384067058563,0.30723515152931213,0.8934172987937927,0.8927649259567261,0.670070230960846,0.9760765433311462,False
62,False,True,False,-10.150264739990234,646,9,1.0,-0.10089981555938721,0,0.0,6.176141198466212e-08,2.6656007889869215e-07,2,0.2222222238779068,0.00015247755800373852,0.05932341888546944,0.34595683217048645,1.571069598197937,3.05220890045166,-0.3710695505142212,-0.5878200531005859,0.9690402150154114,True
63,True,False,False,9.11966609954834,649,9,1.0,-0.05046699196100235,0,0.0,5.989500095893163e-08,2.466581179305649e-07,10,1.1111111640930176,0.0008675082353875041,0.18515564501285553,0.200941264629364,0.4848807454109192,0.7366944551467896,0.7151193022727966,0.5519099831581116,0.976887583732605,False
64,True,False,False,9.886820793151855,464,9,1.0,-0.04823923110961914,0,0.0,6.157916487836701e-08,2.6987152068613796e-07,0,0.0,6.157916487836701e-08,2.6987152068613796e-07,0.17134004831314087,0.48718398809432983,1.2235455513000488,0.712816059589386,0.6094849705696106,0.982758641242981,False
65,True,False,False,8.892119407653809,463,9,1.0,-0.06003856658935547,0,0.0,6.174342814802003e-08,2.7367576649339753e-07,0,0.0,6.174342814802003e-08,2.7367576649339753e-07,0.028318218886852264,0.11263543367385864,0.8325067758560181,1.087364673614502,0.976265013217926,0.9719222187995911,False
66,True,False,False,9.884553909301758,514,9,1.0,-0.14684349298477173,0,0.0,6.048591671969916e-08,2.5331974029541016e-07,7,0.7777777910232544,0.0009533570846542716,0.20780684053897858,0.25772419571876526,0.949925422668457,2.008469343185425,0.2500746250152588,0.15224766731262207,0.994163453578949,False
67,False,True,False,-1.1668660640716553,289,5,0.5555555555555556,-0.03246748447418213,0,0.0,6.225526760772482e-08,2.68635744760104e-07,5,1.0,0.002757222158834338,0.5158573985099792,0.056264154613018036,0.16540099680423737,1.159247875213623,1.0345990657806396,0.6735735535621643,0.9896194338798523,False
68,False,True,False,0.9268283843994141,371,6,0.6666666666666666,-0.13337832689285278,0,0.0,5.899220312244324e-08,1.8447711624958174e-07,10,1.6666667461395264,0.002468690974637866,0.1711178570985794,0.08193421363830566,0.1875719279050827,1.4212960004806519,1.0124281644821167,0.6841894388198853,0.9919137358665466,False
69,False,True,False,-1.1919493675231934,278,5,0.5555555555555556,-0.10033261775970459,0,0.0,5.663076763084973e-08,1.8204438845259574e-07,11,2.200000047683716,0.004578071180731058,0.2226351648569107,0.05003110319375992,0.16181370615959167,1.3638644218444824,1.0381863117218018,0.6760242581367493,0.9856115579605103,False
70,True,False,False,9.228704452514648,507,9,1.0,-0.016124308109283447,0,0.0,6.160444598890535e-08,2.604508040349174e-07,1,0.1111111119389534,7.154860213631764e-05,0.036243923008441925,0.1886477768421173,0.6688033938407898,1.8783161640167236,0.531196653842926,0.4513125419616699,0.976331353187561,False
71,True,False,False,11.265104293823242,523,9,1.0,-0.10947990417480469,0,0.0,6.054790446796687e-08,3.010866578279092e-07,6,0.6666666865348816,0.0009544882923364639,0.14001645147800446,0.08989496529102325,0.19126015901565552,0.9509721398353577,1.008739948272705,0.898485541343689,0.9942638278007507,False
72,True,False,False,10.053592681884766,465,9,1.0,-0.08096730709075928,0,0.0,6.191759638340955e-08,2.8155531595075445e-07,1,0.1111111119389534,0.0003606954123824835,0.16769468784332275,0.11830087751150131,0.2514785826206207,0.9582737684249878,0.9485214948654175,0.8047776222229004,0.9978494644165039,False
73,True,False,False,9.356874465942383,477,9,1.0,-0.0988236665725708,0,0.0,6.144704656207978e-08,2.667227079200529e-07,4,0.4444444477558136,0.0006356763187795877,0.12376829981803894,0.17555956542491913,0.4204404950141907,1.4083515405654907,0.7795595526695251,0.6605314016342163,0.9979035258293152,False
74,True,False,False,8.581799507141113,445,9,1.0,-0.12610842287540436,0,0.0,5.97440461547194e-08,2.731443942138867e-07,1,0.1111111119389534,0.0002738682960625738,0.12184493988752365,0.06614059209823608,0.13599571585655212,0.6767069101333618,1.0640043020248413,0.9214084148406982,0.9842696785926819,False
75,False,True,False,-2.235200881958008,479,9,1.0,-0.13919556140899658,0,0.0,6.018263576379468e-08,2.4811663479340496e-07,22,2.444444417953491,0.0038995137438178062,0.1867392361164093,0.4046632647514343,1.379320740699768,2.009463310241699,-0.17932069301605225,-0.1440601348876953,1.0,True
76,True,False,False,6.91352653503418,460,9,1.0,0.015554636716842651,0,0.0,6.297899091123327e-08,2.2351741790771484e-07,3,0.3333333432674408,0.00018814642680808902,0.05435265600681305,0.10121356695890427,0.35321056842803955,1.1634348630905151,0.8467894792556763,0.6855136752128601,0.960869550704956,False
77,False,True,False,-0.9712827205657959,411,7,0.7777777777777778,-0.12945330142974854,0,0.0,6.377590722195237e-08,2.528810796320613e-07,18,2.5714287757873535,0.007323612459003925,0.40070840716362,0.19791735708713531,0.45198091864585876,1.277725338935852,0.7480190992355347,0.5125412940979004,0.9927006959915161,False
78,True,False,False,9.552488327026367,487,9,1.0,-0.003613308072090149,0,0.0,6.186552070630569e-08,2.686603295387613e-07,6,0.6666666865348816,0.0010059261694550514,0.28392356634140015,0.06102583184838295,0.13040399551391602,1.1433005332946777,1.0695960521697998,0.8762032985687256,0.9917864799499512,False
79,True,False,False,10.014762878417969,462,9,1.0,-0.07326244562864304,0,0.0,5.998675334240033e-08,2.5290853500337107e-07,1,0.1111111119389534,5.780455467174761e-05,0.02667802944779396,0.20216450095176697,0.32179340720176697,1.013441801071167,0.8782066106796265,0.763432502746582,0.9978355169296265,False
80,True,False,False,9.642152786254883,513,9,1.0,-0.1487811803817749,0,0.0,6.086799686499944e-08,2.731428025981586e-07,11,1.2222222089767456,0.002244240138679743,0.19952672719955444,0.17552071809768677,0.45140859484672546,1.4242677688598633,0.748591423034668,0.6549680829048157,0.9922027587890625,False
81,True,False,False,10.966769218444824,492,9,1.0,-0.026627421379089355,0,0.0,6.002282049166752e-08,2.5343612719552766e-07,3,0.3333333432674408,0.0003797579265665263,0.12525305151939392,0.16749565303325653,0.31194359064102173,0.9810287952423096,0.8880564570426941,0.7589996457099915,0.9999999403953552,False
82,True,False,False,8.829434394836426,524,9,1.0,-0.07381623983383179,0,0.0,6.337881330864548e-08,2.4315190216839255e-07,5,0.5555555820465088,0.0005819200887344778,0.14109696447849274,0.39895689487457275,1.1447563171386719,2.389598846435547,0.055243730545043945,0.02182483673095703,1.0,False
83,True,False,False,9.654220581054688,503,9,1.0,-0.09428579360246658,0,0.0,5.9130368157411795e-08,2.4211522031691857e-07,4,0.4444444477558136,0.00025172228924930096,0.05605778470635414,0.06568346172571182,0.20703040063381195,0.9273586273193359,0.9929696321487427,0.8064296245574951,0.9940357208251953,False
84,False,True,False,-1.823383092880249,442,9,1.0,-0.1322801113128662,0,0.0,5.807710223848517e-08,2.7486484555083734e-07,16,1.7777777910232544,0.00824110209941864,0.4586810767650604,0.33048713207244873,1.4135268926620483,1.7856812477111816,-0.21352684497833252,-0.15128159523010254,0.9932126998901367,True
85,True,False,False,10.04135799407959,493,9,1.0,-0.1447209119796753,0,0.0,5.8980258899055116e-08,3.436971383052878e-07,1,0.1111111119389534,0.00015994369459804147,0.0788232833147049,0.07597637176513672,0.3921450674533844,1.5996497869491577,0.8078550100326538,0.7370550632476807,0.9898579716682434,False
86,True,False,False,9.96554183959961,502,9,1.0,-0.09695875644683838,0,0.0,6.150490605705272e-08,2.5506679435238766e-07,3,0.3333333432674408,0.0003452866221778095,0.09410247206687927,0.05948197841644287,0.1953618973493576,1.1253001689910889,1.0046381950378418,0.9144750833511353,0.9840637445449829,False
87,True,False,False,8.849067687988281,517,9,1.0,-0.11769185960292816,0,0.0,6.2161625180579e-08,2.4677061105649045e-07,10,1.1111111640930176,0.0013798753498122096,0.15411657094955444,0.1941753476858139,0.4262118339538574,1.0614975690841675,0.7737882137298584,0.6450023651123047,1.0,False
88,True,False,False,7.993346691131592,482,9,1.0,-0.12059265375137329,0,0.0,5.9467389235123846e-08,2.5244168000426725e-07,2,0.2222222238779068,3.4260181564604864e-05,0.015273040160536766,0.211080402135849,0.38600531220436096,1.286568284034729,0.8139947652816772,0.7081462144851685,0.997925341129303,False
89,True,False,False,8.313965797424316,496,9,1.0,-0.14830994606018066,0,0.0,6.1747421398195e-08,2.7344748332325253e-07,7,0.7777777910232544,0.0008249369566328824,0.17681464552879333,0.08750984072685242,0.17817458510398865,1.0856820344924927,1.0218254327774048,0.8641427755355835,0.9737902879714966,False
90,True,False,False,9.824260711669922,507,9,1.0,-0.09308075904846191,0,0.0,6.175145017550676e-08,2.5474014364590403e-07,5,0.5555555820465088,0.0007416364969685674,0.11695829778909683,0.11899276822805405,0.32198959589004517,1.1831661462783813,0.8780104517936707,0.7377656698226929,0.9960552453994751,False
91,True,False,False,8.569658279418945,465,9,1.0,-0.13997119665145874,0,0.0,6.349994663423786e-08,2.5682896875878214e-07,5,0.5555555820465088,0.0012432540534064174,0.15667444467544556,0.11084762960672379,0.21213677525520325,0.8078460693359375,0.987863302230835,0.8520312309265137,0.9677419662475586,False
