round,configured_runtime_filter_fraction,rollout_success_rate,rollout_fall_rate,rollout_filter_on_episode_count,rollout_filter_on_success_rate,rollout_filter_on_fall_rate,rollout_filter_off_episode_count,rollout_filter_off_success_rate,rollout_filter_off_fall_rate,rollout_mean_return,rollout_mean_reached_riser,actor_loss,value_loss,moving_forward_kl,behavior_approx_kl,clip_fraction,action_mean_shift,actor_gradient_norm,actor_gradient_clipped_fraction,teacher_transition_count,teacher_fraction_among_interventions,teacher_weight_sum,teacher_loss,teacher_huber_loss_mean,teacher_smooth_l1_beta,mean_cbf_correction_norm,mean_residual_target_norm,mean_policy_to_target_distance_before_update,mean_policy_to_target_distance_after_update,teacher_mode,teacher_gate_mode,teacher_eta,cbf_intervention_count,cbf_intervention_per_riser,toe_riser_kick_event_count,round_start_actor_sha256,round_end_actor_sha256,epoch_moving_forward_kl_json,minibatch_diagnostics_json,teacher_error_before_action_00,teacher_error_before_action_01,teacher_error_before_action_02,teacher_error_before_action_03,teacher_error_before_action_04,teacher_error_before_action_05,teacher_error_before_action_06,teacher_error_before_action_07,teacher_error_before_action_08,teacher_error_before_action_09,teacher_error_before_action_10,teacher_error_before_action_11,teacher_error_after_action_00,teacher_error_after_action_01,teacher_error_after_action_02,teacher_error_after_action_03,teacher_error_after_action_04,teacher_error_after_action_05,teacher_error_after_action_06,teacher_error_after_action_07,teacher_error_after_action_08,teacher_error_after_action_09,teacher_error_after_action_10,teacher_error_after_action_11
1,1.0,0.6967509025270758,0.30324909747292417,277,0.6967509025270758,0.30324909747292417,0,,,7.163223732249401,7.88086642599278,0.0027940221334574744,0.3264160305261612,0.0006672168965451419,0.0008715188596397638,0.1556243896484375,0.002483097749063745,44.83634567260742,1.0,0.0,0.0,0.0,0.0,0.0,0.05,0.5650909543037415,0.0,0.0,0.0,none,none,0.0,12766,4.848461627960205,1842.0,4a4926d9227c31fb239ceead6c39bed61304d1f2c7e3a47aea510e060cee2acd,10d3a6988f65d2b8b1a68aa9fbf71b701bb458415bc9b8e2e70101b941889a8c,"[0.0010836919536814094,0.0006672168965451419]","[{""accumulated_microbatches"":1,""action_mean_shift"":0.0037102545611560345,""actor_gradient_norm_pre_clip"":8.0192289352417,""behavior_approximate_kl"":0.0028490526601672173,""clip_fraction"":0.46148681640625,""epoch"":1,""minibatch"":1,""moving_forward_kl"":0.003102336311712861},{""accumulated_microbatches"":1,""action_mean_shift"":0.003196579869836569,""actor_gradient_norm_pre_clip"":44.83634567260742,""behavior_approximate_kl"":0.002431444823741913,""clip_fraction"":0.40191650390625,""epoch"":1,""minibatch"":2,""moving_forward_kl"":0.002248692326247692},{""accumulated_microbatches"":1,""action_mean_shift"":0.0029156957753002644,""actor_gradient_norm_pre_clip"":30.510969161987305,""behavior_approximate_kl"":0.0027172702830284834,""clip_fraction"":0.369598388671875,""epoch"":1,""minibatch"":3,""moving_forward_kl"":0.0018419645493850112},{""accumulated_microbatches"":1,""action_mean_shift"":0.002242365851998329,""actor_gradient_norm_pre_clip"":29.954490661621094,""behavior_approximate_kl"":0.0013081231154501438,""clip_fraction"":0.253631591796875,""epoch"":1,""minibatch"":4,""moving_forward_kl"":0.001084637362509966},{""accumulated_microbatches"":1,""action_mean_shift"":0.002108463319018483,""actor_gradient_norm_pre_clip"":19.59287452697754,""behavior_approximate_kl"":0.0010762554593384266,""clip_fraction"":0.226348876953125,""epoch"":2,""minibatch"":1,""moving_forward_kl"":0.0009865383617579937},{""accumulated_microbatches"":1,""action_mean_shift"":0.00212198868393898,""actor_gradient_norm_pre_clip"":20.67814064025879,""behavior_approximate_kl"":0.0007856457959860563,""clip_fraction"":0.228851318359375,""epoch"":2,""minibatch"":2,""moving_forward_kl"":0.0009521264582872391},{""accumulated_microbatches"":1,""action_mean_shift"":0.0018109288066625595,""actor_gradient_norm_pre_clip"":22.303218841552734,""behavior_approximate_kl"":0.0009921548189595342,""clip_fraction"":0.167816162109375,""epoch"":2,""minibatch"":3,""moving_forward_kl"":0.0006952416151762009},{""accumulated_microbatches"":1,""action_mean_shift"":0.0017585051245987415,""actor_gradient_norm_pre_clip"":18.005483627319336,""behavior_approximate_kl"":0.0007351738750003278,""clip_fraction"":0.1546630859375,""epoch"":2,""minibatch"":4,""moving_forward_kl"":0.0006660412764176726}]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1.0,0.7052238805970149,0.2947761194029851,268,0.7052238805970149,0.2947761194029851,0,,,7.145826656426957,7.906716417910448,0.000230242898396682,0.3019174858927727,0.0004482185177039355,0.0004948235582560301,0.09123992919921875,0.001461470892536454,22.377483367919922,1.0,0.0,0.0,0.0,0.0,0.0,0.05,0.5747655034065247,0.0,0.0,0.0,none,none,0.0,13071,5.0506181716918945,1895.0,10d3a6988f65d2b8b1a68aa9fbf71b701bb458415bc9b8e2e70101b941889a8c,72f067020e6af99755e745a610115237e52bf0bcac5926013a7f09f7728e3854,"[0.0004799753660336137,0.0004482185177039355]","[{""accumulated_microbatches"":1,""action_mean_shift"":0.0012050936929881573,""actor_gradient_norm_pre_clip"":8.24982738494873,""behavior_approximate_kl"":0.0003920943127013743,""clip_fraction"":0.057708740234375,""epoch"":1,""minibatch"":1,""moving_forward_kl"":0.0003231544396840036},{""accumulated_microbatches"":1,""action_mean_shift"":0.0017021758249029517,""actor_gradient_norm_pre_clip"":16.871379852294922,""behavior_approximate_kl"":0.0007176028448157012,""clip_fraction"":0.144927978515625,""epoch"":1,""minibatch"":2,""moving_forward_kl"":0.000614799209870398},{""accumulated_microbatches"":1,""action_mean_shift"":0.0017350828275084496,""actor_gradient_norm_pre_clip"":22.377483367919922,""behavior_approximate_kl"":0.000701189273968339,""clip_fraction"":0.1558837890625,""epoch"":1,""minibatch"":3,""moving_forward_kl"":0.0006378286052495241},{""accumulated_microbatches"":1,""action_mean_shift"":0.0014890520833432674,""actor_gradient_norm_pre_clip"":18.530046463012695,""behavior_approximate_kl"":0.00029456394258886576,""clip_fraction"":0.10601806640625,""epoch"":1,""minibatch"":4,""moving_forward_kl"":0.0004797370929736644},{""accumulated_microbatches"":1,""action_mean_shift"":0.0013519636122509837,""actor_gradient_norm_pre_clip"":11.328916549682617,""behavior_approximate_kl"":0.00018434677622281015,""clip_fraction"":0.0743408203125,""epoch"":2,""minibatch"":1,""moving_forward_kl"":0.00038656944525428116},{""accumulated_microbatches"":1,""action_mean_shift"":0.0013703268487006426,""actor_gradient_norm_pre_clip"":11.575984954833984,""behavior_approximate_kl"":0.0004377954173833132,""clip_fraction"":0.080108642578125,""epoch"":2,""minibatch"":2,""moving_forward_kl"":0.0004033779550809413},{""accumulated_microbatches"":1,""action_mean_shift"":0.001379254856146872,""actor_gradient_norm_pre_clip"":13.546673774719238,""behavior_approximate_kl"":0.0004532549064606428,""clip_fraction"":0.07568359375,""epoch"":2,""minibatch"":3,""moving_forward_kl"":0.00040154089219868183},{""accumulated_microbatches"":1,""action_mean_shift"":0.001458817394450307,""actor_gradient_norm_pre_clip"":12.91663646697998,""behavior_approximate_kl"":0.000535186321940273,""clip_fraction"":0.09039306640625,""epoch"":2,""minibatch"":4,""moving_forward_kl"":0.00044845291995443404}]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,1.0,0.7426470588235294,0.25735294117647056,272,0.7426470588235294,0.25735294117647056,0,,,7.655542736544328,8.132352941176471,2.7300993679091334e-05,0.2953956425189972,0.0004495372995734215,0.00048376733320765197,0.0940704345703125,0.0014495462673949078,20.074323654174805,1.0,0.0,0.0,0.0,0.0,0.0,0.05,0.5467167496681213,0.0,0.0,0.0,none,none,0.0,12825,4.861637592315674,1839.0,72f067020e6af99755e745a610115237e52bf0bcac5926013a7f09f7728e3854,986642131887f39767668e73dafba0330b13797d628771edb31c0f9190cbb092,"[0.0004458705661818385,0.0004495372995734215]","[{""accumulated_microbatches"":1,""action_mean_shift"":0.0010203110286965966,""actor_gradient_norm_pre_clip"":8.556770324707031,""behavior_approximate_kl"":0.000257526698987931,""clip_fraction"":0.0263671875,""epoch"":1,""minibatch"":1,""moving_forward_kl"":0.0002255639701616019},{""accumulated_microbatches"":1,""action_mean_shift"":0.001643817056901753,""actor_gradient_norm_pre_clip"":9.014232635498047,""behavior_approximate_kl"":0.0008495699148625135,""clip_fraction"":0.13531494140625,""epoch"":1,""minibatch"":2,""moving_forward_kl"":0.0005762793589383364},{""accumulated_microbatches"":1,""action_mean_shift"":0.0016884654760360718,""actor_gradient_norm_pre_clip"":19.350393295288086,""behavior_approximate_kl"":0.0008144022431224585,""clip_fraction"":0.142547607421875,""epoch"":1,""minibatch"":3,""moving_forward_kl"":0.0005971837090328336},{""accumulated_microbatches"":1,""action_mean_shift"":0.0014625012408941984,""actor_gradient_norm_pre_clip"":20.074323654174805,""behavior_approximate_kl"":0.000469964521471411,""clip_fraction"":0.095611572265625,""epoch"":1,""minibatch"":4,""moving_forward_kl"":0.0004477630718611181},{""accumulated_microbatches"":1,""action_mean_shift"":0.0013095164904370904,""actor_gradient_norm_pre_clip"":12.401087760925293,""behavior_approximate_kl"":0.0006197137990966439,""clip_fraction"":0.0634765625,""epoch"":2,""minibatch"":1,""moving_forward_kl"":0.00035693534300662577},{""accumulated_microbatches"":1,""action_mean_shift"":0.0014497200027108192,""actor_gradient_norm_pre_clip"":10.190750122070312,""behavior_approximate_kl"":0.0004027426184620708,""clip_fraction"":0.091278076171875,""epoch"":2,""minibatch"":2,""moving_forward_kl"":0.00044048926793038845},{""accumulated_microbatches"":1,""action_mean_shift"":0.0015613420400768518,""actor_gradient_norm_pre_clip"":14.045702934265137,""behavior_approximate_kl"":0.0007824994390830398,""clip_fraction"":0.11260986328125,""epoch"":2,""minibatch"":3,""moving_forward_kl"":0.0005062996642664075},{""accumulated_microbatches"":1,""action_mean_shift"":0.001460696803405881,""actor_gradient_norm_pre_clip"":16.440767288208008,""behavior_approximate_kl"":0.0005275410949252546,""clip_fraction"":0.09161376953125,""epoch"":2,""minibatch"":4,""moving_forward_kl"":0.0004496808396652341}]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,1.0,0.6617647058823529,0.3382352941176471,272,0.6617647058823529,0.3382352941176471,0,,,6.504485535271027,7.915441176470588,2.0970008336007595e-05,0.29123979806900024,0.0004478413611650467,0.0006145023507997394,0.09012603759765625,0.0014377828920260072,20.359315872192383,1.0,0.0,0.0,0.0,0.0,0.0,0.05,0.6146185398101807,0.0,0.0,0.0,none,none,0.0,13306,5.08833646774292,1873.0,986642131887f39767668e73dafba0330b13797d628771edb31c0f9190cbb092,135cb40ad9534a4100f664b7951ce47e86d7db140033f94024ae564e1f213bc2,"[0.0004243661533109844,0.0004478413611650467]","[{""accumulated_microbatches"":1,""action_mean_shift"":0.0009521273896098137,""actor_gradient_norm_pre_clip"":8.528876304626465,""behavior_approximate_kl"":3.4176533517893404e-05,""clip_fraction"":0.021148681640625,""epoch"":1,""minibatch"":1,""moving_forward_kl"":0.00019877903105225414},{""accumulated_microbatches"":1,""action_mean_shift"":0.001443785848096013,""actor_gradient_norm_pre_clip"":8.659000396728516,""behavior_approximate_kl"":0.0006161651108413935,""clip_fraction"":0.095672607421875,""epoch"":1,""minibatch"":2,""moving_forward_kl"":0.00044812471605837345},{""accumulated_microbatches"":1,""action_mean_shift"":0.0013929673004895449,""actor_gradient_norm_pre_clip"":16.28815460205078,""behavior_approximate_kl"":0.0004685724852606654,""clip_fraction"":0.079437255859375,""epoch"":1,""minibatch"":3,""moving_forward_kl"":0.00041292497189715505},{""accumulated_microbatches"":1,""action_mean_shift"":0.0014088937314227223,""actor_gradient_norm_pre_clip"":11.104796409606934,""behavior_approximate_kl"":0.0005555840907618403,""clip_fraction"":0.0872802734375,""epoch"":1,""minibatch"":4,""moving_forward_kl"":0.00042525166645646095},{""accumulated_microbatches"":1,""action_mean_shift"":0.0016357002314180136,""actor_gradient_norm_pre_clip"":12.282333374023438,""behavior_approximate_kl"":0.0008962298161350191,""clip_fraction"":0.1318359375,""epoch"":2,""minibatch"":1,""moving_forward_kl"":0.0005791860166937113},{""accumulated_microbatches"":1,""action_mean_shift"":0.0016944666858762503,""actor_gradient_norm_pre_clip"":18.360979080200195,""behavior_approximate_kl"":0.0009024975588545203,""clip_fraction"":0.143798828125,""epoch"":2,""minibatch"":2,""moving_forward_kl"":0.0006162480567581952},{""accumulated_microbatches"":1,""action_mean_shift"":0.0015266977716237307,""actor_gradient_norm_pre_clip"":20.359315872192383,""behavior_approximate_kl"":0.000677224132232368,""clip_fraction"":0.106719970703125,""epoch"":2,""minibatch"":3,""moving_forward_kl"":0.0004885334055870771},{""accumulated_microbatches"":1,""action_mean_shift"":0.001447624177671969,""actor_gradient_norm_pre_clip"":16.3302059173584,""behavior_approximate_kl"":0.0005923828575760126,""clip_fraction"":0.091705322265625,""epoch"":2,""minibatch"":4,""moving_forward_kl"":0.0004490952123887837}]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
