round,configured_runtime_filter_fraction,rollout_success_rate,rollout_fall_rate,rollout_filter_on_episode_count,rollout_filter_on_success_rate,rollout_filter_on_fall_rate,rollout_filter_off_episode_count,rollout_filter_off_success_rate,rollout_filter_off_fall_rate,rollout_mean_return,rollout_mean_reached_riser,actor_loss,value_loss,moving_forward_kl,behavior_approx_kl,clip_fraction,action_mean_shift,actor_gradient_norm,actor_gradient_clipped_fraction,teacher_transition_count,teacher_fraction_among_interventions,teacher_weight_sum,teacher_loss,teacher_huber_loss_mean,teacher_smooth_l1_beta,mean_cbf_correction_norm,mean_residual_target_norm,mean_policy_to_target_distance_before_update,mean_policy_to_target_distance_after_update,teacher_mode,teacher_gate_mode,teacher_eta,cbf_intervention_count,cbf_intervention_per_riser,toe_riser_kick_event_count,round_start_actor_sha256,round_end_actor_sha256,epoch_moving_forward_kl_json,minibatch_diagnostics_json,teacher_error_before_action_00,teacher_error_before_action_01,teacher_error_before_action_02,teacher_error_before_action_03,teacher_error_before_action_04,teacher_error_before_action_05,teacher_error_before_action_06,teacher_error_before_action_07,teacher_error_before_action_08,teacher_error_before_action_09,teacher_error_before_action_10,teacher_error_before_action_11,teacher_error_after_action_00,teacher_error_after_action_01,teacher_error_after_action_02,teacher_error_after_action_03,teacher_error_after_action_04,teacher_error_after_action_05,teacher_error_after_action_06,teacher_error_after_action_07,teacher_error_after_action_08,teacher_error_after_action_09,teacher_error_after_action_10,teacher_error_after_action_11
1,1.0,0.7054545454545454,0.29454545454545455,275,0.7054545454545454,0.29454545454545455,0,,,7.2547497307170525,7.792727272727273,0.002840703760739416,0.32829612866044044,0.0006954724667593837,0.0008167882333509624,0.16342926025390625,0.002587799448519945,42.42226028442383,1.0,0.0,0.0,0.0,0.0,0.0,0.05,0.5573152303695679,0.0,0.0,0.0,none,none,0.0,12624,4.823843955993652,1799.0,0efe0cf603f958d6874efa924f62999fe7fb640999d89180d10c30cca8abfeb9,993de91690ed81d0bd213704e6f05d9639080e1d60ce91cf45df15c49bc502f0,"[0.0013988872524350882,0.0006954724667593837]","[{""accumulated_microbatches"":1,""action_mean_shift"":0.003866656683385372,""actor_gradient_norm_pre_clip"":7.805467128753662,""behavior_approximate_kl"":0.00355121330358088,""clip_fraction"":0.48040771484375,""epoch"":1,""minibatch"":1,""moving_forward_kl"":0.003334891516715288},{""accumulated_microbatches"":1,""action_mean_shift"":0.0033046777825802565,""actor_gradient_norm_pre_clip"":42.42226028442383,""behavior_approximate_kl"":0.0017627287888899446,""clip_fraction"":0.41943359375,""epoch"":1,""minibatch"":2,""moving_forward_kl"":0.002379782497882843},{""accumulated_microbatches"":1,""action_mean_shift"":0.0030260197818279266,""actor_gradient_norm_pre_clip"":31.292207717895508,""behavior_approximate_kl"":0.002338743070140481,""clip_fraction"":0.3817138671875,""epoch"":1,""minibatch"":3,""moving_forward_kl"":0.001994408667087555},{""accumulated_microbatches"":1,""action_mean_shift"":0.002538471482694149,""actor_gradient_norm_pre_clip"":28.610183715820312,""behavior_approximate_kl"":0.0016186739085242152,""clip_fraction"":0.303070068359375,""epoch"":1,""minibatch"":4,""moving_forward_kl"":0.0014001417439430952},{""accumulated_microbatches"":1,""action_mean_shift"":0.002286179456859827,""actor_gradient_norm_pre_clip"":25.323524475097656,""behavior_approximate_kl"":0.0013231808552518487,""clip_fraction"":0.2640380859375,""epoch"":2,""minibatch"":1,""moving_forward_kl"":0.0011069222819060087},{""accumulated_microbatches"":1,""action_mean_shift"":0.0020439582876861095,""actor_gradient_norm_pre_clip"":24.4930477142334,""behavior_approximate_kl"":0.0006570894038304687,""clip_fraction"":0.220306396484375,""epoch"":2,""minibatch"":2,""moving_forward_kl"":0.0009061405435204506},{""accumulated_microbatches"":1,""action_mean_shift"":0.001836281269788742,""actor_gradient_norm_pre_clip"":22.506349563598633,""behavior_approximate_kl"":0.0009018292184919119,""clip_fraction"":0.169097900390625,""epoch"":2,""minibatch"":3,""moving_forward_kl"":0.0007269911002367735},{""accumulated_microbatches"":1,""action_mean_shift"":0.0018001508433371782,""actor_gradient_norm_pre_clip"":16.524648666381836,""behavior_approximate_kl"":0.0010360002052038908,""clip_fraction"":0.161407470703125,""epoch"":2,""minibatch"":4,""moving_forward_kl"":0.0006953003467060626}]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1.0,0.6948529411764706,0.30514705882352944,272,0.6948529411764706,0.30514705882352944,0,,,6.903361046138932,7.904411764705882,-3.041519084945321e-05,0.30759743601083755,0.00039075384847819805,0.00042764958925545216,0.07354736328125,0.001319268201768864,15.26177978515625,1.0,0.0,0.0,0.0,0.0,0.0,0.05,0.5841721892356873,0.0,0.0,0.0,none,none,0.0,13021,4.880434989929199,1847.0,993de91690ed81d0bd213704e6f05d9639080e1d60ce91cf45df15c49bc502f0,76a954b28792099174c33867a373fb3e8aea4cb0faa8ccb27bb38125d6f53fcd,"[0.00038375260191969573,0.00039075384847819805]","[{""accumulated_microbatches"":1,""action_mean_shift"":0.0009223835659213364,""actor_gradient_norm_pre_clip"":8.156588554382324,""behavior_approximate_kl"":0.0002644693886395544,""clip_fraction"":0.026458740234375,""epoch"":1,""minibatch"":1,""moving_forward_kl"":0.00019719733973033726},{""accumulated_microbatches"":1,""action_mean_shift"":0.0013811299577355385,""actor_gradient_norm_pre_clip"":8.928061485290527,""behavior_approximate_kl"":0.0002880686952266842,""clip_fraction"":0.0833740234375,""epoch"":1,""minibatch"":2,""moving_forward_kl"":0.00041186119779013097},{""accumulated_microbatches"":1,""action_mean_shift"":0.0014637054409831762,""actor_gradient_norm_pre_clip"":15.26177978515625,""behavior_approximate_kl"":0.0005078892572782934,""clip_fraction"":0.0931396484375,""epoch"":1,""minibatch"":3,""moving_forward_kl"":0.00045092846266925335},{""accumulated_microbatches"":1,""action_mean_shift"":0.0013492449652403593,""actor_gradient_norm_pre_clip"":14.140398979187012,""behavior_approximate_kl"":0.0004102666862308979,""clip_fraction"":0.0721435546875,""epoch"":1,""minibatch"":4,""moving_forward_kl"":0.00038285087794065475},{""accumulated_microbatches"":1,""action_mean_shift"":0.001278027892112732,""actor_gradient_norm_pre_clip"":11.802093505859375,""behavior_approximate_kl"":0.000465721997898072,""clip_fraction"":0.06396484375,""epoch"":2,""minibatch"":1,""moving_forward_kl"":0.0003520477330312133},{""accumulated_microbatches"":1,""action_mean_shift"":0.0014030002057552338,""actor_gradient_norm_pre_clip"":8.62136173248291,""behavior_approximate_kl"":0.00032819714397192,""clip_fraction"":0.087127685546875,""epoch"":2,""minibatch"":2,""moving_forward_kl"":0.000426321174018085},{""accumulated_microbatches"":1,""action_mean_shift"":0.0013983214739710093,""actor_gradient_norm_pre_clip"":13.06777572631836,""behavior_approximate_kl"":0.00045973205124028027,""clip_fraction"":0.0809326171875,""epoch"":2,""minibatch"":3,""moving_forward_kl"":0.00041654991218820214},{""accumulated_microbatches"":1,""action_mean_shift"":0.0013583321124315262,""actor_gradient_norm_pre_clip"":14.662034034729004,""behavior_approximate_kl"":0.0004551666206680238,""clip_fraction"":0.07366943359375,""epoch"":2,""minibatch"":4,""moving_forward_kl"":0.0003911256790161133}]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,1.0,0.7011070110701108,0.2988929889298893,271,0.7011070110701108,0.2988929889298893,0,,,7.260634665999465,7.937269372693727,-8.756393799558282e-05,0.2790513336658478,0.00037126231472939253,0.0005880710086785257,0.06618499755859375,0.0013598281075246632,16.892805099487305,1.0,0.0,0.0,0.0,0.0,0.0,0.05,0.5631465911865234,0.0,0.0,0.0,none,none,0.0,12567,4.753025531768799,1893.0,76a954b28792099174c33867a373fb3e8aea4cb0faa8ccb27bb38125d6f53fcd,60f9440afde4ca52fa33f6b4b4b4fb5d64a6a35ebe976d6d3bb2b75634d31548,"[0.0005280604818835855,0.00037126231472939253]","[{""accumulated_microbatches"":1,""action_mean_shift"":0.0009202256333082914,""actor_gradient_norm_pre_clip"":8.239143371582031,""behavior_approximate_kl"":0.00023901851091068238,""clip_fraction"":0.0245361328125,""epoch"":1,""minibatch"":1,""moving_forward_kl"":0.00019501065253280103},{""accumulated_microbatches"":1,""action_mean_shift"":0.0013888076646253467,""actor_gradient_norm_pre_clip"":10.20669937133789,""behavior_approximate_kl"":0.00036666204687207937,""clip_fraction"":0.08013916015625,""epoch"":1,""minibatch"":2,""moving_forward_kl"":0.000405532045988366},{""accumulated_microbatches"":1,""action_mean_shift"":0.0015167816309258342,""actor_gradient_norm_pre_clip"":12.240105628967285,""behavior_approximate_kl"":0.0003563838545233011,""clip_fraction"":0.10443115234375,""epoch"":1,""minibatch"":3,""moving_forward_kl"":0.0004771652747876942},{""accumulated_microbatches"":1,""action_mean_shift"":0.0015688450075685978,""actor_gradient_norm_pre_clip"":16.892805099487305,""behavior_approximate_kl"":0.0006546512013301253,""clip_fraction"":0.120147705078125,""epoch"":1,""minibatch"":4,""moving_forward_kl"":0.0005281101912260056},{""accumulated_microbatches"":1,""action_mean_shift"":0.0014437012141570449,""actor_gradient_norm_pre_clip"":14.715662002563477,""behavior_approximate_kl"":0.0005759512423537672,""clip_fraction"":0.09429931640625,""epoch"":2,""minibatch"":1,""moving_forward_kl"":0.0004534531617537141},{""accumulated_microbatches"":1,""action_mean_shift"":0.001341882860288024,""actor_gradient_norm_pre_clip"":13.935131072998047,""behavior_approximate_kl"":0.0004517144407145679,""clip_fraction"":0.07177734375,""epoch"":2,""minibatch"":2,""moving_forward_kl"":0.0003826449392363429},{""accumulated_microbatches"":1,""action_mean_shift"":0.00137581885792315,""actor_gradient_norm_pre_clip"":11.337408065795898,""behavior_approximate_kl"":0.0004145892453379929,""clip_fraction"":0.07537841796875,""epoch"":2,""minibatch"":3,""moving_forward_kl"":0.0003980014589615166},{""accumulated_microbatches"":1,""action_mean_shift"":0.0013225619914010167,""actor_gradient_norm_pre_clip"":12.187582969665527,""behavior_approximate_kl"":0.00046676676720380783,""clip_fraction"":0.064605712890625,""epoch"":2,""minibatch"":4,""moving_forward_kl"":0.0003699750523082912}]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,1.0,0.7007299270072993,0.29927007299270075,274,0.7007299270072993,0.29927007299270075,0,,,7.195668450237191,7.91970802919708,7.723375165369362e-05,0.29138823971152306,0.00045325246173888445,0.00041044180397875607,0.09445953369140625,0.001454072495107539,21.23760223388672,1.0,0.0,0.0,0.0,0.0,0.0,0.05,0.5909150838851929,0.0,0.0,0.0,none,none,0.0,12908,4.84898567199707,1837.0,60f9440afde4ca52fa33f6b4b4b4fb5d64a6a35ebe976d6d3bb2b75634d31548,509a8d8b41c36e112fd973fa3909036f53d707a340aea81ea83916525d970d8c,"[0.0005253120325505733,0.00045325246173888445]","[{""accumulated_microbatches"":1,""action_mean_shift"":0.0008935852674767375,""actor_gradient_norm_pre_clip"":8.981328964233398,""behavior_approximate_kl"":0.00029916298808529973,""clip_fraction"":0.014801025390625,""epoch"":1,""minibatch"":1,""moving_forward_kl"":0.00017475723871029913},{""accumulated_microbatches"":1,""action_mean_shift"":0.0016263729194179177,""actor_gradient_norm_pre_clip"":9.378026008605957,""behavior_approximate_kl"":0.0005971478531137109,""clip_fraction"":0.135223388671875,""epoch"":1,""minibatch"":2,""moving_forward_kl"":0.0005703789065591991},{""accumulated_microbatches"":1,""action_mean_shift"":0.0017542412970215082,""actor_gradient_norm_pre_clip"":18.258028030395508,""behavior_approximate_kl"":0.0005782436346635222,""clip_fraction"":0.15435791015625,""epoch"":1,""minibatch"":3,""moving_forward_kl"":0.0006564793875440955},{""accumulated_microbatches"":1,""action_mean_shift"":0.0015746938297525048,""actor_gradient_norm_pre_clip"":21.23760223388672,""behavior_approximate_kl"":0.00039930117782205343,""clip_fraction"":0.120819091796875,""epoch"":1,""minibatch"":4,""moving_forward_kl"":0.0005266144871711731},{""accumulated_microbatches"":1,""action_mean_shift"":0.0014680569292977452,""actor_gradient_norm_pre_clip"":14.531115531921387,""behavior_approximate_kl"":0.0005095124361105263,""clip_fraction"":0.0950927734375,""epoch"":2,""minibatch"":1,""moving_forward_kl"":0.0004491192230489105},{""accumulated_microbatches"":1,""action_mean_shift"":0.001416175626218319,""actor_gradient_norm_pre_clip"":11.040282249450684,""behavior_approximate_kl"":0.00036713096778839827,""clip_fraction"":0.081939697265625,""epoch"":2,""minibatch"":2,""moving_forward_kl"":0.00041568517917767167},{""accumulated_microbatches"":1,""action_mean_shift"":0.0014206079067662358,""actor_gradient_norm_pre_clip"":14.88886833190918,""behavior_approximate_kl"":0.0003893878310918808,""clip_fraction"":0.083892822265625,""epoch"":2,""minibatch"":3,""moving_forward_kl"":0.0004206401645205915},{""accumulated_microbatches"":1,""action_mean_shift"":0.0014788461849093437,""actor_gradient_norm_pre_clip"":13.317317962646484,""behavior_approximate_kl"":0.00033512047957628965,""clip_fraction"":0.09588623046875,""epoch"":2,""minibatch"":4,""moving_forward_kl"":0.0004551063757389784}]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
