specialist_mode,context_id,method_role,beta,round,actor_sha256,success_rate,fall_rate,success_delta_from_pi0,fall_delta_from_pi0,repair_rate_from_pi0,regression_rate_from_pi0
lateral,L2,v21,0.0,5,45483e82f54cc0e6ccf513dd3903130de029a31b6d0e49429cf22667184d5c6f,0.76953125,0.23046875,0.01171875,-0.01171875,0.25806451612903225,0.06701030927835051
lateral,L2,v21,0.0,6,34cad349b1c42173364c47529a3c0bc0fd54ccc0f0b6ab87ef8ef4efa687f882,0.76171875,0.23828125,0.00390625,-0.00390625,0.2903225806451613,0.08762886597938144
lateral,L2,v21,0.0,7,55e431cbb6fd3f6845e7024bb88862798c8fde7d45098f2f93ed85a765ec99c5,0.78125,0.21875,0.0234375,-0.0234375,0.3387096774193548,0.07731958762886598
lateral,L2,v21,0.0,8,13c86488c75bbc09d5e32db248211a5cfd1b87bb4cc028b9846ebcd5bcf2db34,0.7890625,0.2109375,0.03125,-0.03125,0.3870967741935484,0.08247422680412371
lateral,L3,control,0.0,0,f8e27e9b3bb92dd33a460f38ecbd72f8b0fe03809683f697d54d3549626d69bb,0.8359375,0.1640625,0.0,0.0,0.0,0.0
lateral,L3,control,0.0,1,f8e27e9b3bb92dd33a460f38ecbd72f8b0fe03809683f697d54d3549626d69bb,0.84375,0.15625,0.0078125,-0.0078125,0.7619047619047619,0.14018691588785046
lateral,L3,control,0.0,2,f8e27e9b3bb92dd33a460f38ecbd72f8b0fe03809683f697d54d3549626d69bb,0.76953125,0.23046875,-0.06640625,0.06640625,0.5238095238095238,0.1822429906542056
lateral,L3,control,0.0,3,f8e27e9b3bb92dd33a460f38ecbd72f8b0fe03809683f697d54d3549626d69bb,0.8046875,0.1953125,-0.03125,0.03125,0.6190476190476191,0.1588785046728972
lateral,L3,control,0.0,4,f8e27e9b3bb92dd33a460f38ecbd72f8b0fe03809683f697d54d3549626d69bb,0.796875,0.203125,-0.0390625,0.0390625,0.5476190476190477,0.1542056074766355
lateral,L3,control,0.0,5,f8e27e9b3bb92dd33a460f38ecbd72f8b0fe03809683f697d54d3549626d69bb,0.8125,0.1875,-0.0234375,0.0234375,0.6666666666666666,0.1588785046728972
lateral,L3,control,0.0,6,f8e27e9b3bb92dd33a460f38ecbd72f8b0fe03809683f697d54d3549626d69bb,0.80859375,0.19140625,-0.02734375,0.02734375,0.5238095238095238,0.13551401869158877
lateral,L3,control,0.0,7,f8e27e9b3bb92dd33a460f38ecbd72f8b0fe03809683f697d54d3549626d69bb,0.82421875,0.17578125,-0.01171875,0.01171875,0.6666666666666666,0.14485981308411214
lateral,L3,control,0.0,8,f8e27e9b3bb92dd33a460f38ecbd72f8b0fe03809683f697d54d3549626d69bb,0.80078125,0.19921875,-0.03515625,0.03515625,0.5714285714285714,0.1542056074766355
lateral,L3,v21,0.0,0,f8e27e9b3bb92dd33a460f38ecbd72f8b0fe03809683f697d54d3549626d69bb,0.8046875,0.1953125,0.0,0.0,0.0,0.0
lateral,L3,v21,0.0,1,f8e27e9b3bb92dd33a460f38ecbd72f8b0fe03809683f697d54d3549626d69bb,0.8203125,0.1796875,0.015625,-0.015625,0.58,0.12135922330097088
lateral,L3,v21,0.0,2,f8e27e9b3bb92dd33a460f38ecbd72f8b0fe03809683f697d54d3549626d69bb,0.8046875,0.1953125,0.0,0.0,0.62,0.15048543689320387
lateral,L3,v21,0.0,3,ce1d0eec2fd1e33f88c736f8bd008a398d5c26963b467b695885a871acd5841f,0.8515625,0.1484375,0.046875,-0.046875,0.68,0.10679611650485436
lateral,L3,v21,0.0,4,ce1d0eec2fd1e33f88c736f8bd008a398d5c26963b467b695885a871acd5841f,0.87890625,0.12109375,0.07421875,-0.07421875,0.72,0.0825242718446602
