context_id,specialist_mode,policy_role,evaluation_seed,environment_id,telemetry_rows,episode_steps,success,fell,failure_type,same_rollout_outcome_bound,abs_centerline_error_mean,abs_centerline_error_max,abs_heading_error_mean,abs_heading_error_max,abs_centerline_error_rate_mean,abs_centerline_error_rate_max,abs_heading_error_rate_mean,abs_heading_error_rate_max,command_vy_mean,command_vy_max,command_wz_mean,command_wz_max,cbf_correction_norm_mean,cbf_correction_norm_max,maximum_slip_speed_mean,maximum_slip_speed_max,contact_phase_mismatch_mean,contact_phase_mismatch_max,abs_roll_rad_mean,abs_roll_rad_max,abs_pitch_rad_mean,abs_pitch_rad_max,angular_velocity_norm_mean,angular_velocity_norm_max
C1,contact_stability,base,79150000,0,1010,1010,1,0,success,True,,,,,,,,,,,,,0.0014126743094789685,0.23225709795951843,0.19660248451884652,2.0,0.13762376237623763,1.0,0.046799294852913335,0.21160979568958282,0.12904487110822493,0.3307938575744629,1.9074524276032305,5.117038726806641
C1,contact_stability,base,79150001,0,947,947,1,0,success,True,,,,,,,,,,,,,0.000585034972188996,0.1599322408437729,0.20830544911080592,2.0,0.1457233368532207,1.0,0.0491604871803433,0.20751526951789856,0.12892734869472366,0.3524002730846405,1.9825784771721868,4.596813678741455
C1,contact_stability,base,79150002,0,463,463,0,1,contact_stability,True,,,,,,,,,,,,,0.001595469715442279,0.24949708580970764,0.19643088733700967,1.9979029893875122,0.15226781857451405,1.0,0.0524277276493055,0.40397417545318604,0.1338265823904237,1.1282209157943726,2.069297966895299,7.7977118492126465
C1,contact_stability,base,79150003,0,847,847,1,0,success,True,,,,,,,,,,,,,0.0006863274290227659,0.18305349349975586,0.19839534136480977,2.0,0.13754427390791027,1.0,0.05407162861056238,0.2022678107023239,0.12930987239188155,0.4106568694114685,2.040018683376391,5.7540283203125
C1,contact_stability,base,79150004,0,932,932,1,0,success,True,,,,,,,,,,,,,0.0009959713279058847,0.17970386147499084,0.21594743499102154,2.0,0.13465665236051502,1.0,0.053248144585901616,0.21836872398853302,0.12908582773640165,0.3743162453174591,2.0059392509478355,5.770068645477295
C1,contact_stability,base,79150005,0,1004,1004,1,0,success,True,,,,,,,,,,,,,0.0011465927861451445,0.23158609867095947,0.1976612499657999,2.0,0.14143426294820718,1.0,0.04872883190854076,0.19834844768047333,0.12969061437639806,0.3445269465446472,1.9595885596189841,4.619237899780273
C1,contact_stability,base,79150006,0,470,470,0,1,contact_stability,True,,,,,,,,,,,,,0.01065774187613814,0.7576587796211243,0.19897744038323079,2.0,0.15425531914893617,1.0,0.0658222659360638,1.129549503326416,0.12961597780063552,0.7853553891181946,2.1474433999112312,9.251068115234375
C1,contact_stability,base,79150007,0,1028,1028,1,0,success,True,,,,,,,,,,,,,0.002913644766643593,0.298458456993103,0.208631194687443,2.0,0.1546692607003891,1.0,0.051956783746831825,0.3940502107143402,0.12849453493436336,0.352120965719223,1.9293695992648834,5.455328941345215
C1,contact_stability,control,79150000,0,1091,1091,1,0,success,True,,,,,,,,,,,,,0.0015184147694483272,0.17055803537368774,0.1931920811692065,2.0,0.14802933088909256,1.0,0.0464855322774705,0.19216561317443848,0.12743305131314728,0.3273658752441406,1.896473425774264,5.240638732910156
C1,contact_stability,control,79150001,0,911,911,1,0,success,True,,,,,,,,,,,,,0.0011392872799884546,0.16652610898017883,0.2018702152025023,2.0,0.13830954994511527,1.0,0.052027318184470296,0.21139606833457947,0.12921317711446934,0.37201300263404846,1.9904536906175896,5.332705497741699
