specialist_mode,method_role,round,metric,context_count,mean,lcb95,ucb95,evidence_role
lateral,v21,0,regression_rate_from_pi0,5,0.0,0.0,0.0,post-training unseen frozen monitor only
lateral,v21,1,success_rate,5,0.77734375,0.75703125,0.8015625,post-training unseen frozen monitor only
lateral,v21,1,fall_rate,5,0.22265625,0.1984375,0.24296875,post-training unseen frozen monitor only
lateral,v21,1,success_delta_from_pi0,5,0.0171875,-0.0078125,0.04375,post-training unseen frozen monitor only
lateral,v21,1,fall_delta_from_pi0,5,-0.0171875,-0.04375,0.0078125,post-training unseen frozen monitor only
lateral,v21,1,repair_rate_from_pi0,5,0.43706180080373624,0.34200238948626044,0.532121212121212,post-training unseen frozen monitor only
lateral,v21,1,regression_rate_from_pi0,5,0.11491670354207977,0.09913928467577784,0.1305984860058263,post-training unseen frozen monitor only
lateral,v21,2,success_rate,5,0.7765625,0.759375,0.79453125,post-training unseen frozen monitor only
lateral,v21,2,fall_rate,5,0.2234375,0.20546875,0.240625,post-training unseen frozen monitor only
lateral,v21,2,success_delta_from_pi0,5,0.01640625,0.0,0.03671875,post-training unseen frozen monitor only
lateral,v21,2,fall_delta_from_pi0,5,-0.01640625,-0.03671875,0.0,post-training unseen frozen monitor only
lateral,v21,2,repair_rate_from_pi0,5,0.4537886390789616,0.3560621266427718,0.5551649831649832,post-training unseen frozen monitor only
lateral,v21,2,regression_rate_from_pi0,5,0.12000587638874152,0.09604112658232844,0.14472343224633485,post-training unseen frozen monitor only
lateral,v21,3,success_rate,5,0.76875,0.725,0.81796875,post-training unseen frozen monitor only
lateral,v21,3,fall_rate,5,0.23125,0.18203125,0.275,post-training unseen frozen monitor only
lateral,v21,3,success_delta_from_pi0,5,0.00859375,-0.01953125,0.03671875,post-training unseen frozen monitor only
lateral,v21,3,fall_delta_from_pi0,5,-0.00859375,-0.03671875,0.01953125,post-training unseen frozen monitor only
lateral,v21,3,repair_rate_from_pi0,5,0.4442997719126751,0.33374780058651027,0.5737777777777778,post-training unseen frozen monitor only
lateral,v21,3,regression_rate_from_pi0,5,0.12740978093825103,0.09700928855772176,0.16472066558070333,post-training unseen frozen monitor only
lateral,v21,4,success_rate,5,0.78203125,0.740625,0.834375,post-training unseen frozen monitor only
lateral,v21,4,fall_rate,5,0.21796875,0.165625,0.259375,post-training unseen frozen monitor only
lateral,v21,4,success_delta_from_pi0,5,0.021875,0.00390625,0.0484375,post-training unseen frozen monitor only
lateral,v21,4,fall_delta_from_pi0,5,-0.021875,-0.0484375,-0.00390625,post-training unseen frozen monitor only
lateral,v21,4,repair_rate_from_pi0,5,0.46609840338872593,0.3581362007168459,0.5970909090909091,post-training unseen frozen monitor only
lateral,v21,4,regression_rate_from_pi0,5,0.11628950754489135,0.08373952398743027,0.1515616203463606,post-training unseen frozen monitor only
lateral,v21,5,success_rate,5,0.77265625,0.7390625,0.8046875,post-training unseen frozen monitor only
lateral,v21,5,fall_rate,5,0.22734375,0.1953125,0.2609375,post-training unseen frozen monitor only
lateral,v21,5,success_delta_from_pi0,5,0.0125,-0.0125,0.0390625,post-training unseen frozen monitor only
lateral,v21,5,fall_delta_from_pi0,5,-0.0125,-0.0390625,0.011738281249999715,post-training unseen frozen monitor only
lateral,v21,5,repair_rate_from_pi0,5,0.4105219941348973,0.32189247311827957,0.5047272727272727,post-training unseen frozen monitor only
lateral,v21,5,regression_rate_from_pi0,5,0.11227593893896051,0.08134816384250776,0.1544658676393955,post-training unseen frozen monitor only
lateral,v21,6,success_rate,5,0.7640625,0.73984375,0.7890625,post-training unseen frozen monitor only
lateral,v21,6,fall_rate,5,0.2359375,0.20859375,0.259375,post-training unseen frozen monitor only
lateral,v21,6,success_delta_from_pi0,5,0.00390625,-0.0140625,0.01796875,post-training unseen frozen monitor only
lateral,v21,6,fall_delta_from_pi0,5,-0.00390625,-0.01875,0.0140625,post-training unseen frozen monitor only
lateral,v21,6,repair_rate_from_pi0,5,0.40821939828391435,0.34219354838709676,0.47112457912457917,post-training unseen frozen monitor only
lateral,v21,6,regression_rate_from_pi0,5,0.12236638874180346,0.09302430499357961,0.15170847249002728,post-training unseen frozen monitor only
lateral,v21,7,success_rate,5,0.775,0.75078125,0.7953125,post-training unseen frozen monitor only
lateral,v21,7,fall_rate,5,0.225,0.2046875,0.246875,post-training unseen frozen monitor only
lateral,v21,7,success_delta_from_pi0,5,0.01484375,-0.00625,0.0359375,post-training unseen frozen monitor only
lateral,v21,7,fall_delta_from_pi0,5,-0.01484375,-0.0359375,0.00625,post-training unseen frozen monitor only
lateral,v21,7,repair_rate_from_pi0,5,0.4401190398609753,0.36896535244922346,0.5190437710437711,post-training unseen frozen monitor only
lateral,v21,7,regression_rate_from_pi0,5,0.11803321407238583,0.08052030811100704,0.1555461200337646,post-training unseen frozen monitor only
lateral,v21,8,success_rate,5,0.790625,0.7625,0.81875,post-training unseen frozen monitor only
lateral,v21,8,fall_rate,5,0.209375,0.18125,0.2375,post-training unseen frozen monitor only
lateral,v21,8,success_delta_from_pi0,5,0.03046875,0.01953125,0.039863281249999716,post-training unseen frozen monitor only
lateral,v21,8,fall_delta_from_pi0,5,-0.03046875,-0.03984375,-0.01953125,post-training unseen frozen monitor only
lateral,v21,8,repair_rate_from_pi0,5,0.45837558379493865,0.40209796893667865,0.5146531986531986,post-training unseen frozen monitor only
lateral,v21,8,regression_rate_from_pi0,5,0.10318760350871511,0.07885066857201184,0.1255434945245429,post-training unseen frozen monitor only
contact_stability,control,0,success_rate,5,0.79609375,0.7859375,0.8125,post-training unseen frozen monitor only
contact_stability,control,0,fall_rate,5,0.20390625,0.1875,0.2140625,post-training unseen frozen monitor only
contact_stability,control,0,success_delta_from_pi0,5,0.0,0.0,0.0,post-training unseen frozen monitor only
