context_id,specialist_mode,evaluation_role,comparison,old_role,new_role,paired_episodes,old_success_rate,new_success_rate,success_delta,success_delta_lcb95,success_delta_ucb95,old_fall_rate,new_fall_rate,fall_delta,fall_delta_lcb95,fall_delta_ucb95,base_failure_count,base_success_count,repair_count,regression_count,repair_rate,regression_rate,repair_minus_regression
L4,lateral,D0,control_minus_base,base,control,256,0.9296875,0.9296875,0.0,-0.046875,0.046875,0.015625,0.0234375,0.0078125,-0.01171875,0.03125,18,238,17,17,0.9444444444444444,0.07142857142857142,0.873015873015873
L4,lateral,D0,v21_minus_base,base,v21,256,0.9296875,0.9140625,-0.015625,-0.0625,0.03125,0.015625,0.015625,0.0,-0.01953125,0.01953125,18,238,17,21,0.9444444444444444,0.08823529411764706,0.8562091503267973
L4,lateral,D0,v21_minus_control,control,v21,256,0.9296875,0.9140625,-0.015625,-0.0625,0.03125,0.0234375,0.015625,-0.0078125,-0.03125,0.015625,18,238,17,21,0.9444444444444444,0.08823529411764706,0.8562091503267973
L5,lateral,target,control_minus_base,base,control,1024,0.748046875,0.7451171875,-0.0029296875,-0.0361328125,0.03125,0.251953125,0.2548828125,0.0029296875,-0.0302734375,0.0361328125,258,766,152,155,0.5891472868217055,0.20234986945169714,0.38679741737000833
L5,lateral,target,v21_minus_base,base,v21,1024,0.748046875,0.751953125,0.00390625,-0.0302734375,0.0380859375,0.251953125,0.248046875,-0.00390625,-0.0390625,0.0302734375,258,766,166,162,0.6434108527131783,0.21148825065274152,0.4319226020604368
L5,lateral,target,v21_minus_control,control,v21,1024,0.7451171875,0.751953125,0.0068359375,-0.0283203125,0.041015625,0.2548828125,0.248046875,-0.0068359375,-0.041015625,0.02734375,261,763,165,158,0.632183908045977,0.20707732634338138,0.42510658170259563
L5,lateral,D0,control_minus_base,base,control,256,0.9140625,0.91796875,0.00390625,-0.04296875,0.05078125,0.01171875,0.015625,0.00390625,-0.01171875,0.0234375,22,234,18,17,0.8181818181818182,0.07264957264957266,0.7455322455322456
L5,lateral,D0,v21_minus_base,base,v21,256,0.9140625,0.91015625,-0.00390625,-0.0546875,0.046875,0.01171875,0.0234375,0.01171875,-0.01171875,0.03515625,22,234,20,21,0.9090909090909091,0.08974358974358974,0.8193473193473193
L5,lateral,D0,v21_minus_control,control,v21,256,0.91796875,0.91015625,-0.0078125,-0.05078125,0.03515625,0.015625,0.0234375,0.0078125,-0.015625,0.03125,21,235,16,18,0.7619047619047619,0.07659574468085106,0.6853090172239108
C1,contact_stability,target,control_minus_base,base,control,1024,0.8037109375,0.78125,-0.0224609375,-0.05859375,0.0126953125,0.1962890625,0.21875,0.0224609375,-0.0126953125,0.0576171875,201,823,155,178,0.7711442786069652,0.21628189550425272,0.5548623831027125
C1,contact_stability,target,v21_minus_base,base,v21,1024,0.8037109375,0.8134765625,0.009765625,-0.025390625,0.044921875,0.1962890625,0.1865234375,-0.009765625,-0.0439453125,0.025390625,201,823,170,160,0.845771144278607,0.19441069258809235,0.6513604516905147
C1,contact_stability,target,v21_minus_control,control,v21,1024,0.78125,0.8134765625,0.0322265625,-0.0029296875,0.068359375,0.21875,0.1865234375,-0.0322265625,-0.0673828125,0.0029541015624996447,224,800,185,152,0.8258928571428571,0.19,0.635892857142857
C1,contact_stability,D0,control_minus_base,base,control,256,0.93359375,0.921875,-0.01171875,-0.0546875,0.03515625,0.0078125,0.0,-0.0078125,-0.01953125,0.0,17,239,15,18,0.8823529411764706,0.07531380753138076,0.8070391336450898
C1,contact_stability,D0,v21_minus_base,base,v21,256,0.93359375,0.92578125,-0.0078125,-0.05078125,0.03515625,0.0078125,0.03515625,0.02734375,0.00390625,0.0546875,17,239,15,17,0.8823529411764706,0.07112970711297072,0.8112232340634998
C1,contact_stability,D0,v21_minus_control,control,v21,256,0.921875,0.92578125,0.00390625,-0.04296875,0.05078125,0.0,0.03515625,0.03515625,0.015625,0.05859375,20,236,19,18,0.95,0.07627118644067797,0.873728813559322
C2,contact_stability,target,control_minus_base,base,control,1024,0.7548828125,0.76171875,0.0068359375,-0.0302734375,0.04296875,0.2451171875,0.23828125,-0.0068359375,-0.0439453125,0.029296875,251,773,185,178,0.7370517928286853,0.23027166882276842,0.5067801240059169
C2,contact_stability,target,v21_minus_base,base,v21,1024,0.7548828125,0.7666015625,0.01171875,-0.025390625,0.048828125,0.2451171875,0.2333984375,-0.01171875,-0.0478515625,0.0263671875,251,773,194,182,0.7729083665338645,0.23544631306597671,0.5374620534678878
C2,contact_stability,target,v21_minus_control,control,v21,1024,0.76171875,0.7666015625,0.0048828125,-0.03125,0.041015625,0.23828125,0.2333984375,-0.0048828125,-0.04296875,0.03125,244,780,189,184,0.7745901639344263,0.2358974358974359,0.5386927280369904
