domain,pair_index,evaluation_seed,environment_id,baseline_success,final_success,baseline_fell,final_fell,baseline_timed_out,final_timed_out,baseline_return,final_return,baseline_intervention_per_riser,final_intervention_per_riser
target,0,125000000,0,False,False,True,True,False,False,-1.96244478225708,-0.9387435913085938,0.8571429252624512,0.3333333432674408
target,1,125000000,1,True,False,False,True,False,False,10.479545593261719,-0.5734028816223145,0.6666666865348816,0.1111111119389534
target,2,125000000,2,True,True,False,False,False,False,9.227045059204102,9.602212905883789,0.1111111119389534,0.2222222238779068
target,3,125000000,3,True,True,False,False,False,False,10.220888137817383,10.798254013061523,0.3333333432674408,0.5555555820465088
target,4,125000000,4,True,True,False,False,False,False,9.663987159729004,9.792108535766602,0.4444444477558136,0.2222222238779068
target,5,125000000,5,False,True,True,False,False,False,-4.439273834228516,9.681228637695312,0.4444444477558136,0.0
target,6,125000000,6,True,True,False,False,False,False,10.478164672851562,10.838863372802734,0.1111111119389534,0.5555555820465088
target,7,125000000,7,True,True,False,False,False,False,11.8921480178833,11.56590461730957,1.1111111640930176,1.3333333730697632
target,8,125000000,8,False,True,True,False,False,False,1.6088228225708008,11.327714920043945,2.777777910232544,1.0
target,9,125000000,9,True,True,False,False,False,False,9.517892837524414,9.128536224365234,0.1111111119389534,0.2222222238779068
target,10,125000000,10,True,False,False,True,False,False,8.633896827697754,-2.2307047843933105,0.5555555820465088,0.1111111119389534
target,11,125000000,11,True,True,False,False,False,False,8.462013244628906,11.095634460449219,0.4444444477558136,0.6666666865348816
target,12,125000000,12,True,True,False,False,False,False,4.891866207122803,10.138509750366211,0.3333333432674408,0.4444444477558136
target,13,125000000,13,False,False,True,True,False,False,-0.19515085220336914,-2.601557731628418,2.8333334922790527,1.8000000715255737
target,14,125000000,14,True,False,False,True,False,False,9.846620559692383,-1.5308985710144043,0.3333333432674408,0.1111111119389534
target,15,125000000,15,False,False,True,True,False,False,-3.5546555519104004,-0.8956601619720459,7.0,1.571428656578064
target,16,125000000,16,True,True,False,False,False,False,10.979337692260742,10.79399299621582,0.2222222238779068,0.3333333432674408
target,17,125000000,17,True,False,False,True,False,False,11.180486679077148,-2.003117322921753,0.7777777910232544,0.6666666865348816
target,18,125000000,18,True,True,False,False,False,False,10.231982231140137,10.04196834564209,0.2222222238779068,0.5555555820465088
target,19,125000000,19,False,False,True,True,False,False,-1.6521410942077637,-2.8514130115509033,2.4000000953674316,2.8333334922790527
target,20,125000000,20,True,True,False,False,False,False,10.94426441192627,10.478506088256836,0.5555555820465088,0.6666666865348816
target,21,125000000,21,True,True,False,False,False,False,9.514873504638672,10.662263870239258,0.5555555820465088,0.6666666865348816
target,22,125000000,22,True,True,False,False,False,False,9.60333251953125,9.79112434387207,0.1111111119389534,0.7777777910232544
target,23,125000000,23,True,False,False,True,False,False,12.611709594726562,1.6845169067382812,1.6666666269302368,2.7142858505249023
target,24,125000000,24,True,True,False,False,False,False,10.909015655517578,10.57708740234375,0.2222222238779068,0.1111111119389534
target,25,125000000,25,True,True,False,False,False,False,12.56515884399414,11.063262939453125,1.7777777910232544,1.2222222089767456
target,26,125000000,26,True,False,False,True,False,False,9.1121826171875,-1.3653926849365234,0.4444444477558136,7.0
