run,candidate,teacher_arm,round,elapsed_seconds,rollout_success_rate,rollout_fall_rate,rollout_mean_reached_riser,cbf_intervention_fraction,mean_cbf_correction_norm
raw_moderate,raw_moderate,A0,1,28.923636866966262,0.7175572519083969,0.2824427480916031,8.061068702290076,0.1179656982421875,0.5918548703193665
raw_moderate,raw_moderate,A0,2,28.19612959306687,0.6946564885496184,0.3053435114503817,7.961832061068702,0.122039794921875,0.6068517565727234
raw_moderate,raw_moderate,A0,3,28.45894149399828,0.7265625,0.2734375,8.0234375,0.1207122802734375,0.6000434160232544
raw_moderate,raw_moderate,A0,4,28.31129754590802,0.7596899224806202,0.24031007751937986,8.13953488372093,0.1182098388671875,0.5988218784332275
raw_moderate,raw_moderate,A0,5,28.774143074057065,0.751937984496124,0.24806201550387597,8.217054263565892,0.12353515625,0.6141523718833923
raw_moderate,raw_moderate,A0,6,28.23012005200144,0.676923076923077,0.3230769230769231,8.176923076923076,0.1213836669921875,0.5949857831001282
raw_moderate,raw_moderate,A0,7,28.287072266917676,0.7230769230769231,0.27692307692307694,8.084615384615384,0.1209716796875,0.6122029423713684
raw_moderate,raw_moderate,A0,8,28.659458006964996,0.7251908396946565,0.2748091603053435,8.198473282442748,0.1196746826171875,0.6193470358848572
raw_demo,raw_demo,A0,1,28.965859221993014,0.7054263565891473,0.29457364341085274,8.286821705426357,0.12091064453125,0.6051536202430725
raw_demo,raw_demo,A0,2,22.345311891986057,0.7251908396946565,0.2748091603053435,8.335877862595419,0.1188201904296875,0.5842642784118652
raw_demo,raw_demo,A0,3,23.788352165021934,0.7272727272727273,0.2727272727272727,8.045454545454545,0.1173553466796875,0.6042736172676086
raw_demo,raw_demo,A0,4,24.192292644060217,0.7364341085271318,0.26356589147286824,8.124031007751938,0.1189422607421875,0.6250883340835571
raw_demo,raw_demo,A0,5,20.661743476055562,0.6614173228346457,0.33858267716535434,8.031496062992126,0.1210479736328125,0.6453301906585693
raw_demo,raw_demo,A0,6,26.094298898009583,0.6592592592592592,0.34814814814814815,8.007407407407408,0.1241455078125,0.6129160523414612
raw_demo,raw_demo,A0,7,28.687957486021332,0.7322834645669292,0.2677165354330709,8.291338582677165,0.1192474365234375,0.599152147769928
raw_demo,raw_demo,A0,8,28.13663612608798,0.6940298507462687,0.30597014925373134,8.253731343283581,0.1217193603515625,0.6075300574302673
raw_moderate_A1,raw_moderate,A1,1,30.878885710029863,0.7153846153846154,0.2846153846153846,8.069230769230769,0.1217041015625,0.6059259176254272
raw_moderate_A1,raw_moderate,A1,2,30.178739308961667,0.6875,0.3125,7.90625,0.118377685546875,0.6053759455680847
raw_moderate_A1,raw_moderate,A1,3,29.277050232049078,0.7596899224806202,0.24031007751937986,8.44186046511628,0.10772705078125,0.5784153342247009
raw_moderate_A1,raw_moderate,A1,4,29.725671074003913,0.7593984962406015,0.24060150375939848,8.203007518796992,0.0965576171875,0.5644615292549133
raw_moderate_A1,raw_moderate,A1,5,24.484384859912097,0.7279411764705882,0.27205882352941174,7.904411764705882,0.092742919921875,0.5952616333961487
raw_moderate_A1,raw_moderate,A1,6,20.69217104197014,0.7956204379562044,0.20437956204379562,8.16058394160584,0.08770751953125,0.5239399075508118
raw_moderate_A1,raw_moderate,A1,7,27.918862401973456,0.6408450704225352,0.3591549295774648,7.626760563380282,0.08837890625,0.5888499617576599
raw_moderate_A1,raw_moderate,A1,8,20.60285365092568,0.7019867549668874,0.2980132450331126,7.9801324503311255,0.08251953125,0.5542560815811157

