scale,group_environment_id,environment_id,success,fell,steps,reached_risers
1.0,45,173,True,False,495,9
1.0,46,174,True,False,433,9
1.0,47,175,False,True,294,5
1.0,48,176,True,False,523,9
1.0,49,177,True,False,487,9
1.0,50,178,False,True,274,6
1.0,51,179,False,True,220,4
1.0,52,180,True,False,462,9
1.0,53,181,True,False,489,9
1.0,54,182,True,False,414,9
1.0,55,183,True,False,457,9
1.0,56,184,False,True,234,2
1.0,57,185,True,False,467,9
1.0,58,186,True,False,416,9
1.0,59,187,False,True,233,2
1.0,60,188,False,True,473,8
1.0,61,189,True,False,482,9
1.0,62,190,True,False,435,9
1.0,63,191,False,True,475,9
1.5,0,192,True,False,438,9
1.5,1,193,False,True,528,9
1.5,2,194,True,False,544,9
1.5,3,195,True,False,553,9
1.5,4,196,False,True,383,7
1.5,5,197,True,False,406,9
1.5,6,198,True,False,406,9
1.5,7,199,False,True,386,8
1.5,8,200,True,False,442,9
1.5,9,201,True,False,358,9
1.5,10,202,True,False,515,9
1.5,11,203,False,True,275,8
1.5,12,204,False,True,441,7
1.5,13,205,True,False,474,9
1.5,14,206,True,False,476,9
1.5,15,207,False,True,192,2
1.5,16,208,True,False,533,9
1.5,17,209,False,True,426,9
1.5,18,210,True,False,482,9
1.5,19,211,True,False,546,9
1.5,20,212,False,True,360,3
1.5,21,213,True,False,519,9
1.5,22,214,True,False,416,9
1.5,23,215,True,False,440,9
1.5,24,216,False,True,354,7
1.5,25,217,True,False,429,9
1.5,26,218,False,True,299,6
1.5,27,219,False,True,475,9
1.5,28,220,True,False,370,9
1.5,29,221,False,True,434,8
1.5,30,222,True,False,407,9
1.5,31,223,True,False,498,9
1.5,32,224,True,False,430,9
1.5,33,225,True,False,463,9
1.5,34,226,True,False,507,9
1.5,35,227,True,False,430,9
1.5,36,228,True,False,453,9
1.5,37,229,False,True,411,7
1.5,38,230,True,False,439,9
1.5,39,231,True,False,394,9
1.5,40,232,True,False,485,9
1.5,41,233,True,False,557,9
1.5,42,234,True,False,450,9
1.5,43,235,True,False,435,9
1.5,44,236,True,False,472,9
1.5,45,237,True,False,419,9
1.5,46,238,True,False,516,9
1.5,47,239,True,False,481,9
1.5,48,240,True,False,373,9
1.5,49,241,True,False,398,9
1.5,50,242,True,False,434,9
1.5,51,243,False,True,286,5
1.5,52,244,False,True,343,9
1.5,53,245,True,False,374,9
1.5,54,246,False,True,392,6
1.5,55,247,True,False,428,9
1.5,56,248,False,True,311,6
1.5,57,249,True,False,424,9
1.5,58,250,True,False,479,9
1.5,59,251,False,True,442,9
1.5,60,252,True,False,502,9
1.5,61,253,False,True,414,8
1.5,62,254,True,False,397,9
1.5,63,255,True,False,380,9
