round,configured_runtime_filter_fraction,rollout_success_rate,rollout_fall_rate,rollout_filter_on_episode_count,rollout_filter_on_success_rate,rollout_filter_on_fall_rate,rollout_filter_off_episode_count,rollout_filter_off_success_rate,rollout_filter_off_fall_rate,rollout_mean_return,rollout_mean_reached_riser,actor_loss,value_loss,moving_forward_kl,behavior_approx_kl,clip_fraction,action_mean_shift,actor_gradient_norm,actor_gradient_clipped_fraction,teacher_transition_count,teacher_fraction_among_interventions,teacher_weight_sum,teacher_loss,teacher_huber_loss_mean,teacher_smooth_l1_beta,mean_cbf_correction_norm,mean_residual_target_norm,mean_policy_to_target_distance_before_update,mean_policy_to_target_distance_after_update,teacher_mode,teacher_gate_mode,teacher_eta,cbf_intervention_count,cbf_intervention_per_riser,toe_riser_kick_event_count,round_start_actor_sha256,round_end_actor_sha256,epoch_moving_forward_kl_json,minibatch_diagnostics_json,teacher_error_before_action_00,teacher_error_before_action_01,teacher_error_before_action_02,teacher_error_before_action_03,teacher_error_before_action_04,teacher_error_before_action_05,teacher_error_before_action_06,teacher_error_before_action_07,teacher_error_before_action_08,teacher_error_before_action_09,teacher_error_before_action_10,teacher_error_before_action_11,teacher_error_after_action_00,teacher_error_after_action_01,teacher_error_after_action_02,teacher_error_after_action_03,teacher_error_after_action_04,teacher_error_after_action_05,teacher_error_after_action_06,teacher_error_after_action_07,teacher_error_after_action_08,teacher_error_after_action_09,teacher_error_after_action_10,teacher_error_after_action_11
1,0.0,0.7431906614785992,0.25680933852140075,0,,,257,0.7431906614785992,0.25680933852140075,8.165597281103468,8.163424124513618,0.0033993498218478635,0.28342635557055473,0.0007188019808381796,0.0007767429342493415,0.17694091796875,0.0026189963682554662,47.882720947265625,1.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,none,none,0.0,0,0.0,2003.0,4a4926d9227c31fb239ceead6c39bed61304d1f2c7e3a47aea510e060cee2acd,37093be6fa133df4ef6da47732c41a57283e8509c597fa1b0a5eedd3d3cd7dd7,"[0.0013561062514781952,0.0007188019808381796]","[{""accumulated_microbatches"":1,""action_mean_shift"":0.004092355724424124,""actor_gradient_norm_pre_clip"":8.861482620239258,""behavior_approximate_kl"":0.00407422985881567,""clip_fraction"":0.502655029296875,""epoch"":1,""minibatch"":1,""moving_forward_kl"":0.003764462424442172},{""accumulated_microbatches"":1,""action_mean_shift"":0.0033223051577806473,""actor_gradient_norm_pre_clip"":47.882720947265625,""behavior_approximate_kl"":0.0023471610620617867,""clip_fraction"":0.4267578125,""epoch"":1,""minibatch"":2,""moving_forward_kl"":0.002408751752227545},{""accumulated_microbatches"":1,""action_mean_shift"":0.002780154114589095,""actor_gradient_norm_pre_clip"":40.11038589477539,""behavior_approximate_kl"":0.0016331004444509745,""clip_fraction"":0.347015380859375,""epoch"":1,""minibatch"":3,""moving_forward_kl"":0.0016605975106358528},{""accumulated_microbatches"":1,""action_mean_shift"":0.002534050028771162,""actor_gradient_norm_pre_clip"":30.805755615234375,""behavior_approximate_kl"":0.0017132386565208435,""clip_fraction"":0.311279296875,""epoch"":1,""minibatch"":4,""moving_forward_kl"":0.0013585074339061975},{""accumulated_microbatches"":1,""action_mean_shift"":0.002202311996370554,""actor_gradient_norm_pre_clip"":32.10799789428711,""behavior_approximate_kl"":0.001228847773745656,""clip_fraction"":0.250335693359375,""epoch"":2,""minibatch"":1,""moving_forward_kl"":0.0010254592634737492},{""accumulated_microbatches"":1,""action_mean_shift"":0.002086817752569914,""actor_gradient_norm_pre_clip"":24.260929107666016,""behavior_approximate_kl"":0.00046182714868336916,""clip_fraction"":0.221923828125,""epoch"":2,""minibatch"":2,""moving_forward_kl"":0.0009211504366248846},{""accumulated_microbatches"":1,""action_mean_shift"":0.00207702093757689,""actor_gradient_norm_pre_clip"":22.043073654174805,""behavior_approximate_kl"":0.0009717370267026126,""clip_fraction"":0.22412109375,""epoch"":2,""minibatch"":3,""moving_forward_kl"":0.0009229765273630619},{""accumulated_microbatches"":1,""action_mean_shift"":0.0018569552339613438,""actor_gradient_norm_pre_clip"":25.642227172851562,""behavior_approximate_kl"":0.000965846935287118,""clip_fraction"":0.176727294921875,""epoch"":2,""minibatch"":4,""moving_forward_kl"":0.00071855349233374}]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.76953125,0.23046875,0,,,256,0.76953125,0.23046875,8.436838222667575,8.17578125,0.00021329993614926934,0.26076748967170715,0.0004262123547960073,0.00038235675310716033,0.08817291259765625,0.0014226246275939047,23.07941246032715,1.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,none,none,0.0,0,0.0,2003.0,37093be6fa133df4ef6da47732c41a57283e8509c597fa1b0a5eedd3d3cd7dd7,1e7d9515bd61819500a3f38f4b2356ac37dd92cef6ca836fd37c57852c922cc1,"[0.00036296213511377573,0.0004262123547960073]","[{""accumulated_microbatches"":1,""action_mean_shift"":0.0013656830415129662,""actor_gradient_norm_pre_clip"":8.825370788574219,""behavior_approximate_kl"":0.00041145674185827374,""clip_fraction"":0.082061767578125,""epoch"":1,""minibatch"":1,""moving_forward_kl"":0.0004017156607005745},{""accumulated_microbatches"":1,""action_mean_shift"":0.001784470397979021,""actor_gradient_norm_pre_clip"":18.38687515258789,""behavior_approximate_kl"":0.0007149954326450825,""clip_fraction"":0.164215087890625,""epoch"":1,""minibatch"":2,""moving_forward_kl"":0.0006631686701439321},{""accumulated_microbatches"":1,""action_mean_shift"":0.0015880700666457415,""actor_gradient_norm_pre_clip"":23.07941246032715,""behavior_approximate_kl"":0.0004620477557182312,""clip_fraction"":0.1175537109375,""epoch"":1,""minibatch"":3,""moving_forward_kl"":0.000523493392392993},{""accumulated_microbatches"":1,""action_mean_shift"":0.001303497003391385,""actor_gradient_norm_pre_clip"":16.953922271728516,""behavior_approximate_kl"":0.000586820300668478,""clip_fraction"":0.06884765625,""epoch"":1,""minibatch"":4,""moving_forward_kl"":0.0003634257591329515},{""accumulated_microbatches"":1,""action_mean_shift"":0.001293850364163518,""actor_gradient_norm_pre_clip"":10.034945487976074,""behavior_approximate_kl"":0.00030036456882953644,""clip_fraction"":0.065643310546875,""epoch"":2,""minibatch"":1,""moving_forward_kl"":0.0003555702860467136},{""accumulated_microbatches"":1,""action_mean_shift"":0.0012677775230258703,""actor_gradient_norm_pre_clip"":13.517111778259277,""behavior_approximate_kl"":0.0003664231044240296,""clip_fraction"":0.060302734375,""epoch"":2,""minibatch"":2,""moving_forward_kl"":0.00034516461892053485},{""accumulated_microbatches"":1,""action_mean_shift"":0.0013458856847137213,""actor_gradient_norm_pre_clip"":13.47400188446045,""behavior_approximate_kl"":0.0005108664045110345,""clip_fraction"":0.0745849609375,""epoch"":2,""minibatch"":3,""moving_forward_kl"":0.00038294013938866556},{""accumulated_microbatches"":1,""action_mean_shift"":0.0014317629393190145,""actor_gradient_norm_pre_clip"":13.447336196899414,""behavior_approximate_kl"":0.00033219109172932804,""clip_fraction"":0.08575439453125,""epoch"":2,""minibatch"":4,""moving_forward_kl"":0.00042474616202525795}]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.7725490196078432,0.22745098039215686,0,,,255,0.7725490196078432,0.22745098039215686,8.643870982936784,8.196078431372548,4.859277396462858e-06,0.24441052414476871,0.00038338039303198457,0.0004102544335182756,0.0717926025390625,0.0013659054384334013,19.94861602783203,1.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,none,none,0.0,0,0.0,1952.0,1e7d9515bd61819500a3f38f4b2356ac37dd92cef6ca836fd37c57852c922cc1,fd4f60dac68633581cb5433daea96e81f35a8242bcd1b7bb0e9f09e03b71a2e8,"[0.0004163624835200608,0.00038338039303198457]","[{""accumulated_microbatches"":1,""action_mean_shift"":0.0010922679211944342,""actor_gradient_norm_pre_clip"":9.006974220275879,""behavior_approximate_kl"":0.0004415198345668614,""clip_fraction"":0.038909912109375,""epoch"":1,""minibatch"":1,""moving_forward_kl"":0.0002625278721097857},{""accumulated_microbatches"":1,""action_mean_shift"":0.0014865691773593426,""actor_gradient_norm_pre_clip"":12.30172348022461,""behavior_approximate_kl"":0.0005572570953518152,""clip_fraction"":0.1026611328125,""epoch"":1,""minibatch"":2,""moving_forward_kl"":0.0004719506250694394},{""accumulated_microbatches"":1,""action_mean_shift"":0.0015607053646817803,""actor_gradient_norm_pre_clip"":19.94861602783203,""behavior_approximate_kl"":0.000315971439704299,""clip_fraction"":0.119842529296875,""epoch"":1,""minibatch"":3,""moving_forward_kl"":0.0005152246449142694},{""accumulated_microbatches"":1,""action_mean_shift"":0.0014070847537368536,""actor_gradient_norm_pre_clip"":14.3294677734375,""behavior_approximate_kl"":0.0005662356270477176,""clip_fraction"":0.08233642578125,""epoch"":1,""minibatch"":4,""moving_forward_kl"":0.0004164419078733772},{""accumulated_microbatches"":1,""action_mean_shift"":0.001281960285268724,""actor_gradient_norm_pre_clip"":12.536057472229004,""behavior_approximate_kl"":0.00038809343823231757,""clip_fraction"":0.063751220703125,""epoch"":2,""minibatch"":1,""moving_forward_kl"":0.00035415455931797624},{""accumulated_microbatches"":1,""action_mean_shift"":0.0013449781108647585,""actor_gradient_norm_pre_clip"":8.857563972473145,""behavior_approximate_kl"":0.0003790697082877159,""clip_fraction"":0.06964111328125,""epoch"":2,""minibatch"":2,""moving_forward_kl"":0.0003832356014754623},{""accumulated_microbatches"":1,""action_mean_shift"":0.001395925646647811,""actor_gradient_norm_pre_clip"":10.732854843139648,""behavior_approximate_kl"":0.0006309817545115948,""clip_fraction"":0.0765380859375,""epoch"":2,""minibatch"":3,""moving_forward_kl"":0.000405479921028018},{""accumulated_microbatches"":1,""action_mean_shift"":0.0013577522477135062,""actor_gradient_norm_pre_clip"":11.443320274353027,""behavior_approximate_kl"":0.0002883588313125074,""clip_fraction"":0.07080078125,""epoch"":2,""minibatch"":4,""moving_forward_kl"":0.0003834012895822525}]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.6848249027237354,0.3151750972762646,0,,,257,0.6848249027237354,0.3151750972762646,7.072113180902681,7.980544747081712,0.00012882851297035813,0.26738742738962173,0.00040773069486021996,0.0005921461852267385,0.0804443359375,0.0014521996345138177,18.859827041625977,1.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,none,none,0.0,0,0.0,2007.0,fd4f60dac68633581cb5433daea96e81f35a8242bcd1b7bb0e9f09e03b71a2e8,12a4b4a62b18784090abe1da0615af22e8343f3a14383b6aa03f5f4bc4b8b99e,"[0.0005825405241921544,0.00040773069486021996]","[{""accumulated_microbatches"":1,""action_mean_shift"":0.000905744731426239,""actor_gradient_norm_pre_clip"":8.325927734375,""behavior_approximate_kl"":0.00019844088819809258,""clip_fraction"":0.02252197265625,""epoch"":1,""minibatch"":1,""moving_forward_kl"":0.00019452064589131624},{""accumulated_microbatches"":1,""action_mean_shift"":0.0015096482820808887,""actor_gradient_norm_pre_clip"":11.429659843444824,""behavior_approximate_kl"":0.0004429419641382992,""clip_fraction"":0.109649658203125,""epoch"":1,""minibatch"":2,""moving_forward_kl"":0.00049539003521204},{""accumulated_microbatches"":1,""action_mean_shift"":0.001673234160989523,""actor_gradient_norm_pre_clip"":17.3257999420166,""behavior_approximate_kl"":0.0005174991674721241,""clip_fraction"":0.140472412109375,""epoch"":1,""minibatch"":3,""moving_forward_kl"":0.0005880687385797501},{""accumulated_microbatches"":1,""action_mean_shift"":0.001666484517045319,""actor_gradient_norm_pre_clip"":18.859827041625977,""behavior_approximate_kl"":0.0008190952939912677,""clip_fraction"":0.135345458984375,""epoch"":1,""minibatch"":4,""moving_forward_kl"":0.0005836042109876871},{""accumulated_microbatches"":1,""action_mean_shift"":0.0015541117172688246,""actor_gradient_norm_pre_clip"":15.378447532653809,""behavior_approximate_kl"":0.0009055098635144532,""clip_fraction"":0.111083984375,""epoch"":2,""minibatch"":1,""moving_forward_kl"":0.0005079408874735236},{""accumulated_microbatches"":1,""action_mean_shift"":0.001483476022258401,""actor_gradient_norm_pre_clip"":14.932063102722168,""behavior_approximate_kl"":0.0007430741097778082,""clip_fraction"":0.09600830078125,""epoch"":2,""minibatch"":2,""moving_forward_kl"":0.00046291356557048857},{""accumulated_microbatches"":1,""action_mean_shift"":0.0014381872024387121,""actor_gradient_norm_pre_clip"":15.059418678283691,""behavior_approximate_kl"":0.0006297457730397582,""clip_fraction"":0.088531494140625,""epoch"":2,""minibatch"":3,""moving_forward_kl"":0.00043384646414779127},{""accumulated_microbatches"":1,""action_mean_shift"":0.0013867104426026344,""actor_gradient_norm_pre_clip"":14.941732406616211,""behavior_approximate_kl"":0.00039142052992247045,""clip_fraction"":0.07879638671875,""epoch"":2,""minibatch"":4,""moving_forward_kl"":0.0004089446156285703}]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
