rank,candidate,candidate_index,status,mean_success,F1_fall_rate,F1_intervention_steps_per_riser,F1_mean_cbf_compute_time_ms,F1_mean_completion_time_s,F1_mean_reached_riser,F1_mean_return,F1_mean_toe_riser_contact_impulse,F1_mean_velocity_correction_jerk,F1_mean_velocity_correction_norm,F1_post_intervention_fall_rate,F1_post_intervention_mean_support_foot_slip,F1_success_rate,F1_unsafe_overlap_steps_per_riser,F2_fall_rate,F2_intervention_steps_per_riser,F2_mean_cbf_compute_time_ms,F2_mean_completion_time_s,F2_mean_reached_riser,F2_mean_return,F2_mean_toe_riser_contact_impulse,F2_mean_velocity_correction_jerk,F2_mean_velocity_correction_norm,F2_post_intervention_fall_rate,F2_post_intervention_mean_support_foot_slip,F2_success_rate,F2_unsafe_overlap_steps_per_riser,F3_fall_rate,F3_intervention_steps_per_riser,F3_mean_cbf_compute_time_ms,F3_mean_completion_time_s,F3_mean_reached_riser,F3_mean_return,F3_mean_toe_riser_contact_impulse,F3_mean_velocity_correction_jerk,F3_mean_velocity_correction_norm,F3_post_intervention_fall_rate,F3_post_intervention_mean_support_foot_slip,F3_success_rate,F3_unsafe_overlap_steps_per_riser,alpha,barrier_slope,elapsed_seconds,hip_roll_yaw_weight,lambda_s,lambda_x,mode,other_joint_weight,stance_leg_weight,swing_ankle_pitch_weight,swing_hip_pitch_weight,swing_knee_weight,toe_margin,top_clearance
13,c006,6,completed,0.609375,0.28125,6.833644859813084,2.0747757289498887,8.185625000000002,8.359375,-8.433804623782635,45.32391916960478,71.90674719162786,2.6891419002279267,0.28125,0.16265007849397267,0.71875,1.0130841121495326,0.375,7.094188376753507,2.2100804961676417,7.6296875,7.796875,-9.103638730943203,40.425325982272625,76.35202752214315,2.8409378392369735,0.375,0.16715222936220162,0.625,0.9478957915831663,0.515625,6.875862068965517,2.0726862000523982,8.2465625,9.0625,-12.471221551299095,51.56910948455334,79.01765043555079,2.8994225473789537,0.515625,0.16770497783480967,0.484375,1.0120689655172415,10.0,0.5,79.94390203000512,2.0,0.0,0.0,task_metric_velocity_cbf,1.0,2.0,1.0,1.0,1.0,0.08,0.025
32,c007,7,completed,0.5520833333333334,0.34375,6.826815642458101,2.0068235895068374,8.385625,8.390625,-8.591609813272953,43.6361623108387,61.97188989190486,2.15055271480481,0.34375,0.15754318525415445,0.65625,0.8603351955307262,0.40625,7.142581888246628,2.0334161937713624,8.30875,8.109375,-9.663452953100204,43.42658753693104,62.90582026548631,2.1942463383130137,0.40625,0.15771649466971643,0.59375,0.953757225433526,0.59375,6.605442176870748,2.0925010982513426,8.487187500000001,9.1875,-11.755437217652798,47.7187377512455,65.35799758626284,2.070242424970558,0.59375,0.16361527338079507,0.40625,0.9574829931972789,10.0,0.65,81.5485977929784,2.0,0.0,0.0,task_metric_velocity_cbf,1.0,2.0,1.0,1.0,1.0,0.08,0.025
20,c008,8,completed,0.5885416666666666,0.359375,5.97029702970297,2.0999578847931053,8.3740625,7.890625,-5.6342440992593765,43.38752245903015,41.86227792013215,1.2203669003703264,0.359375,0.15214112587147863,0.640625,0.8435643564356435,0.390625,6.47165991902834,2.0199436084644216,8.236249999999998,7.71875,-6.797007359564304,44.98739655315876,44.63071909325675,1.3255569161585745,0.390625,0.15274568867472801,0.609375,0.917004048582996,0.484375,5.798657718120805,2.136225948471954,9.0625,9.3125,-9.635108314454556,55.49381493777037,46.804684738685346,1.3736335244014346,0.484375,0.15597230366869969,0.515625,0.9865771812080537,10.0,1.0,82.89296542597003,2.0,0.0,0.0,task_metric_velocity_cbf,1.0,2.0,1.0,1.0,1.0,0.08,0.025
14,c009,9,completed,0.609375,0.328125,5.372848948374761,2.197319999966823,8.4825,8.171875,-5.258019421249628,47.73417650163174,38.578449243646155,1.128043739415536,0.328125,0.15080406356785103,0.671875,0.8393881453154876,0.359375,6.073558648111332,2.066772809261229,8.2771875,7.859375,-7.261853598058224,45.636179476976395,43.953476274180495,1.4683848444519954,0.359375,0.15053524239658647,0.640625,0.9204771371769384,0.484375,5.353896103896104,2.0095505402162974,9.3546875,9.625,-9.754014976322651,56.883318692445755,40.811964807212505,1.193755947538025,0.484375,0.15431616943635823,0.515625,0.961038961038961,10.0,1.15,83.88820499903522,2.0,0.0,0.0,task_metric_velocity_cbf,1.0,2.0,1.0,1.0,1.0,0.08,0.025
11,c010,10,completed,0.6145833333333334,0.265625,5.736940298507463,2.1097813859243875,8.6659375,8.375,-4.576547134667635,37.68177403509617,46.02014771586289,1.3941972838534507,0.265625,0.15074645413070398,0.734375,0.6697761194029851,0.46875,6.688128772635815,2.1306112958155925,8.306875,7.765625,-8.4952229000628,37.92223259061575,51.95505235347815,1.7011522903425162,0.46875,0.1543645987000697,0.53125,0.7746478873239436,0.421875,5.652931854199683,1.9596625456273649,9.483125000000001,9.859375,-9.917406216263771,45.44835364818573,50.959896833087555,1.5447292500099117,0.421875,0.1568462936214783,0.578125,0.6925515055467512,10.0,0.8,85.29869917000178,2.0,0.0,0.0,task_metric_velocity_cbf,1.0,2.0,1.0,1.0,1.0,0.08,0.015
5,c011,11,completed,0.640625,0.21875,6.024208566108007,2.075857677156963,8.853437499999998,8.390625,-5.082461163401604,41.518333718180656,47.58266925061108,1.4541176011671664,0.21875,0.15202077913703566,0.78125,0.7337057728119181,0.40625,6.616302186878728,2.119207942819262,8.0815625,7.859375,-8.126552946865559,37.85838685184717,54.17505867456063,1.8175559824384524,0.40625,0.15779612154726497,0.59375,0.7753479125248509,0.453125,5.877934272300469,2.0128567053721502,9.5146875,9.984375,-10.946386873722076,51.1959682777524,51.903587522477586,1.6037558159906649,0.453125,0.1588552167948552,0.546875,0.8075117370892019,10.0,0.8,82.92849088297226,2.0,0.0,0.0,task_metric_velocity_cbf,1.0,2.0,1.0,1.0,1.0,0.08,0.02
6,c012,12,completed,0.6354166666666666,0.328125,6.195530726256983,2.0570032737986015,8.3371875,8.390625,-6.157668344676495,47.944249868392944,51.28934277808623,1.5681735127801244,0.328125,0.15339569508652842,0.671875,0.925512104283054,0.265625,6.716981132075472,2.072769974156043,8.5734375,8.28125,-6.7460948303341866,47.45855151116848,53.07655082467651,1.6459054487008355,0.265625,0.15374024763132127,0.734375,1.0,0.5,6.712241653418124,2.0000407469920702,9.265,9.828125,-12.276621028780937,54.684281677007675,59.80435109846153,1.9246194482300003,0.5,0.1583572442723899,0.5,0.9745627980922098,10.0,0.8,80.29181954497471,2.0,0.0,0.0,task_metric_velocity_cbf,1.0,2.0,1.0,1.0,1.0,0.08,0.03
21,c013,13,completed,0.5885416666666666,0.28125,7.222014925373134,2.08513305733137,8.55375,8.375,-7.450218208134174,47.04507492110133,58.47427297255179,1.9517061132341558,0.28125,0.1544002972600377,0.71875,1.1287313432835822,0.421875,7.4435318275154,2.015538395853201,8.053125000000001,7.609375,-9.016349487006664,43.98982249945402,57.16777965233314,1.9828346711330096,0.421875,0.15796970215293882,0.578125,1.215605749486653,0.53125,7.294314381270903,2.0446461861293512,8.7703125,9.34375,-13.418638989329338,54.55962347984314,65.43881266145554,2.2146552434690534,0.53125,0.15869603282333378,0.46875,1.2123745819397993,10.0,0.8,112.14786639600061,2.0,0.0,0.0,task_metric_velocity_cbf,1.0,2.0,1.0,1.0,1.0,0.08,0.04
7,c014,14,completed,0.6354166666666666,0.28125,5.67112810707457,2.100080772688937,8.673124999999999,8.171875,-4.738456796854734,50.01722094416618,43.4735719576739,1.323920737943672,0.28125,0.15080285846475966,0.71875,0.9636711281070746,0.34375,6.305019305019305,2.064070885939314,8.684687499999999,8.09375,-7.543661944568157,43.20492083579302,47.53298215010592,1.5925715741143154,0.34375,0.15371575887191913,0.65625,0.9903474903474904,0.46875,5.8234234234234235,2.0606533747313596,8.605625,8.671875,-9.248085841536522,48.87101599574089,49.328612784776944,1.5965793744542343,0.46875,0.15528067816695548,0.53125,0.9333333333333333,10.0,0.8,84.181012772955,2.0,0.0,0.0,task_metric_velocity_cbf,1.0,2.0,1.0,1.0,1.0,0.04,0.025
8,c015,15,completed,0.6354166666666666,0.359375,6.031372549019608,2.0832498660482512,8.49875,7.96875,-6.1323603838682175,45.608152233064175,46.16159376752326,1.411060922372725,0.359375,0.1513629641636698,0.640625,0.8450980392156863,0.3125,6.131528046421663,2.1237670818964642,8.29125,8.078125,-5.632278211414814,44.89153762161732,46.42558405666389,1.472743374395924,0.3125,0.15591664170370453,0.6875,0.8123791102514507,0.421875,5.9223140495867765,2.0364961854049137,9.36125,9.453125,-8.74128820002079,55.861219860613346,49.00451925845407,1.4542380302511717,0.421875,0.15460211541380062,0.578125,0.9652892561983472,10.0,0.8,84.33968396205455,2.0,0.0,0.0,task_metric_velocity_cbf,1.0,2.0,1.0,1.0,1.0,0.06,0.025
