context_id,method_role,beta,rounds,accepted_rounds,accepted_count,target_training_diagnostic_before,target_training_diagnostic_after,d0_training_diagnostic_before,d0_training_diagnostic_after,initial_actor_sha256,final_actor_sha256,summary_sha256,checkpoint_sha256
L_dev,control,0.0,8,2|6,2,0.796875,0.7734375,0.921875,0.90625,f8e27e9b3bb92dd33a460f38ecbd72f8b0fe03809683f697d54d3549626d69bb,886e3556abb405d188bd379e02204ad1d76ffe26bed59be797912e3029869722,f18be96eb2f584b5ef8dfe662c8deed25156260685053c9b036c1cf7d7fdfdc6,dbdbac981b507c00e9a862ffa3de89669aeb8e994e7d4cda95c09727afa4294e
L_dev,v21,1.0,8,1|2|3,3,0.8125,0.796875,0.8828125,0.921875,f8e27e9b3bb92dd33a460f38ecbd72f8b0fe03809683f697d54d3549626d69bb,90944d51a5e5378beb09bbed2f2c6011d11bed6b5d841f29131fa69390423c7a,6fb599b1d064d5a67feb7de197c29d7d3003106bac89c2769974268f9d8e838a,dacf673a82a3f7791ab28f0b2bb222c544789aeaab84dd4210f107f359608dba
L_dev,v21,4.0,8,1|5,2,0.7890625,0.765625,0.890625,0.9140625,f8e27e9b3bb92dd33a460f38ecbd72f8b0fe03809683f697d54d3549626d69bb,9b5573ab504c06d6a221735585a6318d9e7a4dcd0accd73404b82b2725d44d13,15c3428744f6631a56b5f63e95fc4c82d5d8215fd3c1524ab7cd2119a778a8ac,981b42ccf583f7a432d67424d9b0eb34f5a0710355dc54a0bbde782bdb313469
L_dev,v21,16.0,8,4,1,0.734375,0.7265625,0.9453125,0.8984375,f8e27e9b3bb92dd33a460f38ecbd72f8b0fe03809683f697d54d3549626d69bb,a4835cfac2ab20d444735878798432b1aaf589eb23b105e614fe49eb293c75a2,cd14b3bee39cf1fd31d9cec2b1ea68094c59035d1f6a92561e826278c7ebb511,78c379c815d2329e90542ef34a933890a821a28ee343be7353347982ce2532c2
C_dev,control,0.0,8,4|5|6|8,4,0.8046875,0.8515625,0.8828125,0.890625,f8e27e9b3bb92dd33a460f38ecbd72f8b0fe03809683f697d54d3549626d69bb,787c56f80b6b6dcadbda5ca6705824f03fb976c193996d26629b25c9260de254,2e20ebd9fdc254da6ec313121a3b1fb0f9c55fc8769cc599b1d3c1767bc4b7d5,5e670865470fccd5f2b8f8e4c6397656727ddec5139fb1f23b1ded51571c34ab
C_dev,v21,1.0,8,8,1,0.859375,0.8515625,0.890625,0.90625,f8e27e9b3bb92dd33a460f38ecbd72f8b0fe03809683f697d54d3549626d69bb,b6a2c81b895fccfaa3efa11e2845ca14538b6523afe8ed3e2ac0ab49aa80efc7,059a42cfe9c1416a40e9352cb7f78442518a753cf219a066d01a7faa36e52c56,438443245c6ad40978b8e6cd73c5a86a3730f0ffcc27a828dd5e951befb760b3
C_dev,v21,4.0,8,5|8,2,0.859375,0.8203125,0.8671875,0.921875,f8e27e9b3bb92dd33a460f38ecbd72f8b0fe03809683f697d54d3549626d69bb,f7ec2d70c67a829407efd359d8a20dda8ee9f44efcbeabe9f7fba2abb49ea09a,81f57a8dd2b88dbade05047b3f118dd7c10de5b4b6f2af59c3f52032cf0ee777,b6c267b1da9daa854155ad3f0d2e0463edbd45b7457dd75f78b3dd422613a4f1
C_dev,v21,16.0,8,2|3|5|7|8,5,0.859375,0.8203125,0.8515625,0.90625,f8e27e9b3bb92dd33a460f38ecbd72f8b0fe03809683f697d54d3549626d69bb,f78bba6181629b11fb9ea519931326aeaaf379da96bd9834cc0a267298f6f5e1,20c30a4b7dbe4b61830dd5a2932b5eda7d70b6c59f055abbb10979fbac11fbc5,c75913bfadd3084f20f8c533e0274949d4e1fdaebc7f531631a7db15080a4604
