kind,context,schedule,absolute_round,actor_gradient_norm,actor_learning_rate,actor_loss,behavior_approx_kl,cbf_intervention_count,cbf_intervention_per_completed_riser,clip_fraction,context_assignment_json,continuation_round,critic_learning_rate,integrity_checks_json,mean_cbf_correction_norm,mean_policy_to_target_distance_after_update,mean_policy_to_target_distance_before_update,moving_forward_kl,rollout_context_metrics_json,rollout_fall_rate,rollout_mean_reached_riser,rollout_mean_return,rollout_success_rate,round_end_actor_sha256,round_start_actor_sha256,teacher_loss,teacher_transition_count,teacher_weight_sum,value_loss
continuation,F1,LongConstant,19,23.079450607299805,5e-06,0.015145920566283166,0.0006182602955959737,8286,8.076023391812866,0.13592529296875,"{""F1"":64}",11,0.0001,"{""actor_optimizer_steps"":true,""behavior_distribution_parameters"":true,""behavior_log_prob"":true,""critic_optimizer_steps"":true,""finite_core_metrics"":true,""no_KL_or_performance_gate"":true,""raw_action_storage"":true,""safe_action_execution_routing"":true,""teacher_reprojection"":true}",0.6117758750915527,0.1557619422674179,0.1562601923942566,0.0005860567325726151,"{""F1"":{""episode_count"":129,""fall_rate"":0.3023255813953488,""mean_reached_riser"":7.953488372093023,""mean_return"":-6.176337460214778,""success_rate"":0.6976744186046512}}",0.3023255813953488,7.953488372093023,-6.176337460214778,0.6976744186046512,64f5145e54c344ed5334df092533044c8fbd08f6d043fb31dbdeff705a8c48d1,ebcbbdb2eac05ae70043c1afc28c3b9886db886bc9b58df56db9c3fde568088f,0.015143283060751855,8286.0,8105.04296875,0.3631082959473133
continuation,F1,LongConstant,20,22.497285842895508,5e-06,0.015457942034117877,0.0006036879494786263,7810,7.244897959183674,0.116790771484375,"{""F1"":64}",12,0.0001,"{""actor_optimizer_steps"":true,""behavior_distribution_parameters"":true,""behavior_log_prob"":true,""critic_optimizer_steps"":true,""finite_core_metrics"":true,""no_KL_or_performance_gate"":true,""raw_action_storage"":true,""safe_action_execution_routing"":true,""teacher_reprojection"":true}",0.6158658862113953,0.15684783458709717,0.15733857452869415,0.0005478610401041806,"{""F1"":{""episode_count"":130,""fall_rate"":0.2076923076923077,""mean_reached_riser"":8.292307692307693,""mean_return"":-4.867079522059514,""success_rate"":0.7923076923076923}}",0.2076923076923077,8.292307692307693,-4.867079522059514,0.7923076923076923,83fb1dec2fde4f3d8cb8066fabbee76fff95a508b04eede9dcdb311187a79b42,64f5145e54c344ed5334df092533044c8fbd08f6d043fb31dbdeff705a8c48d1,0.015373155009001493,7810.0,7637.90966796875,0.3938780799508095
continuation,F1,LongConstant,21,23.366374969482422,5e-06,0.014798530493862927,0.0007083128439262509,7994,7.527306967984934,0.1291656494140625,"{""F1"":64}",13,0.0001,"{""actor_optimizer_steps"":true,""behavior_distribution_parameters"":true,""behavior_log_prob"":true,""critic_optimizer_steps"":true,""finite_core_metrics"":true,""no_KL_or_performance_gate"":true,""raw_action_storage"":true,""safe_action_execution_routing"":true,""teacher_reprojection"":true}",0.5892990231513977,0.14983540773391724,0.15040671825408936,0.0005655813729390502,"{""F1"":{""episode_count"":130,""fall_rate"":0.3,""mean_reached_riser"":8.169230769230769,""mean_return"":-5.900417093130258,""success_rate"":0.7}}",0.3,8.169230769230769,-5.900417093130258,0.7,0d59ca85657eb258631f8dd3a7dd1f56103ede469da8f3d72ad498d68bde077a,83fb1dec2fde4f3d8cb8066fabbee76fff95a508b04eede9dcdb311187a79b42,0.014369111391715705,7994.0,7825.16943359375,0.29453760758042336
continuation,F1,LongConstant,22,19.519887924194336,5e-06,0.014371058903634548,0.0007499188650399446,7739,7.24625468164794,0.1377410888671875,"{""F1"":64}",14,0.0001,"{""actor_optimizer_steps"":true,""behavior_distribution_parameters"":true,""behavior_log_prob"":true,""critic_optimizer_steps"":true,""finite_core_metrics"":true,""no_KL_or_performance_gate"":true,""raw_action_storage"":true,""safe_action_execution_routing"":true,""teacher_reprojection"":true}",0.5838695168495178,0.14875280857086182,0.14933517575263977,0.0005975247477181256,"{""F1"":{""episode_count"":128,""fall_rate"":0.203125,""mean_reached_riser"":8.34375,""mean_return"":-4.281979829072952,""success_rate"":0.796875}}",0.203125,8.34375,-4.281979829072952,0.796875,9276db08d56f465133de9187fb21948978741fe97465addb96556085053e9d67,0d59ca85657eb258631f8dd3a7dd1f56103ede469da8f3d72ad498d68bde077a,0.01419295638334006,7739.0,7558.99609375,0.23910572938621044
continuation,F1,LongConstant,23,21.654550552368164,5e-06,0.014517357223667204,0.0008457946823909879,7547,6.975046210720887,0.1858062744140625,"{""F1"":64}",15,0.0001,"{""actor_optimizer_steps"":true,""behavior_distribution_parameters"":true,""behavior_log_prob"":true,""critic_optimizer_steps"":true,""finite_core_metrics"":true,""no_KL_or_performance_gate"":true,""raw_action_storage"":true,""safe_action_execution_routing"":true,""teacher_reprojection"":true}",0.5920939445495605,0.15046073496341705,0.15098606050014496,0.0007672685896977782,"{""F1"":{""episode_count"":130,""fall_rate"":0.19230769230769232,""mean_reached_riser"":8.323076923076924,""mean_return"":-4.351339584130507,""success_rate"":0.8076923076923077}}",0.19230769230769232,8.323076923076924,-4.351339584130507,0.8076923076923077,37dc101a902ebcffcd449aca2c955663e5a87bfeebbc55a669fc281bf7d46129,9276db08d56f465133de9187fb21948978741fe97465addb96556085053e9d67,0.014313135296106339,7547.0,7394.44921875,0.28384318202733994
continuation,F1,LongConstant,24,21.758031845092773,5e-06,0.01508773904060945,0.0008720774203538895,7914,7.410112359550562,0.13134765625,"{""F1"":64}",16,0.0001,"{""actor_optimizer_steps"":true,""behavior_distribution_parameters"":true,""behavior_log_prob"":true,""critic_optimizer_steps"":true,""finite_core_metrics"":true,""no_KL_or_performance_gate"":true,""raw_action_storage"":true,""safe_action_execution_routing"":true,""teacher_reprojection"":true}",0.6033114790916443,0.15376321971416473,0.15406671166419983,0.0005793502787128091,"{""F1"":{""episode_count"":129,""fall_rate"":0.2868217054263566,""mean_reached_riser"":8.279069767441861,""mean_return"":-5.834402938221777,""success_rate"":0.7131782945736435}}",0.2868217054263566,8.279069767441861,-5.834402938221777,0.7131782945736435,6ec59d1e8c9d5f977d24c3195e0c014287bbedc4b30c55238dea45a1f75983eb,37dc101a902ebcffcd449aca2c955663e5a87bfeebbc55a669fc281bf7d46129,0.014777357457205653,7914.0,7742.96484375,0.32984424009919167
continuation,F1,LongDecay,9,26.030935287475586,5e-06,0.015361620229668915,0.0009128031088039279,7783,7.31484962406015,0.1550140380859375,"{""F1"":64}",1,0.0001,"{""actor_optimizer_steps"":true,""behavior_distribution_parameters"":true,""behavior_log_prob"":true,""critic_optimizer_steps"":true,""finite_core_metrics"":true,""no_KL_or_performance_gate"":true,""raw_action_storage"":true,""safe_action_execution_routing"":true,""teacher_reprojection"":true}",0.6044475436210632,0.15436124801635742,0.1549326330423355,0.0006497493013739586,"{""F1"":{""episode_count"":127,""fall_rate"":0.1968503937007874,""mean_reached_riser"":8.377952755905511,""mean_return"":-4.153211627419539,""success_rate"":0.8031496062992126}}",0.1968503937007874,8.377952755905511,-4.153211627419539,0.8031496062992126,cd2b400d6805e4f61c007d014e03872130cc511c8f895a4d1cc28a89bea0a88a,adeb5c6c0afc9d58b7881636e51c3970f91cacefd981eaba3634f413f8866f60,0.014997657970525324,7783.0,7585.931640625,0.40512634813785553
continuation,F1,LongDecay,10,22.060810089111328,5e-06,0.01608755113556981,0.0008022284600883722,8242,8.017509727626459,0.1245574951171875,"{""F1"":64}",2,0.0001,"{""actor_optimizer_steps"":true,""behavior_distribution_parameters"":true,""behavior_log_prob"":true,""critic_optimizer_steps"":true,""finite_core_metrics"":true,""no_KL_or_performance_gate"":true,""raw_action_storage"":true,""safe_action_execution_routing"":true,""teacher_reprojection"":true}",0.630655825138092,0.16101934015750885,0.16118356585502625,0.0005609611980617046,"{""F1"":{""episode_count"":131,""fall_rate"":0.3893129770992366,""mean_reached_riser"":7.847328244274809,""mean_return"":-7.115382154479281,""success_rate"":0.6106870229007634}}",0.3893129770992366,7.847328244274809,-7.115382154479281,0.6106870229007634,089b30a0b1dc05b8c51d9f5f323f5cac1eefd00c7fdd80b28e6fd63399577ff8,cd2b400d6805e4f61c007d014e03872130cc511c8f895a4d1cc28a89bea0a88a,0.015928454231470823,8242.0,8057.03173828125,0.44206974655389786
continuation,F1,LongDecay,11,21.4827880859375,5e-06,0.014378273510374129,0.0008640397572889924,7702,7.225140712945591,0.1706695556640625,"{""F1"":64}",3,0.0001,"{""actor_optimizer_steps"":true,""behavior_distribution_parameters"":true,""behavior_log_prob"":true,""critic_optimizer_steps"":true,""finite_core_metrics"":true,""no_KL_or_performance_gate"":true,""raw_action_storage"":true,""safe_action_execution_routing"":true,""teacher_reprojection"":true}",0.5882146954536438,0.1497582495212555,0.15035031735897064,0.0007233830401673913,"{""F1"":{""episode_count"":131,""fall_rate"":0.25190839694656486,""mean_reached_riser"":8.13740458015267,""mean_return"":-4.612951447945515,""success_rate"":0.7480916030534351}}",0.25190839694656486,8.13740458015267,-4.612951447945515,0.7480916030534351,52545e6ef314024bd16f9dfa6c08d6dcf7b95909f6cd3369325deb1f9b9a19a3,089b30a0b1dc05b8c51d9f5f323f5cac1eefd00c7fdd80b28e6fd63399577ff8,0.014157308265566826,7702.0,7528.28369140625,0.2681651823222637
continuation,F1,LongDecay,12,28.50728416442871,5e-06,0.015397748444229364,0.0007176595972850919,8128,7.763132760267431,0.111114501953125,"{""F1"":64}",4,0.0001,"{""actor_optimizer_steps"":true,""behavior_distribution_parameters"":true,""behavior_log_prob"":true,""critic_optimizer_steps"":true,""finite_core_metrics"":true,""no_KL_or_performance_gate"":true,""raw_action_storage"":true,""safe_action_execution_routing"":true,""teacher_reprojection"":true}",0.598439633846283,0.15279756486415863,0.15289492905139923,0.0005049738101661205,"{""F1"":{""episode_count"":129,""fall_rate"":0.29457364341085274,""mean_reached_riser"":8.116279069767442,""mean_return"":-5.911130618679431,""success_rate"":0.7054263565891473}}",0.29457364341085274,8.116279069767442,-5.911130618679431,0.7054263565891473,c1bfca9ff1e011a57fb0de0941ee06354b47921ebc476b2d03c9db63536cbb43,52545e6ef314024bd16f9dfa6c08d6dcf7b95909f6cd3369325deb1f9b9a19a3,0.014677552389912307,8128.0,7948.361328125,0.33295654505491257
continuation,F1,LongDecay,13,22.923561096191406,5e-06,0.015485462616197765,0.0007588696316815913,8066,7.503255813953488,0.1231536865234375,"{""F1"":64}",5,0.0001,"{""actor_optimizer_steps"":true,""behavior_distribution_parameters"":true,""behavior_log_prob"":true,""critic_optimizer_steps"":true,""finite_core_metrics"":true,""no_KL_or_performance_gate"":true,""raw_action_storage"":true,""safe_action_execution_routing"":true,""teacher_reprojection"":true}",0.611039400100708,0.1559346616268158,0.15626436471939087,0.0005585709004662931,"{""F1"":{""episode_count"":132,""fall_rate"":0.3106060606060606,""mean_reached_riser"":8.143939393939394,""mean_return"":-5.946459253629048,""success_rate"":0.6893939393939394}}",0.3106060606060606,8.143939393939394,-5.946459253629048,0.6893939393939394,edba906dee9241e904f41b0391b4c86f62b6d626e8edb68005bee322329b07c2,c1bfca9ff1e011a57fb0de0941ee06354b47921ebc476b2d03c9db63536cbb43,0.015187963610514998,8066.0,7880.05517578125,0.3643748089671135
