specialist,adaptation_seed,round,baseline_target_success,baseline_target_fall,baseline_target_return,baseline_target_mean_reached_riser,current_target_success,current_target_fall,current_target_return,current_target_mean_reached_riser,accepted_target_success,accepted_target_fall,accepted_target_return,accepted_target_mean_reached_riser,target_diagnostic_seed,target_diagnostic_episodes,screen_delta_fraction_0_5,screen_delta_fraction_1_0,screen_delta_fraction_1_5,screen_best_fraction,confirmation_success_delta,confirmation_fall_delta,selected_candidate_fraction,retained_candidate_fraction,target_gate_accepted,d0_gate_passed,d0_rollback,d0_checked_candidate_success,d0_checked_candidate_fall,policy_changed_at_round_end,cumulative_retained_updates,ppo_policy_loss,ppo_value_loss,ppo_entropy,ppo_mean_kl,ppo_max_preupdate_kl,normal_transition_fraction,failure_transition_fraction,success_transition_fraction,normal_advantage_mean_before,normal_advantage_std_before,normal_advantage_mean_after,normal_advantage_std_after,failure_advantage_mean_before,failure_advantage_std_before,failure_advantage_mean_after,failure_advantage_std_after,success_advantage_mean_before,success_advantage_std_before,success_advantage_mean_after,success_advantage_std_after,failure_bank_size,success_pool_size,matched_success_bank_size,exact_pair_count,maximum_marginal_imbalance,bank_transactions_committed,bank_transactions_restored,d0_baseline_success,d0_success,d0_success_delta,d0_fall,cbf_interventions_per_riser,cbf_mean_correction_norm,new_input_column_rms,new_input_column_max_abs,legacy_input_column_max_drift,round_end_actor_sha256
lateral,173,1,0.7578125,0.2421875,0.8978676553815603,10.4140625,0.7890625,0.2109375,1.0642622876912355,10.7109375,0.8125,0.1875,1.5961996987462044,10.6484375,30173,128,0.046875,0.03125,0.0625,1.5,0.0234375,-0.0234375,1.5,1.5,True,True,False,0.890625,0.0234375,True,1,0.00020188133930787444,1.0149628520011902,-10.033629417419434,0.0003018651041202247,0.0004262272850610316,0.625,0.1875,0.1875,0.3196546733379364,0.7281639575958252,-2.919696306946662e-08,1.0,0.17780610918998718,1.0492985248565674,-3.081125754533787e-08,1.0,0.5426267981529236,1.284019112586975,-3.8494668785915565e-08,1.0,256,1024,215,12,0,2,0,0.875,0.890625,0.015625,0.0234375,1.2053351840004325,0.006498488769693722,1.4609352547267918e-05,2.9964992791065015e-05,0.0,7ce5d189ed80ce77960a4382df4783ad31966eba59713bf77f2de80a8dd696d7
lateral,173,2,0.7578125,0.2421875,0.8978676553815603,10.4140625,0.7421875,0.2578125,0.5871835276484489,10.5390625,0.7421875,0.2578125,0.5871835276484489,10.5390625,50173,128,0.109375,0.015625,0.046875,0.5,-0.0234375,0.0234375,,,False,True,False,0.8984375,0.03125,False,1,0.00027630431577563286,0.9266882389783859,-10.033629417419434,0.0003460244624875486,0.0004023188375867903,0.625,0.1875,0.1875,0.29962778091430664,0.6822943687438965,2.763699846752843e-08,1.0,0.22431421279907227,0.9948455691337585,1.614292521878724e-08,0.9999999403953552,0.596138060092926,1.201154112815857,-1.7384689243726825e-08,0.9999999403953552,256,1024,235,12,0,2,0,0.875,0.8984375,0.0234375,0.03125,1.2407856741920114,0.006136337828593241,1.4609352547267918e-05,2.9964992791065015e-05,0.0,7ce5d189ed80ce77960a4382df4783ad31966eba59713bf77f2de80a8dd696d7
lateral,173,3,0.7578125,0.2421875,0.8978676553815603,10.4140625,0.765625,0.234375,1.080290887504816,10.703125,0.828125,0.171875,1.6181658133864403,10.7734375,70173,128,0.015625,-0.09375,0.015625,0.5,0.0625,-0.0625,0.5,0.5,True,True,False,0.9140625,0.015625,True,2,0.00018449523486196995,1.0666748136281967,-10.033629417419434,0.00032557465601712465,0.0004271907964721322,0.625,0.1875,0.1875,0.31304478645324707,0.6783483028411865,-3.0826779351400546e-08,1.0,0.20021912455558777,1.1394745111465454,-2.4835269840650653e-08,1.0,0.5693240165710449,1.3648501634597778,-1.2883296207633066e-08,1.0,256,1024,237,12,0,2,0,0.875,0.9140625,0.0390625,0.015625,1.066692904336378,0.005474562726021759,1.4540278243657667e-05,3.830950299743563e-05,0.0,15c8d04f110ff0e92bcf8ca60f55590aa955c709344a36a058197c19c1895477
lateral,173,4,0.7578125,0.2421875,0.8978676553815603,10.4140625,0.8125,0.1875,1.1743667926639318,10.6328125,0.8125,0.1875,1.1743667926639318,10.6328125,90173,128,0.078125,0.125,0.140625,1.5,-0.078125,0.078125,,,False,True,False,0.8828125,0.03125,False,2,0.00017316624871455133,1.1107692420482635,-10.033629417419434,0.0003216615004930645,0.00038012268487364054,0.625,0.1875,0.1875,0.33030158281326294,0.6540014743804932,-1.904554736142927e-08,1.0,0.26349908113479614,1.086806297302246,-1.2728075482471013e-08,1.0,0.7339926958084106,1.4643497467041016,-1.5133991837501526e-08,1.0,256,1024,242,12,0,2,0,0.875,0.8828125,0.0078125,0.03125,1.1675079753622413,0.005179387523412515,1.4540278243657667e-05,3.830950299743563e-05,0.0,15c8d04f110ff0e92bcf8ca60f55590aa955c709344a36a058197c19c1895477
lateral,173,5,0.7578125,0.2421875,0.8978676553815603,10.4140625,0.8046875,0.1953125,1.07342273555696,10.625,0.8046875,0.1953125,1.07342273555696,10.625,110173,128,0.109375,0.09375,0.09375,0.5,-0.125,0.125,,,False,True,False,0.8671875,0.015625,False,2,0.00022704593720845878,1.1064508855342865,-10.033629417419434,0.0002948930487036705,0.0003983398200944066,0.625,0.1875,0.1875,0.3255128860473633,0.6341196298599243,-3.81842246710562e-09,1.0,0.23209619522094727,1.1569191217422485,4.26856194835068e-09,1.0,0.6957513093948364,1.445134162902832,-3.5545479448728656e-08,1.0,256,1024,243,12,0,2,0,0.875,0.8671875,-0.0078125,0.015625,1.2591878904495388,0.0062426023952752985,1.4540278243657667e-05,3.830950299743563e-05,0.0,15c8d04f110ff0e92bcf8ca60f55590aa955c709344a36a058197c19c1895477
lateral,173,6,0.7578125,0.2421875,0.8978676553815603,10.4140625,0.8046875,0.1953125,1.2083431407809258,10.6328125,0.8046875,0.1953125,1.2083431407809258,10.6328125,130173,128,0.140625,-0.03125,0.0625,0.5,-0.015625,0.015625,,,False,True,False,0.90625,0.0234375,False,2,0.00026882666861638427,1.1013122200965881,-10.033629417419434,0.0002903769782278687,0.0003800677659455687,0.625,0.1875,0.1875,0.3291488587856293,0.6502122282981873,-1.010485028984931e-08,1.0,0.2965259253978729,1.2113887071609497,-2.266218324109559e-08,1.0,0.6521778106689453,1.3713634014129639,8.226683334555673e-09,1.0,256,1024,233,12,0,2,0,0.875,0.90625,0.03125,0.0234375,1.1979147184174508,0.00619216498807873,1.4540278243657667e-05,3.830950299743563e-05,0.0,15c8d04f110ff0e92bcf8ca60f55590aa955c709344a36a058197c19c1895477
lateral,173,7,0.7578125,0.2421875,0.8978676553815603,10.4140625,0.703125,0.296875,0.1737133339047432,10.671875,0.765625,0.234375,1.0495275240391493,10.703125,150173,128,0.015625,0.0,-0.125,0.5,0.0625,-0.0625,0.5,0.5,True,True,False,0.9453125,0.015625,True,3,0.00021217146422713995,1.0828062295913696,-10.033629417419434,0.00029697007266804576,0.0004175415961071849,0.625,0.1875,0.1875,0.31844744086265564,0.6443598866462708,-2.4540350196389227e-08,1.0,0.21501025557518005,1.03324556350708,-2.1187588572502136e-08,0.9999999403953552,0.6702069044113159,1.4873465299606323,-2.7008354663848877e-08,0.9999998807907104,256,1024,232,12,0,2,0,0.875,0.9453125,0.0703125,0.015625,1.0132319517433643,0.004838220567762619,1.5308613001252525e-05,4.176866423222236e-05,0.0,58072639f376291d1083453688e3ecdf347b7affa3e421f3906f6c624eae0d1c
lateral,173,8,0.7578125,0.2421875,0.8978676553815603,10.4140625,0.78125,0.21875,1.0662212278693914,10.515625,0.78125,0.21875,1.0662212278693914,10.515625,170173,128,0.015625,-0.03125,0.015625,0.5,-0.1015625,0.1015625,,,False,True,False,0.921875,0.015625,False,3,0.0001044715172611177,1.2880623042583466,-10.033629417419434,0.0003436217666603625,0.00038876303005963564,0.625,0.1875,0.1875,0.3006863296031952,0.8498127460479736,-3.026798367500305e-08,1.0,0.22816944122314453,1.1328685283660889,2.7939677238464355e-09,1.0,0.7184314727783203,1.4405345916748047,5.370626965373049e-08,1.0,256,1024,233,12,0,2,0,0.875,0.921875,0.046875,0.015625,1.1759368474595249,0.006045151056468967,1.5308613001252525e-05,4.176866423222236e-05,0.0,58072639f376291d1083453688e3ecdf347b7affa3e421f3906f6c624eae0d1c
lateral,273,0,0.71875,0.28125,0.06870518438518047,10.5546875,0.71875,0.28125,0.06870518438518047,10.5546875,0.71875,0.28125,0.06870518438518047,10.5546875,300273,128,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8828125,0.8828125,0.0,0.015625,1.2631832065526396,0.007292674293012169,0.0,0.0,0.0,f8e27e9b3bb92dd33a460f38ecbd72f8b0fe03809683f697d54d3549626d69bb
lateral,273,1,0.71875,0.28125,0.06870518438518047,10.5546875,0.7265625,0.2734375,0.32028016448020935,10.4453125,0.7890625,0.2109375,1.241908434778452,10.34375,30273,128,-0.046875,-0.03125,-0.015625,1.5,0.0625,-0.0625,1.5,1.5,True,True,False,0.890625,0.0078125,True,1,0.0002718106843531132,0.9362364411354065,-10.033629417419434,0.00027055508689954877,0.00047837960300967097,0.625,0.1875,0.1875,0.28194817900657654,0.7262935042381287,-3.5855920454963552e-09,1.0,0.23696468770503998,1.0201151371002197,-1.816079020500183e-08,1.0,0.4852829873561859,1.1744494438171387,-8.381903171539307e-09,1.0,256,1024,242,12,0,2,0,0.8828125,0.890625,0.0078125,0.0078125,1.1874743807129562,0.005502298014334883,1.254812832485186e-05,2.9909209843026474e-05,0.0,e8c0b93ff60bc7a20c299f1d31c0326bbffa9e91accfe0a5b873672987bd8ca8
