specialist,adaptation_seed,round,batch,rollout_seed,normal_start_count,failure_start_count,success_start_count,failure_bank_size,success_pool_size,matched_success_bank_size,exact_pair_count,exact_match_passed,maximum_marginal_imbalance,bank_transaction_attempted,bank_transaction_committed,bank_transaction_restored,usable_preflight_passed,cbf_intervention_fraction,cbf_correction_mean
lateral,273,7,2,1000344,40,12,12,256,1024,246,12,True,0,True,True,False,True,0.051422119140625,0.012545431032776833
lateral,273,8,1,1000353,40,12,12,256,1024,248,12,True,0,True,True,False,True,0.0570220947265625,0.015573203563690186
lateral,273,8,2,1000354,40,12,12,256,1024,248,12,True,0,True,True,False,True,0.054534912109375,0.014970136806368828
lateral,373,1,1,1000383,40,12,12,256,1024,244,12,True,0,True,True,False,True,0.0572967529296875,0.015748372301459312
lateral,373,1,2,1000384,40,12,12,256,1024,244,12,True,0,True,True,False,True,0.0540008544921875,0.01640443503856659
lateral,373,2,1,1000393,40,12,12,256,1024,244,12,True,0,True,True,False,True,0.0501861572265625,0.013248427771031857
lateral,373,2,2,1000394,40,12,12,256,1024,243,12,True,0,True,True,False,True,0.0516510009765625,0.014176265336573124
lateral,373,3,1,1000403,40,12,12,256,1024,243,12,True,0,True,True,False,True,0.054595947265625,0.014201010577380657
lateral,373,3,2,1000404,40,12,12,256,1024,243,12,True,0,True,True,False,True,0.0497894287109375,0.012552617117762566
lateral,373,4,1,1000413,40,12,12,256,1024,242,12,True,0,True,True,False,True,0.05377197265625,0.014229550026357174
lateral,373,4,2,1000414,40,12,12,256,1024,242,12,True,0,True,True,False,True,0.05242919921875,0.013629181310534477
lateral,373,5,1,1000423,40,12,12,256,1024,242,12,True,0,True,True,False,True,0.051483154296875,0.013109356164932251
lateral,373,5,2,1000424,40,12,12,256,1024,242,12,True,0,True,True,False,True,0.0488739013671875,0.011532115750014782
lateral,373,6,1,1000433,40,12,12,256,1024,245,12,True,0,True,True,False,True,0.0561676025390625,0.01536630094051361
lateral,373,6,2,1000434,40,12,12,256,1024,246,12,True,0,True,True,False,True,0.0521697998046875,0.014644760638475418
lateral,373,7,1,1000443,40,12,12,256,1024,246,12,True,0,True,True,False,True,0.055419921875,0.0140504390001297
lateral,373,7,2,1000444,40,12,12,256,1024,245,12,True,0,True,True,False,True,0.049407958984375,0.012965778820216656
lateral,373,8,1,1000453,40,12,12,256,1024,245,12,True,0,True,True,False,True,0.0517120361328125,0.013178873807191849
lateral,373,8,2,1000454,40,12,12,256,1024,246,12,True,0,True,True,False,True,0.0521087646484375,0.013583071529865265
lateral,473,1,1,1000483,40,12,12,256,1024,247,12,True,0,True,True,False,True,0.048675537109375,0.011603865772485733
lateral,473,1,2,1000484,40,12,12,256,1024,246,12,True,0,True,True,False,True,0.0506439208984375,0.012554009445011616
lateral,473,2,1,1000493,40,12,12,256,1024,241,12,True,0,True,True,False,True,0.0543975830078125,0.012937955558300018
lateral,473,2,2,1000494,40,12,12,256,1024,246,12,True,0,True,True,False,True,0.0491790771484375,0.012108966708183289
lateral,473,3,1,1000503,40,12,12,256,1024,246,12,True,0,True,True,False,True,0.0500640869140625,0.011952238157391548
lateral,473,3,2,1000504,40,12,12,256,1024,243,12,True,0,True,True,False,True,0.051300048828125,0.01232314296066761
lateral,473,4,1,1000513,40,12,12,256,1024,243,12,True,0,True,True,False,True,0.0476531982421875,0.012737184762954712
lateral,473,4,2,1000514,40,12,12,256,1024,245,12,True,0,True,True,False,True,0.0510711669921875,0.013993434607982635
lateral,473,5,1,1000523,40,12,12,256,1024,228,12,True,0,True,True,False,True,0.0501708984375,0.012089956551790237
lateral,473,5,2,1000524,40,12,12,256,1024,226,12,True,0,True,True,False,True,0.047943115234375,0.011136369779706001
lateral,473,6,1,1000533,40,12,12,256,1024,223,12,True,0,True,True,False,True,0.0484619140625,0.011949770152568817
lateral,473,6,2,1000534,40,12,12,256,1024,223,12,True,0,True,True,False,True,0.0506134033203125,0.012837020680308342
lateral,473,7,1,1000543,40,12,12,256,1024,223,12,True,0,True,True,False,True,0.0471954345703125,0.011576768942177296
lateral,473,7,2,1000544,40,12,12,256,1024,223,12,True,0,True,True,False,True,0.055999755859375,0.01456028688699007
lateral,473,8,1,1000553,40,12,12,256,1024,219,12,True,0,True,True,False,True,0.0529327392578125,0.01412736065685749
lateral,473,8,2,1000554,40,12,12,256,1024,221,12,True,0,True,True,False,True,0.054779052734375,0.014308545738458633
contact_stability,73,1,1,1000083,40,12,12,256,564,91,12,True,0,True,True,False,True,0.053131103515625,0.010773831978440285
contact_stability,73,1,2,1000084,40,12,12,256,780,107,12,True,0,True,True,False,True,0.0557708740234375,0.011735960841178894
contact_stability,73,2,1,1000093,40,12,12,256,996,121,12,True,0,True,True,False,True,0.0591278076171875,0.012944865971803665
contact_stability,73,2,2,1000094,40,12,12,256,1024,121,12,True,0,True,True,False,True,0.054656982421875,0.011418813839554787
contact_stability,73,3,1,1000103,40,12,12,256,1024,140,12,True,0,True,True,False,True,0.0527801513671875,0.010675637051463127
contact_stability,73,3,2,1000104,40,12,12,256,1024,127,12,True,0,True,True,False,True,0.0529632568359375,0.011572430841624737
contact_stability,73,4,1,1000113,40,12,12,256,1024,120,12,True,0,True,True,False,True,0.0535888671875,0.012037904933094978
contact_stability,73,4,2,1000114,40,12,12,256,1024,115,12,True,0,True,True,False,True,0.05218505859375,0.010245896875858307
contact_stability,73,5,1,1000123,40,12,12,256,1024,134,12,True,0,True,True,False,True,0.0529327392578125,0.010779027827084064
contact_stability,73,5,2,1000124,40,12,12,256,1024,120,12,True,0,True,True,False,True,0.054443359375,0.012137732468545437
contact_stability,73,6,1,1000133,40,12,12,256,1024,129,12,True,0,True,True,False,True,0.0533447265625,0.011684451252222061
contact_stability,73,6,2,1000134,40,12,12,256,1024,115,12,True,0,True,True,False,True,0.052703857421875,0.011515350081026554
contact_stability,73,7,1,1000143,40,12,12,256,1024,117,12,True,0,True,True,False,True,0.0507965087890625,0.010228510946035385
contact_stability,73,7,2,1000144,40,12,12,256,1024,138,12,True,0,True,True,False,True,0.051300048828125,0.01124986819922924
contact_stability,73,8,1,1000153,40,12,12,256,1024,139,12,True,0,True,True,False,True,0.0510711669921875,0.010830579325556755
contact_stability,73,8,2,1000154,40,12,12,256,1024,142,12,True,0,True,True,False,True,0.05584716796875,0.012297628447413445
contact_stability,173,1,1,1000183,40,12,12,256,528,47,12,True,0,True,True,False,True,0.062103271484375,0.015395130962133408
contact_stability,173,1,2,1000184,40,12,12,256,696,71,12,True,0,True,True,False,True,0.0561981201171875,0.012797442264854908
contact_stability,173,2,1,1000193,40,12,12,256,864,82,12,True,0,True,True,False,True,0.0574951171875,0.013869421556591988
contact_stability,173,2,2,1000194,40,12,12,256,1024,97,12,True,0,True,True,False,True,0.063507080078125,0.01715352013707161
contact_stability,173,3,1,1000203,40,12,12,256,1024,101,12,True,0,True,True,False,True,0.058746337890625,0.014506395906209946
contact_stability,173,3,2,1000204,40,12,12,256,1024,93,12,True,0,True,True,False,True,0.0615997314453125,0.015538882464170456
contact_stability,173,4,1,1000213,40,12,12,256,1024,83,12,True,0,True,True,False,True,0.0605010986328125,0.014109589159488678
contact_stability,173,4,2,1000214,40,12,12,256,1024,90,12,True,0,True,True,False,True,0.053466796875,0.01134096272289753
contact_stability,173,5,1,1000223,40,12,12,256,1024,97,12,True,0,True,True,False,True,0.05810546875,0.014010414481163025
contact_stability,173,5,2,1000224,40,12,12,256,1024,99,12,True,0,True,True,False,True,0.05377197265625,0.011438010260462761
contact_stability,173,6,1,1000233,40,12,12,256,1024,99,12,True,0,True,True,False,True,0.0561065673828125,0.012405532412230968
contact_stability,173,6,2,1000234,40,12,12,256,1024,89,12,True,0,True,True,False,True,0.0573577880859375,0.013348467648029327
contact_stability,173,7,1,1000243,40,12,12,256,1024,77,12,True,0,True,True,False,True,0.0563201904296875,0.011828193441033363
contact_stability,173,7,2,1000244,40,12,12,256,1024,84,12,True,0,True,True,False,True,0.0579833984375,0.013642081059515476
contact_stability,173,8,1,1000253,40,12,12,256,1024,88,12,True,0,True,True,False,True,0.0516204833984375,0.010851936414837837
contact_stability,173,8,2,1000254,40,12,12,256,1024,87,12,True,0,True,True,False,True,0.053863525390625,0.011659296229481697
contact_stability,273,1,1,1000283,40,12,12,256,552,37,12,True,0,True,True,False,True,0.0545654296875,0.011831354349851608
contact_stability,273,1,2,1000284,40,12,12,256,792,79,12,True,0,True,True,False,True,0.0564117431640625,0.011955678462982178
contact_stability,273,2,1,1000293,40,12,12,256,1024,87,12,True,0,True,True,False,True,0.0554046630859375,0.011939406394958496
contact_stability,273,2,2,1000294,40,12,12,256,1024,84,12,True,0,True,True,False,True,0.0547637939453125,0.011423300951719284
contact_stability,273,3,1,1000303,40,12,12,256,1024,114,12,True,0,True,True,False,True,0.0545501708984375,0.011399172246456146
contact_stability,273,3,2,1000304,40,12,12,256,1024,153,12,True,0,True,True,False,True,0.0535736083984375,0.011201251298189163
contact_stability,273,4,1,1000313,40,12,12,256,1024,149,12,True,0,True,True,False,True,0.0526275634765625,0.01119978353381157
contact_stability,273,4,2,1000314,40,12,12,256,1024,146,12,True,0,True,True,False,True,0.05291748046875,0.01141316071152687
contact_stability,273,5,1,1000323,40,12,12,256,1024,135,12,True,0,True,True,False,True,0.0526123046875,0.01080453209578991
contact_stability,273,5,2,1000324,40,12,12,256,1024,135,12,True,0,True,True,False,True,0.050506591796875,0.010361379012465477
contact_stability,273,6,1,1000333,40,12,12,256,1024,134,12,True,0,True,True,False,True,0.0523529052734375,0.011349287815392017
contact_stability,273,6,2,1000334,40,12,12,256,1024,136,12,True,0,True,True,False,True,0.0524749755859375,0.011280665174126625
contact_stability,273,7,1,1000343,40,12,12,256,1024,128,12,True,0,True,True,False,True,0.051116943359375,0.010997041128575802
contact_stability,273,7,2,1000344,40,12,12,256,1024,142,12,True,0,True,True,False,True,0.0524139404296875,0.010950577445328236
contact_stability,273,8,1,1000353,40,12,12,256,1024,145,12,True,0,True,True,False,True,0.051361083984375,0.011041165329515934
contact_stability,273,8,2,1000354,40,12,12,256,1024,158,12,True,0,True,True,False,True,0.0546112060546875,0.01147442776709795
contact_stability,373,1,1,1000383,40,12,12,256,924,51,12,True,0,True,True,False,True,0.0518951416015625,0.010935517959296703
contact_stability,373,1,2,1000384,40,12,12,256,1024,69,12,True,0,True,True,False,True,0.0540618896484375,0.01109345629811287
contact_stability,373,2,1,1000393,40,12,12,256,1024,80,12,True,0,True,True,False,True,0.0573883056640625,0.012723551131784916
contact_stability,373,2,2,1000394,40,12,12,256,1024,103,12,True,0,True,True,False,True,0.0560760498046875,0.011486770585179329
contact_stability,373,3,1,1000403,40,12,12,256,1024,82,12,True,0,True,True,False,True,0.0552978515625,0.01148212980479002
contact_stability,373,3,2,1000404,40,12,12,256,1024,88,12,True,0,True,True,False,True,0.0521240234375,0.010364538058638573
contact_stability,373,4,1,1000413,40,12,12,256,1024,80,12,True,0,True,True,False,True,0.053741455078125,0.011100677773356438
contact_stability,373,4,2,1000414,40,12,12,256,1024,87,12,True,0,True,True,False,True,0.0529327392578125,0.010835954919457436
contact_stability,373,5,1,1000423,40,12,12,256,1024,87,12,True,0,True,True,False,True,0.05596923828125,0.011900225654244423
contact_stability,373,5,2,1000424,40,12,12,256,1024,102,12,True,0,True,True,False,True,0.0534210205078125,0.011187347583472729
contact_stability,373,6,1,1000433,40,12,12,256,1024,125,12,True,0,True,True,False,True,0.0526580810546875,0.01092577911913395
contact_stability,373,6,2,1000434,40,12,12,256,1024,127,12,True,0,True,True,False,True,0.054443359375,0.011998536065220833
contact_stability,373,7,1,1000443,40,12,12,256,1024,129,12,True,0,True,True,False,True,0.05804443359375,0.012819040566682816
contact_stability,373,7,2,1000444,40,12,12,256,1024,109,12,True,0,True,True,False,True,0.0533447265625,0.010872887447476387
contact_stability,373,8,1,1000453,40,12,12,256,1024,105,12,True,0,True,True,False,True,0.054229736328125,0.011920413002371788
contact_stability,373,8,2,1000454,40,12,12,256,1024,111,12,True,0,True,True,False,True,0.059234619140625,0.01213668379932642
contact_stability,473,1,1,1000483,40,12,12,256,588,34,12,True,0,True,True,False,True,0.0537872314453125,0.010946263559162617
contact_stability,473,1,2,1000484,40,12,12,256,912,42,12,True,0,True,True,False,True,0.054290771484375,0.011592836119234562
contact_stability,473,2,1,1000493,40,12,12,256,1024,77,12,True,0,True,True,False,True,0.0525054931640625,0.010463939979672432
contact_stability,473,2,2,1000494,40,12,12,256,1024,107,12,True,0,True,True,False,True,0.0548095703125,0.012138204649090767
contact_stability,473,3,1,1000503,40,12,12,256,1024,109,12,True,0,True,True,False,True,0.0546875,0.011279627680778503
contact_stability,473,3,2,1000504,40,12,12,256,1024,131,12,True,0,True,True,False,True,0.0556182861328125,0.012269693426787853
contact_stability,473,4,1,1000513,40,12,12,256,1024,141,12,True,0,True,True,False,True,0.0503997802734375,0.010926599614322186
contact_stability,473,4,2,1000514,40,12,12,256,1024,143,12,True,0,True,True,False,True,0.0524749755859375,0.010271772742271423
contact_stability,473,5,1,1000523,40,12,12,256,1024,141,12,True,0,True,True,False,True,0.054046630859375,0.01129823550581932
contact_stability,473,5,2,1000524,40,12,12,256,1024,143,12,True,0,True,True,False,True,0.047943115234375,0.00987234152853489
contact_stability,473,6,1,1000533,40,12,12,256,1024,143,12,True,0,True,True,False,True,0.0498046875,0.010232018306851387
contact_stability,473,6,2,1000534,40,12,12,256,1024,177,12,True,0,True,True,False,True,0.0513763427734375,0.010634111240506172
contact_stability,473,7,1,1000543,40,12,12,256,1024,181,12,True,0,True,True,False,True,0.05499267578125,0.011838693171739578
contact_stability,473,7,2,1000544,40,12,12,256,1024,176,12,True,0,True,True,False,True,0.0524749755859375,0.011004280298948288
contact_stability,473,8,1,1000553,40,12,12,256,1024,176,12,True,0,True,True,False,True,0.04931640625,0.010094257071614265
contact_stability,473,8,2,1000554,40,12,12,256,1024,170,12,True,0,True,True,False,True,0.05291748046875,0.011500988155603409
