specialist,adaptation_seed,round,fraction,screen_seed,screen_episodes,old_success,candidate_success,screen_success_delta,old_fall,candidate_fall,screen_fall_delta,mean_kl,screen_eligible,screen_best,confirmation_seed,confirmation_success_delta,confirmation_fall_delta,target_gate_accepted,d0_rollback,retained
lateral,173,5,1.0,100173,64,0.65625,0.75,0.09375,0.34375,0.25,-0.09375,0.0002948930487036705,True,False,110173,-0.125,0.125,False,False,False
lateral,173,5,1.5,100173,64,0.65625,0.75,0.09375,0.34375,0.25,-0.09375,0.0006635328754782677,True,False,110173,-0.125,0.125,False,False,False
lateral,173,6,0.5,120173,64,0.65625,0.796875,0.140625,0.34375,0.203125,-0.140625,7.259073754539713e-05,True,True,130173,-0.015625,0.015625,False,False,False
lateral,173,6,1.0,120173,64,0.65625,0.625,-0.03125,0.34375,0.375,0.03125,0.0002903769782278687,True,False,130173,-0.015625,0.015625,False,False,False
lateral,173,6,1.5,120173,64,0.65625,0.71875,0.0625,0.34375,0.28125,-0.0625,0.0006533475243486464,True,False,130173,-0.015625,0.015625,False,False,False
lateral,173,7,0.5,140173,64,0.796875,0.8125,0.015625,0.203125,0.1875,-0.015625,7.424152863677591e-05,True,True,150173,0.0625,-0.0625,True,False,True
lateral,173,7,1.0,140173,64,0.796875,0.796875,0.0,0.203125,0.203125,0.0,0.00029697007266804576,True,False,150173,0.0625,-0.0625,True,False,False
lateral,173,7,1.5,140173,64,0.796875,0.671875,-0.125,0.203125,0.328125,0.125,0.0006681761587969959,True,False,150173,0.0625,-0.0625,True,False,False
lateral,173,8,0.5,160173,64,0.75,0.765625,0.015625,0.25,0.234375,-0.015625,8.590218203607947e-05,True,True,170173,-0.1015625,0.1015625,False,False,False
lateral,173,8,1.0,160173,64,0.75,0.71875,-0.03125,0.25,0.28125,0.03125,0.00034362179576419294,True,False,170173,-0.1015625,0.1015625,False,False,False
lateral,173,8,1.5,160173,64,0.75,0.765625,0.015625,0.25,0.234375,-0.015625,0.0007731704972684383,True,False,170173,-0.1015625,0.1015625,False,False,False
lateral,273,1,0.5,20273,64,0.765625,0.71875,-0.046875,0.234375,0.28125,0.046875,6.763536657672375e-05,True,False,30273,0.0625,-0.0625,True,False,False
lateral,273,1,1.0,20273,64,0.765625,0.734375,-0.03125,0.234375,0.265625,0.03125,0.0002705551160033792,True,False,30273,0.0625,-0.0625,True,False,False
lateral,273,1,1.5,20273,64,0.765625,0.75,-0.015625,0.234375,0.25,0.015625,0.0006087372312322259,True,True,30273,0.0625,-0.0625,True,False,True
lateral,273,2,0.5,40273,64,0.84375,0.78125,-0.0625,0.15625,0.21875,0.0625,7.038064359221607e-05,True,True,50273,0.0390625,-0.0390625,True,False,True
lateral,273,2,1.0,40273,64,0.84375,0.78125,-0.0625,0.15625,0.21875,0.0625,0.00028153727180324495,True,False,50273,0.0390625,-0.0390625,True,False,False
lateral,273,2,1.5,40273,64,0.84375,0.71875,-0.125,0.15625,0.28125,0.125,0.0006334720528684556,True,False,50273,0.0390625,-0.0390625,True,False,False
lateral,273,3,0.5,60273,64,0.734375,0.875,0.140625,0.265625,0.125,-0.140625,7.259825360961258e-05,True,True,70273,-0.0859375,0.0859375,False,False,False
lateral,273,3,1.0,60273,64,0.734375,0.78125,0.046875,0.265625,0.21875,-0.046875,0.0002903902786783874,True,False,70273,-0.0859375,0.0859375,False,False,False
lateral,273,3,1.5,60273,64,0.734375,0.765625,0.03125,0.265625,0.234375,-0.03125,0.0006533531122840941,True,False,70273,-0.0859375,0.0859375,False,False,False
lateral,273,4,0.5,80273,64,0.734375,0.6875,-0.046875,0.265625,0.3125,0.046875,8.431946480413899e-05,True,False,90273,0.078125,-0.078125,True,False,False
lateral,273,4,1.0,80273,64,0.734375,0.703125,-0.03125,0.265625,0.296875,0.03125,0.0003372855135239661,True,True,90273,0.078125,-0.078125,True,False,True
lateral,273,4,1.5,80273,64,0.734375,0.640625,-0.09375,0.265625,0.359375,0.09375,0.0007588942535221577,True,False,90273,0.078125,-0.078125,True,False,False
lateral,273,5,0.5,100273,64,0.71875,0.671875,-0.046875,0.28125,0.328125,0.046875,7.934626046335325e-05,True,False,110273,-0.0078125,0.0078125,False,False,False
lateral,273,5,1.0,100273,64,0.71875,0.78125,0.0625,0.28125,0.21875,-0.0625,0.00031738821417093277,True,True,110273,-0.0078125,0.0078125,False,False,False
lateral,273,5,1.5,100273,64,0.71875,0.734375,0.015625,0.28125,0.265625,-0.015625,0.000714122608769685,True,False,110273,-0.0078125,0.0078125,False,False,False
lateral,273,6,0.5,120273,64,0.71875,0.765625,0.046875,0.28125,0.234375,-0.046875,7.80629925429821e-05,True,False,130273,-0.0234375,0.0234375,False,False,False
lateral,273,6,1.0,120273,64,0.71875,0.796875,0.078125,0.28125,0.203125,-0.078125,0.00031223613768815994,True,True,130273,-0.0234375,0.0234375,False,False,False
lateral,273,6,1.5,120273,64,0.71875,0.796875,0.078125,0.28125,0.203125,-0.078125,0.0007025078521110117,True,False,130273,-0.0234375,0.0234375,False,False,False
lateral,273,7,0.5,140273,64,0.703125,0.765625,0.0625,0.296875,0.234375,-0.0625,6.107310036895797e-05,True,True,150273,-0.0546875,0.0546875,False,False,False
lateral,273,7,1.0,140273,64,0.703125,0.765625,0.0625,0.296875,0.234375,-0.0625,0.00024431353085674345,True,False,150273,-0.0546875,0.0546875,False,False,False
lateral,273,7,1.5,140273,64,0.703125,0.703125,0.0,0.296875,0.296875,0.0,0.0005497195525094867,True,False,150273,-0.0546875,0.0546875,False,False,False
lateral,273,8,0.5,160273,64,0.65625,0.71875,0.0625,0.34375,0.28125,-0.0625,9.052298264577985e-05,True,False,170273,0.0390625,-0.0390625,True,False,False
lateral,273,8,1.0,160273,64,0.65625,0.78125,0.125,0.34375,0.21875,-0.125,0.0003620923962444067,True,True,170273,0.0390625,-0.0390625,True,False,True
lateral,273,8,1.5,160273,64,0.65625,0.75,0.09375,0.34375,0.25,-0.09375,0.000814743572846055,True,False,170273,0.0390625,-0.0390625,True,False,False
lateral,373,1,0.5,20373,64,0.78125,0.703125,-0.078125,0.21875,0.296875,0.078125,8.081889245659113e-05,True,False,30373,-0.0859375,0.0859375,False,False,False
lateral,373,1,1.0,20373,64,0.78125,0.65625,-0.125,0.21875,0.34375,0.125,0.0003232792660128325,True,False,30373,-0.0859375,0.0859375,False,False,False
lateral,373,1,1.5,20373,64,0.78125,0.765625,-0.015625,0.21875,0.234375,0.015625,0.0007273749215528369,True,True,30373,-0.0859375,0.0859375,False,False,False
lateral,373,2,0.5,40373,64,0.71875,0.75,0.03125,0.28125,0.25,-0.03125,7.105917029548436e-05,True,False,50373,-0.0390625,0.0390625,False,False,False
lateral,373,2,1.0,40373,64,0.71875,0.640625,-0.078125,0.28125,0.359375,0.078125,0.0002842400863301009,True,False,50373,-0.0390625,0.0390625,False,False,False
lateral,373,2,1.5,40373,64,0.71875,0.765625,0.046875,0.28125,0.234375,-0.046875,0.0006395198870450258,True,True,50373,-0.0390625,0.0390625,False,False,False
lateral,373,3,0.5,60373,64,0.796875,0.734375,-0.0625,0.203125,0.265625,0.0625,7.321181328734383e-05,True,False,70373,-0.0078125,0.0078125,False,False,False
lateral,373,3,1.0,60373,64,0.796875,0.765625,-0.03125,0.203125,0.234375,0.03125,0.0002928700123447925,True,True,70373,-0.0078125,0.0078125,False,False,False
lateral,373,3,1.5,60373,64,0.796875,0.71875,-0.078125,0.203125,0.28125,0.078125,0.000658959848806262,True,False,70373,-0.0078125,0.0078125,False,False,False
lateral,373,4,0.5,80373,64,0.671875,0.765625,0.09375,0.328125,0.234375,-0.09375,9.332074114354327e-05,True,True,90373,0.078125,-0.078125,True,False,True
lateral,373,4,1.0,80373,64,0.671875,0.75,0.078125,0.328125,0.25,-0.078125,0.0003732905606739223,True,False,90373,0.078125,-0.078125,True,False,False
lateral,373,4,1.5,80373,64,0.671875,0.765625,0.09375,0.328125,0.234375,-0.09375,0.0008398852660320699,True,False,90373,0.078125,-0.078125,True,False,False
lateral,373,5,0.5,100373,64,0.671875,0.703125,0.03125,0.328125,0.296875,-0.03125,8.144031016854569e-05,True,True,110373,-0.03125,0.03125,False,False,False
lateral,373,5,1.0,100373,64,0.671875,0.65625,-0.015625,0.328125,0.34375,0.015625,0.0003257625503465533,True,False,110373,-0.03125,0.03125,False,False,False
lateral,373,5,1.5,100373,64,0.671875,0.703125,0.03125,0.328125,0.296875,-0.03125,0.0007329426007345319,True,False,110373,-0.03125,0.03125,False,False,False
lateral,373,6,0.5,120373,64,0.734375,0.71875,-0.015625,0.265625,0.28125,0.015625,7.127909339033067e-05,True,False,130373,0.0,0.0,False,False,False
lateral,373,6,1.0,120373,64,0.734375,0.796875,0.0625,0.265625,0.203125,-0.0625,0.00028513200231827796,True,True,130373,0.0,0.0,False,False,False
lateral,373,6,1.5,120373,64,0.734375,0.75,0.015625,0.265625,0.25,-0.015625,0.0006415621028281748,True,False,130373,0.0,0.0,False,False,False
lateral,373,7,0.5,140373,64,0.796875,0.671875,-0.125,0.203125,0.328125,0.125,8.976276149041951e-05,True,False,150373,-0.0078125,0.0078125,False,False,False
lateral,373,7,1.0,140373,64,0.796875,0.8125,0.015625,0.203125,0.1875,-0.015625,0.0003590518899727613,True,True,150373,-0.0078125,0.0078125,False,False,False
lateral,373,7,1.5,140373,64,0.796875,0.75,-0.046875,0.203125,0.25,0.046875,0.0008078605169430375,True,False,150373,-0.0078125,0.0078125,False,False,False
lateral,373,8,0.5,160373,64,0.6875,0.75,0.0625,0.3125,0.25,-0.0625,7.701397407799959e-05,True,False,170373,0.046875,-0.046875,True,False,False
lateral,373,8,1.0,160373,64,0.6875,0.671875,-0.015625,0.3125,0.328125,0.015625,0.0003080613096244633,True,False,170373,0.046875,-0.046875,True,False,False
lateral,373,8,1.5,160373,64,0.6875,0.78125,0.09375,0.3125,0.21875,-0.09375,0.0006931306561455131,True,True,170373,0.046875,-0.046875,True,False,True
lateral,473,1,0.5,20473,64,0.671875,0.765625,0.09375,0.3125,0.234375,-0.078125,8.275828440673649e-05,True,True,30473,0.0234375,-0.0234375,True,False,True
lateral,473,1,1.0,20473,64,0.671875,0.75,0.078125,0.3125,0.25,-0.0625,0.00033104332396760583,True,False,30473,0.0234375,-0.0234375,True,False,False
lateral,473,1,1.5,20473,64,0.671875,0.75,0.078125,0.3125,0.25,-0.0625,0.000744842691347003,True,False,30473,0.0234375,-0.0234375,True,False,False
lateral,473,2,0.5,40473,64,0.75,0.71875,-0.03125,0.25,0.28125,0.03125,7.63408315833658e-05,True,False,50473,-0.09375,0.09375,False,False,False
lateral,473,2,1.0,40473,64,0.75,0.625,-0.125,0.25,0.375,0.125,0.0003053784603253007,True,False,50473,-0.09375,0.09375,False,False,False
lateral,473,2,1.5,40473,64,0.75,0.75,0.0,0.25,0.25,0.0,0.0006871013320051134,True,True,50473,-0.09375,0.09375,False,False,False
lateral,473,3,0.5,60473,64,0.734375,0.71875,-0.015625,0.265625,0.28125,0.015625,7.048952102195472e-05,True,False,70473,-0.0390625,0.0390625,False,False,False
lateral,473,3,1.0,60473,64,0.734375,0.703125,-0.03125,0.265625,0.296875,0.03125,0.00028197455685585737,True,False,70473,-0.0390625,0.0390625,False,False,False
lateral,473,3,1.5,60473,64,0.734375,0.734375,0.0,0.265625,0.265625,0.0,0.0006344594294205308,True,True,70473,-0.0390625,0.0390625,False,False,False
lateral,473,4,0.5,80473,64,0.71875,0.734375,0.015625,0.28125,0.265625,-0.015625,9.21189202927053e-05,True,False,90473,0.0390625,-0.0390625,True,False,False
lateral,473,4,1.0,80473,64,0.71875,0.71875,0.0,0.28125,0.28125,0.0,0.00036849011667072773,True,False,90473,0.0390625,-0.0390625,True,False,False
lateral,473,4,1.5,80473,64,0.71875,0.796875,0.078125,0.28125,0.203125,-0.078125,0.0008290992118418217,True,True,90473,0.0390625,-0.0390625,True,False,True
