evaluation_seed,environment_id,success,fell,timed_out,ever_intervened,post_intervention_fall,toe_riser_kick_count,unsafe_overlap_steps,return,steps,completion_time_s,max_riser,completion_fraction,intervention_count,intervention_event_count,mean_velocity_correction_norm,mean_velocity_correction_jerk,toe_riser_contact_impulse,toe_riser_contact_force_peak,post_intervention_mean_abs_root_roll,post_intervention_mean_abs_root_pitch,post_intervention_mean_support_foot_slip,minimum_nominal_margin,minimum_filtered_margin,maximum_nominal_safe_target_error,all_finite
201356090,0,True,False,False,False,False,8,9,-0.09831666946411133,373,7.46,9,1.0,0,0,0.0,0.0,67.03004455566406,679.3444213867188,0.0,0.0,0.0,-12.850743293762207,-12.850743293762207,2.384185791015625e-07,True
201356090,1,True,False,False,False,False,6,6,0.21479272842407227,425,8.5,9,1.0,0,0,0.0,0.0,42.706729888916016,482.84454345703125,0.0,0.0,0.0,-15.253607749938965,-15.253607749938965,2.384185791015625e-07,True
201356090,2,True,False,False,False,False,4,4,0.4585747718811035,401,8.02,9,1.0,0,0,0.0,0.0,34.029029846191406,551.2763671875,0.0,0.0,0.0,-11.637426376342773,-11.637426376342773,2.384185791015625e-07,True
201356090,3,True,False,False,False,False,5,5,-2.509995460510254,443,8.86,9,1.0,0,0,0.0,0.0,44.79883575439453,761.7172241210938,0.0,0.0,0.0,-29.409488677978516,-29.409488677978516,2.384185791015625e-07,True
201356090,4,True,False,False,False,False,8,8,-3.7420296669006348,474,9.48,9,1.0,0,0,0.0,0.0,60.66986083984375,544.8934326171875,0.0,0.0,0.0,-22.541114807128906,-22.541114807128906,2.384185791015625e-07,True
201356090,5,True,False,False,False,False,3,3,-3.8350582122802734,609,12.18,9,1.0,0,0,0.0,0.0,27.51297378540039,653.5811767578125,0.0,0.0,0.0,-15.75226879119873,-15.75226879119873,2.384185791015625e-07,True
201356090,6,True,False,False,False,False,5,5,0.1724543571472168,388,7.76,9,1.0,0,0,0.0,0.0,37.72932434082031,474.52545166015625,0.0,0.0,0.0,-13.227262496948242,-13.227262496948242,2.384185791015625e-07,True
201356090,7,True,False,False,False,False,5,5,0.35361528396606445,378,7.5600000000000005,9,1.0,0,0,0.0,0.0,40.715484619140625,503.6199645996094,0.0,0.0,0.0,-10.944300651550293,-10.944300651550293,2.384185791015625e-07,True
201356090,8,True,False,False,False,False,5,5,0.28136348724365234,462,9.24,9,1.0,0,0,0.0,0.0,47.3975830078125,711.2512817382812,0.0,0.0,0.0,-16.194814682006836,-16.194814682006836,2.384185791015625e-07,True
201356090,9,True,False,False,False,False,7,7,0.7758879661560059,439,8.78,9,1.0,0,0,0.0,0.0,65.20557403564453,555.60791015625,0.0,0.0,0.0,-10.60414981842041,-10.60414981842041,2.384185791015625e-07,True
