candidate_index,riser_height_m,clearance_barrier_slope,evaluation_seed,environment_id,off_success,on_success,off_fell,on_fell,off_toe_riser_kick,on_toe_riser_kick,off_max_riser,on_max_riser,off_would_intervene_count,on_intervention_count
0,0.17,0.8,147260000,74,True,True,False,False,True,True,9,9,44,41
0,0.17,0.8,147260000,75,True,True,False,False,True,True,9,9,49,37
0,0.17,0.8,147260000,76,False,False,True,True,True,True,6,5,69,79
0,0.17,0.8,147260000,77,True,False,False,True,True,True,9,8,57,65
0,0.17,0.8,147260000,78,True,True,False,False,True,True,9,9,57,40
0,0.17,0.8,147260000,79,True,True,False,False,True,True,9,9,50,43
0,0.17,0.8,147260000,80,True,True,False,False,True,True,9,9,56,49
0,0.17,0.8,147260000,81,False,True,True,False,True,True,6,9,26,49
0,0.17,0.8,147260000,82,True,False,False,True,True,True,9,7,55,62
0,0.17,0.8,147260000,83,False,True,True,False,True,True,9,9,31,51
0,0.17,0.8,147260000,84,False,False,True,True,True,True,3,9,27,53
0,0.17,0.8,147260000,85,True,True,False,False,True,True,9,9,43,40
0,0.17,0.8,147260000,86,False,False,True,True,True,True,7,8,40,58
0,0.17,0.8,147260000,87,True,True,False,False,True,True,9,9,44,33
0,0.17,0.8,147260000,88,True,True,False,False,True,True,9,9,61,39
0,0.17,0.8,147260000,89,True,True,False,False,True,True,9,9,51,48
0,0.17,0.8,147260000,90,False,True,True,False,True,True,7,9,64,44
0,0.17,0.8,147260000,91,True,True,False,False,True,True,9,9,36,50
0,0.17,0.8,147260000,92,True,True,False,False,True,True,9,9,70,80
0,0.17,0.8,147260000,93,True,True,False,False,True,True,9,9,46,49
0,0.17,0.8,147260000,94,True,True,False,False,True,True,9,9,53,35
0,0.17,0.8,147260000,95,True,True,False,False,True,True,9,9,51,40
0,0.17,0.8,147260000,96,True,True,False,False,True,True,9,9,54,49
0,0.17,0.8,147260000,97,True,True,False,False,True,True,9,9,48,50
0,0.17,0.8,147260000,98,True,True,False,False,True,True,9,9,38,29
0,0.17,0.8,147260000,99,True,False,False,True,True,True,9,8,60,60
0,0.17,0.8,147260000,100,True,True,False,False,True,True,9,9,37,43
0,0.17,0.8,147260000,101,True,True,False,False,True,True,9,9,45,57
0,0.17,0.8,147260000,102,False,True,True,False,True,True,8,9,75,37
0,0.17,0.8,147260000,103,True,True,False,False,True,True,9,9,39,50
0,0.17,0.8,147260000,104,True,True,False,False,True,True,9,9,55,39
0,0.17,0.8,147260000,105,False,True,True,False,True,True,3,9,29,54
0,0.17,0.8,147260000,106,True,True,False,False,True,True,9,9,53,43
0,0.17,0.8,147260000,107,True,True,False,False,True,True,9,9,42,41
0,0.17,0.8,147260000,108,True,True,False,False,True,True,9,9,43,45
0,0.17,0.8,147260000,109,True,True,False,False,True,True,9,9,55,41
0,0.17,0.8,147260000,110,True,True,False,False,True,True,9,9,38,30
0,0.17,0.8,147260000,111,True,True,False,False,True,True,9,9,42,52
0,0.17,0.8,147260000,112,False,False,True,True,True,True,8,6,57,60
0,0.17,0.8,147260000,113,True,True,False,False,True,True,9,9,44,41
0,0.17,0.8,147260000,114,False,True,True,False,True,True,9,9,42,45
0,0.17,0.8,147260000,115,True,True,False,False,True,True,9,9,37,37
0,0.17,0.8,147260000,116,False,True,True,False,True,True,8,9,92,49
0,0.17,0.8,147260000,117,True,True,False,False,True,True,9,9,72,44
0,0.17,0.8,147260000,118,True,True,False,False,True,True,9,9,47,47
0,0.17,0.8,147260000,119,False,False,True,True,True,True,9,7,48,63
0,0.17,0.8,147260000,120,True,True,False,False,True,True,9,9,34,68
0,0.17,0.8,147260000,121,True,True,False,False,True,True,9,9,52,55
0,0.17,0.8,147260000,122,False,True,True,False,True,True,2,9,274,35
0,0.17,0.8,147260000,123,True,True,False,False,True,True,9,9,33,50
0,0.17,0.8,147260000,124,True,False,False,True,True,True,9,5,51,67
0,0.17,0.8,147260000,125,True,True,False,False,True,True,9,9,59,60
0,0.17,0.8,147260000,126,True,False,False,True,True,True,9,9,38,48
0,0.17,0.8,147260000,127,False,True,True,False,True,True,8,9,75,54
0,0.17,0.8,147260001,0,False,True,True,False,True,True,9,9,90,49
0,0.17,0.8,147260001,1,True,False,False,True,True,True,9,9,75,114
0,0.17,0.8,147260001,2,False,True,True,False,True,True,7,9,42,53
0,0.17,0.8,147260001,3,True,True,False,False,True,True,9,9,56,45
0,0.17,0.8,147260001,4,True,False,False,True,True,True,9,1,46,35
0,0.17,0.8,147260001,5,False,True,True,False,True,True,4,9,46,39
0,0.17,0.8,147260001,6,True,True,False,False,True,True,9,9,44,41
0,0.17,0.8,147260001,7,True,True,False,False,True,True,9,9,48,35
0,0.17,0.8,147260001,8,True,True,False,False,True,True,9,9,51,47
0,0.17,0.8,147260001,9,True,True,False,False,True,True,9,9,39,45
0,0.17,0.8,147260001,10,False,False,True,True,True,True,9,9,59,40
0,0.17,0.8,147260001,11,True,False,False,True,True,True,9,9,30,33
0,0.17,0.8,147260001,12,True,False,False,True,True,False,9,3,42,32
0,0.17,0.8,147260001,13,True,True,False,False,True,True,9,9,50,63
0,0.17,0.8,147260001,14,False,True,True,False,True,True,9,9,29,50
0,0.17,0.8,147260001,15,False,True,True,False,True,True,9,9,31,38
0,0.17,0.8,147260001,16,True,True,False,False,True,True,9,9,35,36
0,0.17,0.8,147260001,17,True,False,False,True,True,True,9,4,34,42
0,0.17,0.8,147260001,18,True,True,False,False,True,True,9,9,35,52
0,0.17,0.8,147260001,19,True,True,False,False,True,True,9,9,51,52
0,0.17,0.8,147260001,20,False,True,True,False,True,True,9,9,51,20
0,0.17,0.8,147260001,21,False,True,True,False,True,True,5,9,30,53
0,0.17,0.8,147260001,22,True,True,False,False,True,True,9,9,45,43
0,0.17,0.8,147260001,23,False,True,True,False,True,True,3,9,19,39
0,0.17,0.8,147260001,24,True,True,False,False,True,True,9,9,64,45
0,0.17,0.8,147260001,25,True,True,False,False,True,True,9,9,41,51
