round,status,rollout_episode_count,rollout_success_rate,rollout_fall_rate,rollout_mean_return,actor_loss,value_loss,clip_fraction,moving_forward_kl,behavior_approx_kl,actor_gradient_norm,critic_gradient_norm,cbf_intervention_per_riser,recovery_takeover_count,recovery_takeover_rate,actor_epochs_completed,target_kl_early_stopped,rollback_reason,round_start_actor_sha256,round_end_actor_sha256
1,updated,104,0.46153846153846156,0.5384615384615384,2.4931226556117716,0.00744697533082217,0.4214292876422405,0.345550537109375,0.0016897526802495122,0.0021860171109437943,47.70973587036133,14.913894653320312,1.623827338218689,47,0.4519230769230769,2,False,,7afed309902a323a43b47005c01529c84160944bb8cea2c45d000b38b18cc099,94b0bf81c743200c6b974b229adab4cf36b6b00de244e9af7a4b7e399087f4cf
2,updated,111,0.4144144144144144,0.5855855855855856,1.7715061677468789,0.0016645938158035278,0.39128459990024567,0.2526092529296875,0.0010440177284181118,0.0013436460867524147,33.64973068237305,13.801555633544922,1.494096279144287,46,0.4144144144144144,2,False,,94b0bf81c743200c6b974b229adab4cf36b6b00de244e9af7a4b7e399087f4cf,dd46685c9b06482ac6ff82cb748f2f9fbea2f3e6610113bc78bfb83baf328136
3,updated,105,0.44761904761904764,0.5523809523809524,2.1415666285015287,0.0003389901394257322,0.3168450742959976,0.135772705078125,0.0005827870918437839,0.000753390253521502,25.87035369873047,13.143360137939453,1.5298912525177002,47,0.44761904761904764,2,False,,dd46685c9b06482ac6ff82cb748f2f9fbea2f3e6610113bc78bfb83baf328136,a1fd54102c24a828b658ef68e6b5d9cd53b265d36621cf1d39f9e01edec65966
4,updated,109,0.45871559633027525,0.5412844036697247,2.4509537066888374,0.0004796589018951636,0.3404383473098278,0.157470703125,0.0006661557708866894,0.000723442411981523,24.606090545654297,13.579490661621094,1.5718207359313965,48,0.44036697247706424,2,False,,a1fd54102c24a828b658ef68e6b5d9cd53b265d36621cf1d39f9e01edec65966,a41b1325c908e5fd69513f841e640822087df1431d7d214d3e3e79fbd08cd3f7
5,updated,103,0.4368932038834951,0.5631067961165048,2.2524915482234027,2.7349087758921087e-05,0.2946539521217346,0.1392364501953125,0.0006043848115950823,0.0007817922160029411,20.662612915039062,11.7586030960083,1.389845848083496,44,0.42718446601941745,2,False,,a41b1325c908e5fd69513f841e640822087df1431d7d214d3e3e79fbd08cd3f7,58cf36cd184ffc852e33a6da3a3dccde9d34075fb36a7382b3b8bef2c6f7455b
6,updated,108,0.37037037037037035,0.6296296296296297,1.505283616207264,-0.00012153151328675449,0.2762683406472206,0.134765625,0.0005801102379336953,0.0008220862946473062,19.55559730529785,10.749069213867188,1.4709042310714722,40,0.37037037037037035,2,False,,58cf36cd184ffc852e33a6da3a3dccde9d34075fb36a7382b3b8bef2c6f7455b,fc8e163aef12707ba1bf533ddd5b532408d2007d5ba571e601224b59969d43d0
7,updated,109,0.3669724770642202,0.6330275229357798,1.5088839705930936,-4.365466520539485e-05,0.270220834761858,0.130462646484375,0.0005797090707346797,0.0006975681171752512,20.32692527770996,10.182991981506348,1.5081374645233154,40,0.3669724770642202,2,False,,fc8e163aef12707ba1bf533ddd5b532408d2007d5ba571e601224b59969d43d0,1b3c90a94ec0b8730e73ceb421438e9b6d03fb3f39060b977a0fec7d86dacb45
8,updated,115,0.4,0.6,1.3925119565880817,0.0002152703091269359,0.2623242251574993,0.13397216796875,0.0005776454927399755,0.0006971746333874762,23.411060333251953,9.792468070983887,1.6721460819244385,46,0.4,2,False,,1b3c90a94ec0b8730e73ceb421438e9b6d03fb3f39060b977a0fec7d86dacb45,a08a2ac986735dfe7bc1fedf54b8c33782a9d45e2162c1eb8382e692136aa5e7
