round,configured_runtime_filter_fraction,rollout_success_rate,rollout_fall_rate,rollout_filter_on_episode_count,rollout_filter_on_success_rate,rollout_filter_on_fall_rate,rollout_filter_off_episode_count,rollout_filter_off_success_rate,rollout_filter_off_fall_rate,rollout_mean_return,rollout_mean_reached_riser,actor_loss,value_loss,moving_forward_kl,behavior_approx_kl,clip_fraction,action_mean_shift,actor_gradient_norm,actor_gradient_clipped_fraction,teacher_transition_count,teacher_fraction_among_interventions,teacher_weight_sum,teacher_loss,teacher_huber_loss_mean,teacher_smooth_l1_beta,mean_cbf_correction_norm,mean_residual_target_norm,mean_policy_to_target_distance_before_update,mean_policy_to_target_distance_after_update,teacher_mode,teacher_gate_mode,teacher_eta,cbf_intervention_count,cbf_intervention_per_riser,toe_riser_kick_event_count,round_start_actor_sha256,round_end_actor_sha256,epoch_moving_forward_kl_json,minibatch_diagnostics_json,teacher_error_before_action_00,teacher_error_before_action_01,teacher_error_before_action_02,teacher_error_before_action_03,teacher_error_before_action_04,teacher_error_before_action_05,teacher_error_before_action_06,teacher_error_before_action_07,teacher_error_before_action_08,teacher_error_before_action_09,teacher_error_before_action_10,teacher_error_before_action_11,teacher_error_after_action_00,teacher_error_after_action_01,teacher_error_after_action_02,teacher_error_after_action_03,teacher_error_after_action_04,teacher_error_after_action_05,teacher_error_after_action_06,teacher_error_after_action_07,teacher_error_after_action_08,teacher_error_after_action_09,teacher_error_after_action_10,teacher_error_after_action_11
1,1.0,0.851145038167939,0.14885496183206107,262,0.851145038167939,0.14885496183206107,0,,,-4.072720875266854,8.48091603053435,1.782238541636616e-05,0.7478140518069267,0.00028718519024550915,0.00039927655598148704,0.040771484375,0.0012593360006576404,16.761945724487305,1.0,0.0,0.0,0.0,0.0,0.0,0.05,0.5515614151954651,0.0,0.0,0.0,none,none,0.0,12824,4.63294792175293,1682.0,7afed309902a323a43b47005c01529c84160944bb8cea2c45d000b38b18cc099,b766f2ae1959c8c452a8068f881170459cfbc276fb0805e2743f30e31e8f235d,"[0.0002923738502431661,0.00028718519024550915]","[{""action_mean_shift"":0.00149664341006428,""actor_gradient_norm_pre_clip"":7.202126502990723,""behavior_approximate_kl"":0.0005626693600788713,""clip_fraction"":0.10906982421875,""epoch"":1,""minibatch"":1,""moving_forward_kl"":0.0004930562572553754},{""action_mean_shift"":0.0014730589464306831,""actor_gradient_norm_pre_clip"":16.761945724487305,""behavior_approximate_kl"":0.0004794484411831945,""clip_fraction"":0.0953369140625,""epoch"":1,""minibatch"":2,""moving_forward_kl"":0.00045557113480754197},{""action_mean_shift"":0.0012861170107498765,""actor_gradient_norm_pre_clip"":14.151029586791992,""behavior_approximate_kl"":0.00021978486620355397,""clip_fraction"":0.06243896484375,""epoch"":1,""minibatch"":3,""moving_forward_kl"":0.0003502347390167415},{""action_mean_shift"":0.0011799343628808856,""actor_gradient_norm_pre_clip"":12.702927589416504,""behavior_approximate_kl"":6.111999391578138e-05,""clip_fraction"":0.045379638671875,""epoch"":1,""minibatch"":4,""moving_forward_kl"":0.0002932092174887657},{""action_mean_shift"":0.0011571564245969057,""actor_gradient_norm_pre_clip"":10.48530101776123,""behavior_approximate_kl"":0.0002779402129817754,""clip_fraction"":0.0413818359375,""epoch"":2,""minibatch"":1,""moving_forward_kl"":0.0002830745652318001},{""action_mean_shift"":0.0011587037006393075,""actor_gradient_norm_pre_clip"":8.691169738769531,""behavior_approximate_kl"":0.0002697128802537918,""clip_fraction"":0.04071044921875,""epoch"":2,""minibatch"":2,""moving_forward_kl"":0.00028365926118567586},{""action_mean_shift"":0.0011503304122015834,""actor_gradient_norm_pre_clip"":9.575237274169922,""behavior_approximate_kl"":0.00035482709063217044,""clip_fraction"":0.038726806640625,""epoch"":2,""minibatch"":3,""moving_forward_kl"":0.00027681782376021147},{""action_mean_shift"":0.0011727437376976013,""actor_gradient_norm_pre_clip"":9.507818222045898,""behavior_approximate_kl"":0.00044689339119940996,""clip_fraction"":0.039764404296875,""epoch"":2,""minibatch"":4,""moving_forward_kl"":0.0002859725209418684}]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.796875,0.8359375,0.1640625,206,0.8300970873786407,0.16990291262135923,50,0.86,0.14,-3.2834856593981385,8.65234375,-0.00010864029354706872,0.5223168954253197,0.0002327294205315411,0.0003022487508133054,0.02434539794921875,0.0009768675517989323,11.80483341217041,1.0,0.0,0.0,0.0,0.0,0.0,0.05,0.529475748538971,0.0,0.0,0.0,none,none,0.0,9838,3.7679049968719482,1724.0,b766f2ae1959c8c452a8068f881170459cfbc276fb0805e2743f30e31e8f235d,c8619451bf61c2c26bd7049c351a51fda029aa1d2a00c053ac9fc86e9462b78f,"[0.00031466447398997843,0.0002327294205315411]","[{""action_mean_shift"":0.00044743448961526155,""actor_gradient_norm_pre_clip"":7.1299028396606445,""behavior_approximate_kl"":4.747389175463468e-05,""clip_fraction"":0.0,""epoch"":1,""minibatch"":1,""moving_forward_kl"":4.345255729276687e-05},{""action_mean_shift"":0.0008696782169863582,""actor_gradient_norm_pre_clip"":6.927079200744629,""behavior_approximate_kl"":0.00028059649048373103,""clip_fraction"":0.012664794921875,""epoch"":1,""minibatch"":2,""moving_forward_kl"":0.00016656590742059052},{""action_mean_shift"":0.001146903494372964,""actor_gradient_norm_pre_clip"":7.539535999298096,""behavior_approximate_kl"":9.35239513637498e-05,""clip_fraction"":0.048553466796875,""epoch"":1,""minibatch"":3,""moving_forward_kl"":0.0002945527376141399},{""action_mean_shift"":0.0011909517925232649,""actor_gradient_norm_pre_clip"":11.80483341217041,""behavior_approximate_kl"":0.0004158291267231107,""clip_fraction"":0.0533447265625,""epoch"":1,""minibatch"":4,""moving_forward_kl"":0.00031358946580439806},{""action_mean_shift"":0.0011141641298308969,""actor_gradient_norm_pre_clip"":11.35168743133545,""behavior_approximate_kl"":0.0004534789186436683,""clip_fraction"":0.038360595703125,""epoch"":2,""minibatch"":1,""moving_forward_kl"":0.0002664310741238296},{""action_mean_shift"":0.0009999319445341825,""actor_gradient_norm_pre_clip"":9.397193908691406,""behavior_approximate_kl"":-8.429837180301547e-06,""clip_fraction"":0.019866943359375,""epoch"":2,""minibatch"":2,""moving_forward_kl"":0.0002095699601341039},{""action_mean_shift"":0.0009846724569797516,""actor_gradient_norm_pre_clip"":6.8084940910339355,""behavior_approximate_kl"":0.0002444050624035299,""clip_fraction"":0.017547607421875,""epoch"":2,""minibatch"":3,""moving_forward_kl"":0.00020199108985252678},{""action_mean_shift"":0.0010612038895487785,""actor_gradient_norm_pre_clip"":7.187215328216553,""behavior_approximate_kl"":0.0004989771405234933,""clip_fraction"":0.0244140625,""epoch"":2,""minibatch"":4,""moving_forward_kl"":0.00023360506747849286}]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.6015625,0.7537878787878788,0.24621212121212122,156,0.8205128205128205,0.1794871794871795,108,0.6574074074074074,0.3425925925925926,-7.635982762683522,8.204545454545455,-0.00015253492983902106,0.5444246158003807,0.00020676142594311386,0.00018647326214704663,0.0201873779296875,0.0010129780930583365,11.490381240844727,1.0,0.0,0.0,0.0,0.0,0.0,0.05,0.5875523686408997,0.0,0.0,0.0,none,none,0.0,8576,3.2362263202667236,1595.0,c8619451bf61c2c26bd7049c351a51fda029aa1d2a00c053ac9fc86e9462b78f,d4545972f2c340f9c02cb736aba3d9234c98ec87d24aff96cc003be19dd0a71c,"[0.00033775437623262405,0.00020676142594311386]","[{""action_mean_shift"":0.0004606815637089312,""actor_gradient_norm_pre_clip"":6.619178771972656,""behavior_approximate_kl"":8.866832649800926e-05,""clip_fraction"":3.0517578125e-05,""epoch"":1,""minibatch"":1,""moving_forward_kl"":4.665643791668117e-05},{""action_mean_shift"":0.0008280216716229916,""actor_gradient_norm_pre_clip"":7.036930084228516,""behavior_approximate_kl"":0.0001205012304126285,""clip_fraction"":0.0118408203125,""epoch"":1,""minibatch"":2,""moving_forward_kl"":0.00015374383656308055},{""action_mean_shift"":0.0011457267682999372,""actor_gradient_norm_pre_clip"":7.526778697967529,""behavior_approximate_kl"":3.7411700759548694e-05,""clip_fraction"":0.047515869140625,""epoch"":1,""minibatch"":3,""moving_forward_kl"":0.0002909412723965943},{""action_mean_shift"":0.0012541740434244275,""actor_gradient_norm_pre_clip"":11.181875228881836,""behavior_approximate_kl"":0.0005146664334461093,""clip_fraction"":0.060028076171875,""epoch"":1,""minibatch"":4,""moving_forward_kl"":0.00033756994525901973},{""action_mean_shift"":0.0012262013042345643,""actor_gradient_norm_pre_clip"":11.016397476196289,""behavior_approximate_kl"":0.0003309898602310568,""clip_fraction"":0.0550537109375,""epoch"":2,""minibatch"":1,""moving_forward_kl"":0.00032309326343238354},{""action_mean_shift"":0.0011439447989687324,""actor_gradient_norm_pre_clip"":10.723139762878418,""behavior_approximate_kl"":0.0001672154467087239,""clip_fraction"":0.0423583984375,""epoch"":2,""minibatch"":2,""moving_forward_kl"":0.0002794651663862169},{""action_mean_shift"":0.001059863599948585,""actor_gradient_norm_pre_clip"":11.490381240844727,""behavior_approximate_kl"":0.00031797721749171615,""clip_fraction"":0.02801513671875,""epoch"":2,""minibatch"":3,""moving_forward_kl"":0.00023823055380489677},{""action_mean_shift"":0.000985210994258523,""actor_gradient_norm_pre_clip"":7.966945648193359,""behavior_approximate_kl"":0.00016316014807671309,""clip_fraction"":0.020477294921875,""epoch"":2,""minibatch"":4,""moving_forward_kl"":0.00020670676894951612}]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.3984375,0.7058823529411765,0.29411764705882354,111,0.7117117117117117,0.2882882882882883,161,0.7018633540372671,0.2981366459627329,-7.726043409284423,7.849264705882353,-0.0001335618617304135,0.6171971261501312,0.00023934670025482774,0.00023791844432707876,0.0267333984375,0.0009656394577177707,12.562882423400879,1.0,0.0,0.0,0.0,0.0,0.0,0.05,0.6119067668914795,0.0,0.0,0.0,none,none,0.0,5923,2.2606871128082275,1632.0,d4545972f2c340f9c02cb736aba3d9234c98ec87d24aff96cc003be19dd0a71c,a21b90554037384352b6106eff778e1b0b604cacabcd964e2b052736856ca2f4,"[0.0002711645793169737,0.00023934670025482774]","[{""action_mean_shift"":0.0004011838755104691,""actor_gradient_norm_pre_clip"":7.955490589141846,""behavior_approximate_kl"":-7.578419172205031e-06,""clip_fraction"":0.0,""epoch"":1,""minibatch"":1,""moving_forward_kl"":3.5632918297778815e-05},{""action_mean_shift"":0.0007765954360365868,""actor_gradient_norm_pre_clip"":7.931419372558594,""behavior_approximate_kl"":0.0001480245409766212,""clip_fraction"":0.00811767578125,""epoch"":1,""minibatch"":2,""moving_forward_kl"":0.000133394671138376},{""action_mean_shift"":0.0010119827929884195,""actor_gradient_norm_pre_clip"":7.905716419219971,""behavior_approximate_kl"":0.0002110728673869744,""clip_fraction"":0.02557373046875,""epoch"":1,""minibatch"":3,""moving_forward_kl"":0.00022212912153918296},{""action_mean_shift"":0.0011195712722837925,""actor_gradient_norm_pre_clip"":9.331965446472168,""behavior_approximate_kl"":0.00018796352378558367,""clip_fraction"":0.038909912109375,""epoch"":1,""minibatch"":4,""moving_forward_kl"":0.0002704838407225907},{""action_mean_shift"":0.001129133626818657,""actor_gradient_norm_pre_clip"":9.042166709899902,""behavior_approximate_kl"":0.00013099453644827008,""clip_fraction"":0.039581298828125,""epoch"":2,""minibatch"":1,""moving_forward_kl"":0.0002729461994022131},{""action_mean_shift"":0.0011079637333750725,""actor_gradient_norm_pre_clip"":12.562882423400879,""behavior_approximate_kl"":0.00017293091514147818,""clip_fraction"":0.03704833984375,""epoch"":2,""minibatch"":2,""moving_forward_kl"":0.0002618882863316685},{""action_mean_shift"":0.0011115118395537138,""actor_gradient_norm_pre_clip"":8.67809772491455,""behavior_approximate_kl"":0.00022110744612291455,""clip_fraction"":0.033721923828125,""epoch"":2,""minibatch"":3,""moving_forward_kl"":0.000260674802120775},{""action_mean_shift"":0.0010671730851754546,""actor_gradient_norm_pre_clip"":10.130023002624512,""behavior_approximate_kl"":0.0002710444387048483,""clip_fraction"":0.027496337890625,""epoch"":2,""minibatch"":4,""moving_forward_kl"":0.00023950405011419207}]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.203125,0.7022058823529411,0.2977941176470588,55,0.7454545454545455,0.2545454545454545,217,0.6912442396313364,0.3087557603686636,-7.683685840929256,7.919117647058823,-0.00011825728142866865,0.5180211588740349,0.0002681059413589537,0.00031439110171049833,0.0370941162109375,0.0008749260159675032,11.23134708404541,1.0,0.0,0.0,0.0,0.0,0.0,0.05,0.62736576795578,0.0,0.0,0.0,none,none,0.0,2965,1.1600157022476196,1473.0,a21b90554037384352b6106eff778e1b0b604cacabcd964e2b052736856ca2f4,bbba78b727cde278584402889747b380a22eb004fab6985be63ae91eb38e4eb6,"[0.000194631633348763,0.0002681059413589537]","[{""action_mean_shift"":0.00028793211095035076,""actor_gradient_norm_pre_clip"":6.97247838973999,""behavior_approximate_kl"":-1.2076328857801855e-05,""clip_fraction"":0.0,""epoch"":1,""minibatch"":1,""moving_forward_kl"":1.841785888245795e-05},{""action_mean_shift"":0.0005568686174228787,""actor_gradient_norm_pre_clip"":6.964654445648193,""behavior_approximate_kl"":9.497202700003982e-05,""clip_fraction"":0.00079345703125,""epoch"":1,""minibatch"":2,""moving_forward_kl"":6.897463754285127e-05},{""action_mean_shift"":0.0007874452858231962,""actor_gradient_norm_pre_clip"":8.15151596069336,""behavior_approximate_kl"":0.00012267746205907315,""clip_fraction"":0.006866455078125,""epoch"":1,""minibatch"":3,""moving_forward_kl"":0.00013509870041161776},{""action_mean_shift"":0.0009515457204543054,""actor_gradient_norm_pre_clip"":8.794723510742188,""behavior_approximate_kl"":2.2167296265251935e-05,""clip_fraction"":0.017669677734375,""epoch"":1,""minibatch"":4,""moving_forward_kl"":0.00019453343702480197},{""action_mean_shift"":0.0010832909028977156,""actor_gradient_norm_pre_clip"":9.279922485351562,""behavior_approximate_kl"":9.476822742726654e-05,""clip_fraction"":0.031829833984375,""epoch"":2,""minibatch"":1,""moving_forward_kl"":0.0002480684488546103},{""action_mean_shift"":0.0011181557783856988,""actor_gradient_norm_pre_clip"":9.892518043518066,""behavior_approximate_kl"":0.0003590968553908169,""clip_fraction"":0.035400390625,""epoch"":2,""minibatch"":2,""moving_forward_kl"":0.0002642307954374701},{""action_mean_shift"":0.00109565956518054,""actor_gradient_norm_pre_clip"":11.23134708404541,""behavior_approximate_kl"":0.0003790241025853902,""clip_fraction"":0.0350341796875,""epoch"":2,""minibatch"":3,""moving_forward_kl"":0.0002574055688455701},{""action_mean_shift"":0.00111851014662534,""actor_gradient_norm_pre_clip"":9.910767555236816,""behavior_approximate_kl"":0.00035425613168627024,""clip_fraction"":0.03582763671875,""epoch"":2,""minibatch"":4,""moving_forward_kl"":0.00026789924595505}]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.6666666666666666,0.3333333333333333,0,,,264,0.6666666666666666,0.3333333333333333,-8.229044101454996,8.128787878787879,-0.00012126585352234542,0.4457258991897106,0.0002378686040174216,0.0003649494901765138,0.02909088134765625,0.0009225661488017067,12.373438835144043,1.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,none,none,0.0,0,0.0,1570.0,bbba78b727cde278584402889747b380a22eb004fab6985be63ae91eb38e4eb6,7304a41ecd5a8983add9c3321005223f742e1a527271e21c0a3cc9faa4487fb2,"[0.00024932046653702855,0.0002378686040174216]","[{""action_mean_shift"":0.0003610965795814991,""actor_gradient_norm_pre_clip"":7.8121657371521,""behavior_approximate_kl"":-3.5655233659781516e-05,""clip_fraction"":0.0,""epoch"":1,""minibatch"":1,""moving_forward_kl"":2.90371917799348e-05},{""action_mean_shift"":0.0006853581871837378,""actor_gradient_norm_pre_clip"":8.285011291503906,""behavior_approximate_kl"":4.9621055950410664e-05,""clip_fraction"":0.0032958984375,""epoch"":1,""minibatch"":2,""moving_forward_kl"":0.00010513005690881982},{""action_mean_shift"":0.0009453407255932689,""actor_gradient_norm_pre_clip"":7.0022101402282715,""behavior_approximate_kl"":0.00039193249540403485,""clip_fraction"":0.02178955078125,""epoch"":1,""minibatch"":3,""moving_forward_kl"":0.0002006159775191918},{""action_mean_shift"":0.0010543924290686846,""actor_gradient_norm_pre_clip"":11.0445556640625,""behavior_approximate_kl"":0.0002030768955592066,""clip_fraction"":0.036651611328125,""epoch"":1,""minibatch"":4,""moving_forward_kl"":0.0002490994520485401},{""action_mean_shift"":0.001087963697500527,""actor_gradient_norm_pre_clip"":12.373438835144043,""behavior_approximate_kl"":0.00032408913830295205,""clip_fraction"":0.03887939453125,""epoch"":2,""minibatch"":1,""moving_forward_kl"":0.0002589345385786146},{""action_mean_shift"":0.0010976720368489623,""actor_gradient_norm_pre_clip"":9.369221687316895,""behavior_approximate_kl"":0.0002634351549204439,""clip_fraction"":0.035003662109375,""epoch"":2,""minibatch"":2,""moving_forward_kl"":0.00025675137294456363},{""action_mean_shift"":0.0010931326542049646,""actor_gradient_norm_pre_clip"":9.39923095703125,""behavior_approximate_kl"":0.00023766989761497825,""clip_fraction"":0.034423828125,""epoch"":2,""minibatch"":3,""moving_forward_kl"":0.0002544244925957173},{""action_mean_shift"":0.0010555728804320097,""actor_gradient_norm_pre_clip"":8.824687957763672,""behavior_approximate_kl"":0.00038304910412989557,""clip_fraction"":0.028564453125,""epoch"":2,""minibatch"":4,""moving_forward_kl"":0.00023758079623803496}]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
