context_id,specialist_mode,evaluation_role,pair_index,evaluation_seed,environment_id,base_success,base_fell,base_failure_type,base_return,base_max_riser,best_success,best_fell,best_failure_type,best_return,best_max_riser
L_effect,lateral,target,54,105000000,54,True,False,success,10.342656135559082,9,True,False,success,10.466470718383789,9
L_effect,lateral,target,55,105000000,55,True,False,success,10.35470962524414,9,True,False,success,9.550363540649414,9
L_effect,lateral,target,56,105000000,56,True,False,success,11.154007911682129,9,True,False,success,12.674936294555664,9
L_effect,lateral,target,57,105000000,57,True,False,success,9.293323516845703,9,True,False,success,11.2257080078125,9
L_effect,lateral,target,58,105000000,58,True,False,success,10.041376113891602,9,True,False,success,9.857353210449219,9
L_effect,lateral,target,59,105000000,59,True,False,success,10.871129989624023,9,False,True,lateral_heading_drift,0.301607608795166,8
L_effect,lateral,target,60,105000000,60,False,True,lateral_heading_drift,-1.733393669128418,9,False,True,contact_stability,-4.246872425079346,3
L_effect,lateral,target,61,105000000,61,True,False,success,11.682170867919922,9,False,True,lateral_heading_drift,0.23804950714111328,6
L_effect,lateral,target,62,105000000,62,True,False,success,10.727348327636719,9,True,False,success,9.918097496032715,9
L_effect,lateral,target,63,105000000,63,True,False,success,10.908281326293945,9,True,False,success,10.496207237243652,9
L_effect,lateral,target,64,105000000,64,True,False,success,10.129194259643555,9,True,False,success,11.545000076293945,9
L_effect,lateral,target,65,105000000,65,True,False,success,9.570161819458008,9,True,False,success,9.55172348022461,9
L_effect,lateral,target,66,105000000,66,True,False,success,7.822659015655518,9,False,True,lateral_heading_drift,-1.1837291717529297,9
L_effect,lateral,target,67,105000000,67,False,True,lateral_heading_drift,0.8795909881591797,9,False,True,contact_stability,-0.14640450477600098,7
L_effect,lateral,target,68,105000000,68,True,False,success,10.222408294677734,9,True,False,success,9.282113075256348,9
L_effect,lateral,target,69,105000000,69,False,True,lateral_heading_drift,0.8833727836608887,9,False,True,lateral_heading_drift,-1.0461902618408203,4
L_effect,lateral,target,70,105000000,70,False,True,lateral_heading_drift,-1.8616752624511719,8,False,True,lateral_heading_drift,-4.049508094787598,9
L_effect,lateral,target,71,105000000,71,True,False,success,11.740543365478516,9,True,False,success,11.678016662597656,9
L_effect,lateral,target,72,105000000,72,True,False,success,10.395920753479004,9,True,False,success,9.836759567260742,9
L_effect,lateral,target,73,105000000,73,True,False,success,9.648594856262207,9,False,True,lateral_heading_drift,-1.0240669250488281,9
L_effect,lateral,target,74,105000000,74,True,False,success,12.52729606628418,9,False,True,lateral_heading_drift,1.316845417022705,8
L_effect,lateral,target,75,105000000,75,True,False,success,10.647273063659668,9,True,False,success,10.467737197875977,9
L_effect,lateral,target,76,105000000,76,True,False,success,8.832468032836914,9,True,False,success,10.482693672180176,9
L_effect,lateral,target,77,105000000,77,True,False,success,12.71873664855957,9,False,True,lateral_heading_drift,-0.4635031223297119,9
L_effect,lateral,target,78,105000000,78,True,False,success,9.984831809997559,9,True,False,success,8.36325454711914,9
L_effect,lateral,target,79,105000000,79,True,False,success,10.058578491210938,9,True,False,success,10.180088996887207,9
L_effect,lateral,target,80,105000000,80,False,True,lateral_heading_drift,0.27593088150024414,9,False,True,lateral_heading_drift,-1.1592724323272705,8
L_effect,lateral,target,81,105000000,81,False,True,lateral_heading_drift,-0.7527844905853271,9,False,True,lateral_heading_drift,-0.9985206127166748,9
L_effect,lateral,target,82,105000000,82,True,False,success,10.947150230407715,9,True,False,success,11.657268524169922,9
