round,configured_runtime_filter_fraction,rollout_success_rate,rollout_fall_rate,rollout_filter_on_episode_count,rollout_filter_on_success_rate,rollout_filter_on_fall_rate,rollout_filter_off_episode_count,rollout_filter_off_success_rate,rollout_filter_off_fall_rate,rollout_mean_return,rollout_mean_reached_riser,actor_loss,value_loss,moving_forward_kl,behavior_approx_kl,clip_fraction,action_mean_shift,actor_gradient_norm,actor_gradient_clipped_fraction,teacher_transition_count,teacher_fraction_among_interventions,teacher_weight_sum,teacher_loss,teacher_huber_loss_mean,teacher_smooth_l1_beta,mean_cbf_correction_norm,mean_residual_target_norm,mean_policy_to_target_distance_before_update,mean_policy_to_target_distance_after_update,teacher_mode,teacher_gate_mode,teacher_eta,cbf_intervention_count,cbf_intervention_per_riser,toe_riser_kick_event_count,round_start_actor_sha256,round_end_actor_sha256,epoch_moving_forward_kl_json,minibatch_diagnostics_json,teacher_error_before_action_00,teacher_error_before_action_01,teacher_error_before_action_02,teacher_error_before_action_03,teacher_error_before_action_04,teacher_error_before_action_05,teacher_error_before_action_06,teacher_error_before_action_07,teacher_error_before_action_08,teacher_error_before_action_09,teacher_error_before_action_10,teacher_error_before_action_11,teacher_error_after_action_00,teacher_error_after_action_01,teacher_error_after_action_02,teacher_error_after_action_03,teacher_error_after_action_04,teacher_error_after_action_05,teacher_error_after_action_06,teacher_error_after_action_07,teacher_error_after_action_08,teacher_error_after_action_09,teacher_error_after_action_10,teacher_error_after_action_11
1,0.0,0.6731517509727627,0.32684824902723736,0,,,257,0.6731517509727627,0.32684824902723736,7.247698246736935,8.077821011673151,0.0029727120345341973,0.297334510833025,0.0007808242808096111,0.0008310943376272917,0.19290924072265625,0.0025166064588120207,40.65452194213867,1.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,none,none,0.0,0,0.0,1930.0,4a4926d9227c31fb239ceead6c39bed61304d1f2c7e3a47aea510e060cee2acd,c32a931b26d6d55d883093aad11b7a1574fea102f64991df0e83dca9db60b13f,"[0.0009021704900078475,0.0007808242808096111]","[{""accumulated_microbatches"":1,""action_mean_shift"":0.0037664338015019894,""actor_gradient_norm_pre_clip"":7.915640354156494,""behavior_approximate_kl"":0.003024080768227577,""clip_fraction"":0.47088623046875,""epoch"":1,""minibatch"":1,""moving_forward_kl"":0.0031360972207039595},{""accumulated_microbatches"":1,""action_mean_shift"":0.0032050805166363716,""actor_gradient_norm_pre_clip"":40.65452194213867,""behavior_approximate_kl"":0.0021535158157348633,""clip_fraction"":0.402191162109375,""epoch"":1,""minibatch"":2,""moving_forward_kl"":0.0022772829979658127},{""accumulated_microbatches"":1,""action_mean_shift"":0.0026526462752372026,""actor_gradient_norm_pre_clip"":32.04819107055664,""behavior_approximate_kl"":0.001542367273941636,""clip_fraction"":0.324432373046875,""epoch"":1,""minibatch"":3,""moving_forward_kl"":0.0015461596194654703},{""accumulated_microbatches"":1,""action_mean_shift"":0.002060352824628353,""actor_gradient_norm_pre_clip"":27.517484664916992,""behavior_approximate_kl"":0.0008285569492727518,""clip_fraction"":0.22186279296875,""epoch"":1,""minibatch"":4,""moving_forward_kl"":0.0009002551669254899},{""accumulated_microbatches"":1,""action_mean_shift"":0.0022035869769752026,""actor_gradient_norm_pre_clip"":19.333425521850586,""behavior_approximate_kl"":0.001064293086528778,""clip_fraction"":0.24627685546875,""epoch"":2,""minibatch"":1,""moving_forward_kl"":0.0010220245458185673},{""accumulated_microbatches"":1,""action_mean_shift"":0.002220295136794448,""actor_gradient_norm_pre_clip"":23.994335174560547,""behavior_approximate_kl"":0.0015333810588344932,""clip_fraction"":0.248748779296875,""epoch"":2,""minibatch"":2,""moving_forward_kl"":0.0010539703071117401},{""accumulated_microbatches"":1,""action_mean_shift"":0.0020921805407851934,""actor_gradient_norm_pre_clip"":25.600502014160156,""behavior_approximate_kl"":0.0005673266132362187,""clip_fraction"":0.22540283203125,""epoch"":2,""minibatch"":3,""moving_forward_kl"":0.0009305021958425641},{""accumulated_microbatches"":1,""action_mean_shift"":0.0019322755979374051,""actor_gradient_norm_pre_clip"":22.00943946838379,""behavior_approximate_kl"":0.0009556231671012938,""clip_fraction"":0.194000244140625,""epoch"":2,""minibatch"":4,""moving_forward_kl"":0.000781607290264219}]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.7181467181467182,0.28185328185328185,0,,,259,0.7181467181467182,0.28185328185328185,7.792946118645687,8.011583011583012,2.292712451890111e-06,0.2677895240485668,0.0003944178461097181,0.0004600838292390108,0.076080322265625,0.001326676065218635,15.894787788391113,1.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,none,none,0.0,0,0.0,1941.0,c32a931b26d6d55d883093aad11b7a1574fea102f64991df0e83dca9db60b13f,09cff2bd9cd2bb05485d41823bbbf118aa2f0f4ea382cf91c146a4efb582ca2d,"[0.000453372485935688,0.0003944178461097181]","[{""accumulated_microbatches"":1,""action_mean_shift"":0.0008276914013549685,""actor_gradient_norm_pre_clip"":7.505518436431885,""behavior_approximate_kl"":1.65341334650293e-05,""clip_fraction"":0.00897216796875,""epoch"":1,""minibatch"":1,""moving_forward_kl"":0.00014774283044971526},{""accumulated_microbatches"":1,""action_mean_shift"":0.0014893149491399527,""actor_gradient_norm_pre_clip"":9.6437406539917,""behavior_approximate_kl"":0.0006258030771277845,""clip_fraction"":0.102142333984375,""epoch"":1,""minibatch"":2,""moving_forward_kl"":0.00047132058534771204},{""accumulated_microbatches"":1,""action_mean_shift"":0.0015947880456224084,""actor_gradient_norm_pre_clip"":15.894787788391113,""behavior_approximate_kl"":0.000726201687939465,""clip_fraction"":0.12493896484375,""epoch"":1,""minibatch"":3,""moving_forward_kl"":0.0005355319590307772},{""accumulated_microbatches"":1,""action_mean_shift"":0.0014558343682438135,""actor_gradient_norm_pre_clip"":15.77588176727295,""behavior_approximate_kl"":0.00019790545047726482,""clip_fraction"":0.092071533203125,""epoch"":1,""minibatch"":4,""moving_forward_kl"":0.0004515147884376347},{""accumulated_microbatches"":1,""action_mean_shift"":0.0012826318852603436,""actor_gradient_norm_pre_clip"":13.585705757141113,""behavior_approximate_kl"":0.0004544008697848767,""clip_fraction"":0.06317138671875,""epoch"":2,""minibatch"":1,""moving_forward_kl"":0.0003547330852597952},{""accumulated_microbatches"":1,""action_mean_shift"":0.0012895609252154827,""actor_gradient_norm_pre_clip"":8.794997215270996,""behavior_approximate_kl"":0.00047508004354313016,""clip_fraction"":0.062774658203125,""epoch"":2,""minibatch"":2,""moving_forward_kl"":0.00035320204915478826},{""accumulated_microbatches"":1,""action_mean_shift"":0.0012993358541280031,""actor_gradient_norm_pre_clip"":11.723604202270508,""behavior_approximate_kl"":0.00032054190523922443,""clip_fraction"":0.065277099609375,""epoch"":2,""minibatch"":3,""moving_forward_kl"":0.00036080306745134294},{""accumulated_microbatches"":1,""action_mean_shift"":0.0013742510927841067,""actor_gradient_norm_pre_clip"":12.065600395202637,""behavior_approximate_kl"":0.0004320080915931612,""clip_fraction"":0.075714111328125,""epoch"":2,""minibatch"":4,""moving_forward_kl"":0.00039476295933127403}]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.7364341085271318,0.26356589147286824,0,,,258,0.7364341085271318,0.26356589147286824,7.994194027065307,8.15891472868217,-6.353395292535424e-05,0.25270383432507515,0.00045377505011856556,0.00037485529901459813,0.09613037109375,0.0013482300710165873,17.834264755249023,1.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,none,none,0.0,0,0.0,1965.0,09cff2bd9cd2bb05485d41823bbbf118aa2f0f4ea382cf91c146a4efb582ca2d,fad22b5869f27c20e33286698ed98cedde148a3502fc01d359e77b4efb3695cb,"[0.00048356899060308933,0.00045377505011856556]","[{""accumulated_microbatches"":1,""action_mean_shift"":0.0009060718584805727,""actor_gradient_norm_pre_clip"":8.157427787780762,""behavior_approximate_kl"":0.00016657140804454684,""clip_fraction"":0.01959228515625,""epoch"":1,""minibatch"":1,""moving_forward_kl"":0.0001848046958912164},{""accumulated_microbatches"":1,""action_mean_shift"":0.0014187865890562534,""actor_gradient_norm_pre_clip"":11.20842456817627,""behavior_approximate_kl"":0.000363837432814762,""clip_fraction"":0.09222412109375,""epoch"":1,""minibatch"":2,""moving_forward_kl"":0.00042981086880899966},{""accumulated_microbatches"":1,""action_mean_shift"":0.0016133016906678677,""actor_gradient_norm_pre_clip"":17.040271759033203,""behavior_approximate_kl"":0.0003097834996879101,""clip_fraction"":0.13037109375,""epoch"":1,""minibatch"":3,""moving_forward_kl"":0.0005499784019775689},{""accumulated_microbatches"":1,""action_mean_shift"":0.0014993994263932109,""actor_gradient_norm_pre_clip"":17.834264755249023,""behavior_approximate_kl"":0.0006884775357320905,""clip_fraction"":0.103851318359375,""epoch"":1,""minibatch"":4,""moving_forward_kl"":0.0004825647920370102},{""accumulated_microbatches"":1,""action_mean_shift"":0.001242823083885014,""actor_gradient_norm_pre_clip"":12.784361839294434,""behavior_approximate_kl"":0.0004986238782294095,""clip_fraction"":0.050994873046875,""epoch"":2,""minibatch"":1,""moving_forward_kl"":0.0003218070778530091},{""accumulated_microbatches"":1,""action_mean_shift"":0.0012596611632034183,""actor_gradient_norm_pre_clip"":8.968235969543457,""behavior_approximate_kl"":0.00043083628406748176,""clip_fraction"":0.0556640625,""epoch"":2,""minibatch"":2,""moving_forward_kl"":0.0003340876428410411},{""accumulated_microbatches"":1,""action_mean_shift"":0.0013779117725789547,""actor_gradient_norm_pre_clip"":11.500847816467285,""behavior_approximate_kl"":-5.348601553123444e-05,""clip_fraction"":0.075347900390625,""epoch"":2,""minibatch"":3,""moving_forward_kl"":0.00039570158696733415},{""accumulated_microbatches"":1,""action_mean_shift"":0.0014678849838674068,""actor_gradient_norm_pre_clip"":13.078646659851074,""behavior_approximate_kl"":0.00025137895136140287,""clip_fraction"":0.09619140625,""epoch"":2,""minibatch"":4,""moving_forward_kl"":0.00045519304694607854}]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.7509881422924901,0.2490118577075099,0,,,253,0.7509881422924901,0.2490118577075099,8.13663687724841,8.213438735177865,-3.899048897437751e-05,0.2702889144420624,0.0003582820063456893,0.00038177447277121246,0.06473541259765625,0.001318063987127971,16.37354278564453,1.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,none,none,0.0,0,0.0,1962.0,fad22b5869f27c20e33286698ed98cedde148a3502fc01d359e77b4efb3695cb,0b2a1305b680a7bcd7ba6e8539b9b8332e1552c589f3528529f38e3213cd751f,"[0.000368862587492913,0.0003582820063456893]","[{""accumulated_microbatches"":1,""action_mean_shift"":0.0008628769428469241,""actor_gradient_norm_pre_clip"":8.231709480285645,""behavior_approximate_kl"":0.00031644501723349094,""clip_fraction"":0.012786865234375,""epoch"":1,""minibatch"":1,""moving_forward_kl"":0.00016440742183476686},{""accumulated_microbatches"":1,""action_mean_shift"":0.0014602444134652615,""actor_gradient_norm_pre_clip"":9.271080017089844,""behavior_approximate_kl"":0.00031540263444185257,""clip_fraction"":0.097015380859375,""epoch"":1,""minibatch"":2,""moving_forward_kl"":0.0004534643667284399},{""accumulated_microbatches"":1,""action_mean_shift"":0.0015258955536410213,""actor_gradient_norm_pre_clip"":16.37354278564453,""behavior_approximate_kl"":0.0005507486639544368,""clip_fraction"":0.107574462890625,""epoch"":1,""minibatch"":3,""moving_forward_kl"":0.0004905250971205533},{""accumulated_microbatches"":1,""action_mean_shift"":0.0013208752498030663,""actor_gradient_norm_pre_clip"":14.83365249633789,""behavior_approximate_kl"":0.00039557862328365445,""clip_fraction"":0.06842041015625,""epoch"":1,""minibatch"":4,""moving_forward_kl"":0.00036789581645280123},{""accumulated_microbatches"":1,""action_mean_shift"":0.001353967934846878,""actor_gradient_norm_pre_clip"":10.591508865356445,""behavior_approximate_kl"":0.00022790327784605324,""clip_fraction"":0.075439453125,""epoch"":2,""minibatch"":1,""moving_forward_kl"":0.00038510520244017243},{""accumulated_microbatches"":1,""action_mean_shift"":0.0013757571578025818,""actor_gradient_norm_pre_clip"":11.02625560760498,""behavior_approximate_kl"":0.0005362817901186645,""clip_fraction"":0.08001708984375,""epoch"":2,""minibatch"":2,""moving_forward_kl"":0.00040009329677559435},{""accumulated_microbatches"":1,""action_mean_shift"":0.0013442293275147676,""actor_gradient_norm_pre_clip"":13.673999786376953,""behavior_approximate_kl"":0.00032050959998741746,""clip_fraction"":0.07501220703125,""epoch"":2,""minibatch"":3,""moving_forward_kl"":0.0003842917503789067},{""accumulated_microbatches"":1,""action_mean_shift"":0.0013006653171032667,""actor_gradient_norm_pre_clip"":12.041034698486328,""behavior_approximate_kl"":0.00029862383962608874,""clip_fraction"":0.064483642578125,""epoch"":2,""minibatch"":4,""moving_forward_kl"":0.0003602360957302153}]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
