arm,context,training_seed,round,online_transitions,round_transition_count,round_falls,cumulative_falls,round_shield_recoveries,cumulative_shield_recoveries,round_nominal_violation_count,round_nominal_violation_fraction,cumulative_nominal_violation_fraction,round_executed_violation_count,round_executed_violation_fraction,cumulative_executed_violation_fraction,round_minimum_nominal_barrier_margin,round_minimum_executed_barrier_margin
nominal_ft,F1,201357000,1,131072,131072,53,53,0,0,12428,0.094818115234375,0.094818115234375,12428,0.094818115234375,0.094818115234375,-34.31679916381836,-34.31679916381836
nominal_ft,F1,201357000,2,262144,131072,65,118,0,0,12339,0.09413909912109375,0.09447860717773438,12339,0.09413909912109375,0.09447860717773438,-51.97882080078125,-51.97882080078125
nominal_ft,F1,201357000,3,393216,131072,64,182,0,0,12261,0.09354400634765625,0.09416707356770833,12261,0.09354400634765625,0.09416707356770833,-39.72272872924805,-39.72272872924805
nominal_ft,F1,201357000,4,524288,131072,66,248,0,0,12231,0.09331512451171875,0.09395408630371094,12231,0.09331512451171875,0.09395408630371094,-55.18677520751953,-55.18677520751953
nominal_ft,F1,201357001,1,131072,131072,69,69,0,0,12214,0.0931854248046875,0.0931854248046875,12214,0.0931854248046875,0.0931854248046875,-37.7798957824707,-37.7798957824707
nominal_ft,F1,201357001,2,262144,131072,51,120,0,0,12047,0.09191131591796875,0.09254837036132812,12047,0.09191131591796875,0.09254837036132812,-37.684635162353516,-37.684635162353516
nominal_ft,F1,201357001,3,393216,131072,69,189,0,0,12070,0.0920867919921875,0.09239451090494792,12070,0.0920867919921875,0.09239451090494792,-37.3236083984375,-37.3236083984375
nominal_ft,F1,201357001,4,524288,131072,71,260,0,0,12736,0.09716796875,0.09358787536621094,12736,0.09716796875,0.09358787536621094,-41.76953887939453,-41.76953887939453
nominal_ft,F1,201357002,1,131072,131072,73,73,0,0,12553,0.09577178955078125,0.09577178955078125,12553,0.09577178955078125,0.09577178955078125,-72.39727783203125,-72.39727783203125
nominal_ft,F1,201357002,2,262144,131072,77,150,0,0,12675,0.09670257568359375,0.0962371826171875,12675,0.09670257568359375,0.0962371826171875,-36.72988510131836,-36.72988510131836
nominal_ft,F1,201357002,3,393216,131072,71,221,0,0,12734,0.0971527099609375,0.0965423583984375,12734,0.0971527099609375,0.0965423583984375,-46.00421905517578,-46.00421905517578
nominal_ft,F1,201357002,4,524288,131072,81,302,0,0,12230,0.0933074951171875,0.095733642578125,12230,0.0933074951171875,0.095733642578125,-38.113037109375,-38.113037109375
nominal_ft,F2,201357000,1,131072,131072,84,84,0,0,13400,0.10223388671875,0.10223388671875,13400,0.10223388671875,0.10223388671875,-68.2663345336914,-68.2663345336914
nominal_ft,F2,201357000,2,262144,131072,83,167,0,0,13381,0.10208892822265625,0.10216140747070312,13381,0.10208892822265625,0.10216140747070312,-38.91292953491211,-38.91292953491211
nominal_ft,F2,201357000,3,393216,131072,67,234,0,0,13685,0.10440826416015625,0.10291035970052083,13685,0.10440826416015625,0.10291035970052083,-76.95234680175781,-76.95234680175781
nominal_ft,F2,201357000,4,524288,131072,97,331,0,0,13398,0.1022186279296875,0.1027374267578125,13398,0.1022186279296875,0.1027374267578125,-47.71123504638672,-47.71123504638672
nominal_ft,F2,201357001,1,131072,131072,85,85,0,0,13551,0.10338592529296875,0.10338592529296875,13551,0.10338592529296875,0.10338592529296875,-56.69963836669922,-56.69963836669922
nominal_ft,F2,201357001,2,262144,131072,85,170,0,0,13243,0.10103607177734375,0.10221099853515625,13243,0.10103607177734375,0.10221099853515625,-39.82544708251953,-39.82544708251953
nominal_ft,F2,201357001,3,393216,131072,99,269,0,0,13833,0.10553741455078125,0.10331980387369792,13833,0.10553741455078125,0.10331980387369792,-41.11814498901367,-41.11814498901367
nominal_ft,F2,201357001,4,524288,131072,96,365,0,0,13355,0.10189056396484375,0.10296249389648438,13355,0.10189056396484375,0.10296249389648438,-37.988460540771484,-37.988460540771484
nominal_ft,F2,201357002,1,131072,131072,96,96,0,0,13444,0.102569580078125,0.102569580078125,13444,0.102569580078125,0.102569580078125,-38.81087112426758,-38.81087112426758
nominal_ft,F2,201357002,2,262144,131072,83,179,0,0,13313,0.10157012939453125,0.10206985473632812,13313,0.10157012939453125,0.10206985473632812,-60.50666427612305,-60.50666427612305
nominal_ft,F2,201357002,3,393216,131072,86,265,0,0,13199,0.10070037841796875,0.10161336263020833,13199,0.10070037841796875,0.10161336263020833,-39.02879333496094,-39.02879333496094
nominal_ft,F2,201357002,4,524288,131072,88,353,0,0,13498,0.1029815673828125,0.10195541381835938,13498,0.1029815673828125,0.10195541381835938,-48.79736328125,-48.79736328125
nominal_ft,F3,201357000,1,131072,131072,89,89,0,0,12630,0.0963592529296875,0.0963592529296875,12630,0.0963592529296875,0.0963592529296875,-35.49880599975586,-35.49880599975586
nominal_ft,F3,201357000,2,262144,131072,81,170,0,0,12354,0.0942535400390625,0.095306396484375,12354,0.0942535400390625,0.095306396484375,-38.50764846801758,-38.50764846801758
nominal_ft,F3,201357000,3,393216,131072,103,273,0,0,13188,0.100616455078125,0.097076416015625,13188,0.100616455078125,0.097076416015625,-35.47384262084961,-35.47384262084961
nominal_ft,F3,201357000,4,524288,131072,90,363,0,0,13031,0.09941864013671875,0.09766197204589844,13031,0.09941864013671875,0.09766197204589844,-58.60695266723633,-58.60695266723633
nominal_ft,F3,201357001,1,131072,131072,83,83,0,0,12831,0.09789276123046875,0.09789276123046875,12831,0.09789276123046875,0.09789276123046875,-59.52028274536133,-59.52028274536133
nominal_ft,F3,201357001,2,262144,131072,75,158,0,0,12741,0.09720611572265625,0.0975494384765625,12741,0.09720611572265625,0.0975494384765625,-39.052162170410156,-39.052162170410156
nominal_ft,F3,201357001,3,393216,131072,82,240,0,0,12964,0.098907470703125,0.09800211588541667,12964,0.098907470703125,0.09800211588541667,-55.10679244995117,-55.10679244995117
nominal_ft,F3,201357001,4,524288,131072,84,324,0,0,12771,0.09743499755859375,0.09786033630371094,12771,0.09743499755859375,0.09786033630371094,-43.05720520019531,-43.05720520019531
nominal_ft,F3,201357002,1,131072,131072,95,95,0,0,12927,0.09862518310546875,0.09862518310546875,12927,0.09862518310546875,0.09862518310546875,-38.65622329711914,-38.65622329711914
nominal_ft,F3,201357002,2,262144,131072,73,168,0,0,12594,0.0960845947265625,0.09735488891601562,12594,0.0960845947265625,0.09735488891601562,-51.80986785888672,-51.80986785888672
nominal_ft,F3,201357002,3,393216,131072,90,258,0,0,12974,0.0989837646484375,0.09789784749348958,12974,0.0989837646484375,0.09789784749348958,-51.888832092285156,-51.888832092285156
nominal_ft,F3,201357002,4,524288,131072,78,336,0,0,13125,0.10013580322265625,0.09845733642578125,13125,0.10013580322265625,0.09845733642578125,-37.33900451660156,-37.33900451660156
reward_only_ft,F1,201357000,1,131072,131072,81,81,0,0,12447,0.09496307373046875,0.09496307373046875,12447,0.09496307373046875,0.09496307373046875,-41.054718017578125,-41.054718017578125
reward_only_ft,F1,201357000,2,262144,131072,66,147,0,0,12221,0.09323883056640625,0.0941009521484375,12221,0.09323883056640625,0.0941009521484375,-36.94872283935547,-36.94872283935547
reward_only_ft,F1,201357000,3,393216,131072,65,212,0,0,12133,0.09256744384765625,0.09358978271484375,12133,0.09256744384765625,0.09358978271484375,-36.552730560302734,-36.552730560302734
reward_only_ft,F1,201357000,4,524288,131072,69,281,0,0,12212,0.093170166015625,0.09348487854003906,12212,0.093170166015625,0.09348487854003906,-39.303428649902344,-39.303428649902344
