arm,context,training_seed,round,online_transitions,cbf_off_success_rate,cbf_on_success_rate,shield_gap,off_improvement_from_round_0,cbf_off_fall_rate,cbf_on_fall_rate,cbf_off_mean_reached_riser,cbf_on_mean_reached_riser,cbf_off_mean_return,cbf_on_mean_return,cbf_off_mean_completion_time_s,cbf_on_mean_completion_time_s,cbf_off_mean_success_completion_time_s,cbf_on_mean_success_completion_time_s,cbf_off_nominal_violation_steps_per_riser,cbf_on_nominal_violation_steps_per_riser,cbf_off_would_intervene_fraction,cbf_on_would_intervene_fraction,cbf_off_mean_counterfactual_correction_norm,cbf_on_mean_correction_norm,cbf_off_unsafe_overlap_steps_per_riser,cbf_on_unsafe_overlap_steps_per_riser,cbf_off_toe_riser_kick_episode_rate,cbf_on_toe_riser_kick_episode_rate,cbf_off_toe_riser_kick_events_per_riser,cbf_on_toe_riser_kick_events_per_riser
nominal_ft,F1,201357000,0,0,0.73046875,0.77734375,0.046875,0.0,0.26953125,0.22265625,8.205078125,8.283203125,-3.7322639795020223,-3.4303955202922225,8.5195703125,7.9798828125,8.922032085561497,8.501557788944723,5.058081409188288,4.3617071445413815,0.09758781481973948,0.09067724013021025,0.020233213039292392,0.021106150861230747,1.0211854320399905,0.777175194529592,0.994140625,0.986328125,0.8076648417043562,0.7005423249233671
nominal_ft,F1,201357000,1,131072,0.724609375,0.775390625,0.05078125,-0.005859375,0.2734375,0.224609375,8.18359375,8.3203125,-3.5881747105158865,-3.4515212294645607,8.4908984375,7.9483203125,8.98021563342318,8.485239294710329,4.978997613365155,4.313380281690141,0.0961599506824863,0.09043282533160996,0.01940846960120775,0.021671204392087702,0.9656324582338902,0.7607981220657277,0.9921875,0.986328125,0.7926014319809069,0.687793427230047
nominal_ft,F1,201357000,2,262144,0.7578125,0.794921875,0.037109375,0.02734375,0.23828125,0.205078125,8.248046875,8.40234375,-3.3881204812787473,-2.982993465848267,8.6243359375,8.0075390625,9.03819587628866,8.424914004914005,4.956429078853895,4.198047419804742,0.0949439041955223,0.08820301181015937,0.019318041658995207,0.02045029791839474,0.9895808666824533,0.7431427243142724,0.9921875,0.990234375,0.7833293866919252,0.6880520688052069
nominal_ft,F1,201357000,4,524288,0.75,0.779296875,0.029296875,0.01953125,0.25,0.220703125,8.236328125,8.353515625,-3.2516976804472506,-3.3352381116710603,8.563242187500002,7.9972265625,8.995729166666667,8.459999999999999,4.935024899217453,4.320551788636895,0.0950738758957937,0.09042197246115596,0.018728247590730798,0.02102246710142073,0.9084657339340764,0.7535655833528174,0.99609375,0.9921875,0.7825468342423524,0.6747720364741642
nominal_ft,F1,201357001,0,0,0.73046875,0.77734375,0.046875,0.0,0.26953125,0.22265625,8.205078125,8.283203125,-3.7322639795020223,-3.4303955202922225,8.5195703125,7.9798828125,8.922032085561497,8.501557788944723,5.058081409188288,4.3617071445413815,0.09758781481973948,0.09067724013021025,0.020233213039292392,0.021106150861230747,1.0211854320399905,0.777175194529592,0.994140625,0.986328125,0.8076648417043562,0.7005423249233671
nominal_ft,F1,201357001,1,131072,0.734375,0.80078125,0.06640625,0.00390625,0.263671875,0.19921875,8.1328125,8.412109375,-3.516301069408655,-2.8900050199590623,8.487890625,8.023203125,8.92654255319149,8.45439024390244,5.0343419788664745,4.118179707452984,0.09657140227345944,0.08643387830218993,0.01957596005987016,0.01944568804752393,0.9507684918347743,0.7278848386347806,0.994140625,0.9921875,0.7814601344860711,0.676340840492222
nominal_ft,F1,201357001,2,262144,0.751953125,0.80078125,0.048828125,0.021484375,0.248046875,0.19921875,8.109375,8.5234375,-3.2503140582703054,-3.1455751820467412,8.372499999999999,8.0929296875,8.919428571428572,8.478390243902439,4.8795761078998074,4.164757103574702,0.09469711107793372,0.08784674122377267,0.019004813223581114,0.020963900966300523,0.930635838150289,0.7401466544454629,0.998046875,0.986328125,0.7769749518304432,0.6750687442713107
nominal_ft,F1,201357001,4,524288,0.712890625,0.814453125,0.1015625,-0.017578125,0.287109375,0.185546875,7.990234375,8.46484375,-3.724229972809553,-2.6701873475685716,8.378007812499998,8.087578125,8.97841095890411,8.470455635491607,5.138841359080909,4.156437471158283,0.09821565948796375,0.08711275972990987,0.01980751981348472,0.019715090623793997,1.010021999511122,0.7295800646054453,0.994140625,0.99609375,0.8164263016377414,0.6748961698200276
nominal_ft,F1,201357002,0,0,0.73046875,0.77734375,0.046875,0.0,0.26953125,0.22265625,8.205078125,8.283203125,-3.7322639795020223,-3.4303955202922225,8.5195703125,7.9798828125,8.922032085561497,8.501557788944723,5.058081409188288,4.3617071445413815,0.09758781481973948,0.09067724013021025,0.020233213039292392,0.021106150861230747,1.0211854320399905,0.777175194529592,0.994140625,0.986328125,0.8076648417043562,0.7005423249233671
nominal_ft,F1,201357002,1,131072,0.74609375,0.775390625,0.029296875,0.015625,0.25390625,0.224609375,8.1328125,8.33203125,-3.3913455177098513,-3.1289983363822103,8.4353515625,8.0069140625,8.972041884816754,8.501259445843829,4.9193083573487035,4.277543366150961,0.09504735001968094,0.08916122296647917,0.019283500430721356,0.020861318872502282,0.9404418828049952,0.7684013127051101,0.994140625,0.98828125,0.7814601344860711,0.6858884200656352
nominal_ft,F1,201357002,2,262144,0.748046875,0.802734375,0.0546875,0.017578125,0.251953125,0.197265625,8.154296875,8.345703125,-2.9117598589509726,-2.936718987300992,8.363710937499999,7.974570312500001,8.865013054830287,8.451289537712897,4.753772455089821,4.201263749122396,0.09287238862085553,0.0880337400624054,0.018189505702274667,0.020093197069858112,0.8495808383233533,0.7645682190498478,0.9921875,0.98828125,0.74562874251497,0.6896793821670957
nominal_ft,F1,201357002,4,524288,0.744140625,0.78515625,0.041015625,0.013671875,0.25390625,0.21484375,8.2421875,8.32421875,-3.6417583734728396,-2.9893314628861845,8.6087109375,7.93890625,8.957952755905511,8.475124378109452,5.033412322274882,4.148287189113092,0.0964865711057568,0.0871499143852467,0.01950449922457469,0.020190306156700668,0.9819905213270143,0.7529328953542938,0.994140625,0.990234375,0.7893364928909953,0.6886438291881746
nominal_ft,F2,201357000,0,0,0.689453125,0.763671875,0.07421875,0.0,0.30859375,0.236328125,8.056640625,8.17578125,-4.9892104510217905,-4.1299211089499295,8.510625000000001,8.015390625,9.083116147308782,8.65846547314578,5.532606060606061,4.669851887243191,0.1049239920687376,0.09543651373821847,0.021686363631236077,0.022436695777925005,1.0295757575757576,0.8029144768275203,0.990234375,0.978515625,0.8106666666666666,0.7267080745341615
nominal_ft,F2,201357000,1,131072,0.677734375,0.734375,0.056640625,-0.01171875,0.3203125,0.265625,7.98828125,8.091796875,-4.610748060513288,-4.2037799851968884,8.492617187499999,7.856718750000001,9.080403458213256,8.553617021276596,5.435452322738386,4.572773352643012,0.10245111792871565,0.0943857765049818,0.020497364194607078,0.022182138944500527,0.9667481662591687,0.7651460294472604,0.990234375,0.982421875,0.8144254278728607,0.6871832005792904
nominal_ft,F2,201357000,2,262144,0.7265625,0.701171875,-0.025390625,0.037109375,0.2734375,0.298828125,8.125,7.943359375,-4.225302746053785,-4.230918543413281,8.4883984375,7.7083984375000005,9.034139784946236,8.551309192200558,5.310096153846154,4.626260142611262,0.10186237649733322,0.09554817949172727,0.020504288469974378,0.02247102124426355,0.9721153846153846,0.7937054339808213,0.994140625,0.978515625,0.7829326923076924,0.7184656995328251
nominal_ft,F2,201357000,4,524288,0.669921875,0.734375,0.064453125,-0.01953125,0.330078125,0.265625,7.9375,8.072265625,-4.216952588409185,-4.060215605888516,8.2798828125,7.877812500000001,8.953877551020408,8.566648936170214,5.315698818897638,4.578272441325914,0.10217252848347605,0.0940338767900353,0.020304965724319227,0.02252450190684613,0.9397145669291339,0.7807887732881684,0.986328125,0.984375,0.796998031496063,0.6977982095330268
nominal_ft,F2,201357001,0,0,0.689453125,0.763671875,0.07421875,0.0,0.30859375,0.236328125,8.056640625,8.17578125,-4.9892104510217905,-4.1299211089499295,8.510625000000001,8.015390625,9.083116147308782,8.65846547314578,5.532606060606061,4.669851887243191,0.1049239920687376,0.09543651373821847,0.021686363631236077,0.022436695777925005,1.0295757575757576,0.8029144768275203,0.990234375,0.978515625,0.8106666666666666,0.7267080745341615
