training_seed,evaluation_seed,episode,failure_type,side_edge_breach,max_abs_centerline_error,max_abs_heading_error,correction_max,max_riser
142,1510000,0,non_lateral_high_cbf_demand,False,0.2594970762729645,1.0052013397216797,0.5572136044502258,7
142,1510000,1,non_lateral_high_cbf_demand,False,0.28491249680519104,0.5733572840690613,0.6518511176109314,9
142,1510000,2,non_lateral_high_cbf_demand,False,0.5676723718643188,1.4228885173797607,0.6039147973060608,7
142,1510000,3,non_lateral_high_cbf_demand,False,0.36128756403923035,1.0693724155426025,0.6192149519920349,11
142,1510000,4,lateral_heading_drift,True,2.0529091358184814,2.8710010051727295,1.067083477973938,6
142,1510000,6,non_lateral_high_cbf_demand,False,0.530738890171051,1.3544851541519165,0.6026232242584229,10
142,1510000,7,lateral_heading_drift,True,1.394382357597351,1.6381001472473145,0.37300005555152893,10
142,1510000,8,non_lateral_balance_or_phase,False,0.7251303791999817,1.5119438171386719,0.15537738800048828,11
142,1510000,13,lateral_heading_drift,True,1.5208508968353271,1.7272199392318726,0.5483823418617249,11
142,1510000,14,non_lateral_high_cbf_demand,False,0.6086342334747314,1.2174186706542969,0.7001029849052429,10
142,1510000,40,non_lateral_high_cbf_demand,False,0.22744552791118622,0.8742698431015015,0.6429757475852966,11
142,1510000,46,lateral_heading_drift,True,1.3255590200424194,1.6601786613464355,0.2554800808429718,10
142,1510000,59,lateral_heading_drift,True,1.4707608222961426,1.8437153100967407,0.5045810341835022,11
142,1510000,89,lateral_heading_drift,True,1.5201802253723145,1.9454426765441895,0.6718591451644897,11
142,1510000,99,lateral_heading_drift,True,1.4566764831542969,1.7614586353302002,0.3489305377006531,11
142,1510000,100,lateral_heading_drift,True,2.2506771087646484,1.8696904182434082,0.6399565935134888,11
142,1510000,114,lateral_heading_drift,True,1.5292078256607056,1.9516174793243408,0.5727011561393738,11
142,1510001,0,non_lateral_high_cbf_demand,False,0.44750383496284485,1.1946591138839722,0.9280107021331787,5
142,1510001,1,non_lateral_balance_or_phase,False,0.44269615411758423,1.3936351537704468,0.2873837649822235,4
142,1510001,2,non_lateral_high_cbf_demand,False,0.4457581341266632,1.1071542501449585,0.6480941772460938,9
142,1510001,3,lateral_heading_drift,True,1.3758354187011719,1.74750816822052,1.036895513534546,6
142,1510001,4,non_lateral_high_cbf_demand,False,0.28214529156684875,1.0331687927246094,1.1270161867141724,11
142,1510001,5,lateral_heading_drift,True,1.8670284748077393,2.356050729751587,0.9404535889625549,5
142,1510001,6,non_lateral_high_cbf_demand,False,0.5775215029716492,1.4490097761154175,0.5759786367416382,10
142,1510001,7,non_lateral_high_cbf_demand,False,0.2027214616537094,0.7835747599601746,0.5891793370246887,11
142,1510001,9,non_lateral_high_cbf_demand,False,0.4160919785499573,1.231796145439148,0.8041857481002808,11
142,1510001,10,non_lateral_high_cbf_demand,False,0.0885612741112709,0.872410237789154,0.9860620498657227,11
142,1510001,11,non_lateral_high_cbf_demand,False,0.7894805073738098,1.4873602390289307,0.5863633155822754,11
142,1510001,18,non_lateral_high_cbf_demand,False,0.3199848234653473,0.9510663151741028,1.0441268682479858,11
142,1510001,20,lateral_heading_drift,True,1.7494901418685913,1.863785743713379,0.7713466882705688,10
142,1510001,22,non_lateral_high_cbf_demand,False,0.3078048825263977,1.0655848979949951,0.881936252117157,8
142,1510001,45,lateral_heading_drift,False,0.3788300156593323,1.612941861152649,0.41193124651908875,11
142,1510001,60,lateral_heading_drift,True,1.583598256111145,1.6850391626358032,0.31943708658218384,9
142,1510001,62,lateral_heading_drift,True,1.5474441051483154,1.9045665264129639,0.2695401608943939,11
142,1510001,67,lateral_heading_drift,True,1.541502594947815,1.8955620527267456,0.9253630042076111,11
142,1510001,89,lateral_heading_drift,True,2.2557523250579834,1.713969111442566,1.714247226715088,11
142,1510001,102,lateral_heading_drift,True,1.5577781200408936,2.5524182319641113,0.6413516402244568,11
142,1510001,116,lateral_heading_drift,True,1.4455630779266357,2.021536350250244,0.5824604034423828,11
142,1510001,121,lateral_heading_drift,True,1.5364388227462769,1.7927747964859009,0.44340038299560547,11
142,1510001,123,lateral_heading_drift,True,1.8880301713943481,3.005849599838257,0.5220791101455688,11
142,1510002,0,non_lateral_balance_or_phase,False,0.11520279198884964,0.6977774500846863,0.25991958379745483,2
142,1510002,1,non_lateral_high_cbf_demand,False,0.4130372405052185,0.741611897945404,1.1320914030075073,6
142,1510002,2,lateral_heading_drift,True,1.444494366645813,2.521127700805664,0.544452965259552,7
142,1510002,3,lateral_heading_drift,True,1.3928662538528442,2.24637770652771,0.6195811033248901,6
142,1510002,4,non_lateral_high_cbf_demand,False,0.15494976937770844,0.9211617708206177,0.6925105452537537,9
142,1510002,5,non_lateral_high_cbf_demand,False,0.10243107378482819,0.759873628616333,0.6262164115905762,10
142,1510002,6,non_lateral_balance_or_phase,False,0.44583046436309814,1.0339267253875732,0.47293621301651,7
142,1510002,7,non_lateral_high_cbf_demand,False,0.2899106740951538,1.0128099918365479,0.5248547196388245,10
142,1510002,8,lateral_heading_drift,True,2.231792688369751,3.0703494548797607,0.47236788272857666,4
142,1510002,9,non_lateral_balance_or_phase,False,0.1727001816034317,1.1210180521011353,0.44936877489089966,11
142,1510002,10,non_lateral_high_cbf_demand,False,0.6846628785133362,1.3122745752334595,0.6737200617790222,10
142,1510002,11,non_lateral_high_cbf_demand,False,0.47112134099006653,1.492686152458191,0.7569680213928223,7
142,1510002,12,non_lateral_balance_or_phase,False,0.3020956516265869,1.150967001914978,0.43351590633392334,10
142,1510002,13,non_lateral_high_cbf_demand,False,0.17091447114944458,0.7726767659187317,0.7505141496658325,11
142,1510002,15,non_lateral_balance_or_phase,False,0.3723786473274231,1.365612268447876,0.4283214509487152,11
142,1510002,20,lateral_heading_drift,True,1.4936950206756592,1.4021120071411133,0.737348198890686,7
142,1510002,21,lateral_heading_drift,True,1.5245356559753418,1.8880118131637573,0.5748445391654968,10
142,1510002,32,non_lateral_high_cbf_demand,False,0.6114529371261597,1.1141548156738281,0.7748496532440186,11
142,1510002,66,lateral_heading_drift,True,1.4832102060317993,1.503554344177246,0.14120018482208252,11
142,1510002,67,lateral_heading_drift,True,1.512891411781311,1.5828700065612793,0.6312413215637207,11
142,1510002,69,lateral_heading_drift,True,1.4665087461471558,1.813271403312683,0.28543055057525635,11
142,1510002,100,lateral_heading_drift,True,1.5212700366973877,1.785551905632019,0.5920407176017761,11
142,1510002,101,lateral_heading_drift,True,1.8150159120559692,2.1474289894104004,0.19201485812664032,11
142,1510002,107,lateral_heading_drift,True,2.329061508178711,3.1076419353485107,0.8175293207168579,11
142,1510002,108,lateral_heading_drift,True,1.4723446369171143,1.4877314567565918,0.37822383642196655,11
142,1510002,117,lateral_heading_drift,False,0.7110912203788757,1.879657506942749,0.7966530323028564,11
142,1510003,0,non_lateral_balance_or_phase,False,0.34279707074165344,1.0586521625518799,0.2384546846151352,3
142,1510003,1,non_lateral_high_cbf_demand,False,0.21925491094589233,0.8759585022926331,0.809943437576294,4
142,1510003,2,lateral_heading_drift,True,1.6836295127868652,1.8541960716247559,1.4210537672042847,7
142,1510003,3,lateral_heading_drift,False,0.23128272593021393,1.577839970588684,0.410708487033844,10
142,1510003,4,lateral_heading_drift,False,0.9110262393951416,1.6924151182174683,0.2998412549495697,8
142,1510003,5,lateral_heading_drift,False,0.45032811164855957,1.9171478748321533,0.7040382623672485,7
142,1510003,6,non_lateral_balance_or_phase,False,0.444071888923645,1.1823948621749878,0.39169076085090637,10
142,1510003,7,lateral_heading_drift,True,1.6477832794189453,1.7979278564453125,0.4952782988548279,10
142,1510003,10,non_lateral_high_cbf_demand,False,0.6762308478355408,1.0519276857376099,1.1514164209365845,10
142,1510003,12,lateral_heading_drift,True,1.4419187307357788,1.819822907447815,0.8213263750076294,10
142,1510003,13,lateral_heading_drift,True,1.3863250017166138,1.7543320655822754,0.4241100549697876,11
142,1510003,68,lateral_heading_drift,True,1.6935997009277344,1.9447728395462036,0.7113252282142639,10
142,1510003,112,lateral_heading_drift,True,1.8676486015319824,2.115220785140991,0.4166110157966614,11
142,1510003,114,lateral_heading_drift,True,1.6184824705123901,2.090954542160034,0.6296985149383545,11
142,1510003,115,lateral_heading_drift,True,1.4816268682479858,2.060605049133301,0.6465105414390564,11
142,1510003,117,lateral_heading_drift,True,1.5916130542755127,2.0272603034973145,0.6755309104919434,11
142,1510003,119,lateral_heading_drift,True,1.6877243518829346,2.026618003845215,1.157230019569397,11
242,1520000,0,non_lateral_balance_or_phase,False,0.3613114356994629,1.1591428518295288,0.42571964859962463,4
242,1520000,1,non_lateral_balance_or_phase,False,0.46492812037467957,1.4148731231689453,0.3376694321632385,7
242,1520000,2,non_lateral_balance_or_phase,False,0.1416464000940323,0.621968150138855,0.21624961495399475,8
242,1520000,3,lateral_heading_drift,True,1.5478869676589966,1.8764839172363281,0.2619105279445648,4
242,1520000,4,non_lateral_high_cbf_demand,False,0.6698248982429504,1.377227783203125,0.6424182653427124,8
242,1520000,5,lateral_heading_drift,False,0.860351026058197,1.45546293258667,0.41226860880851746,10
242,1520000,6,non_lateral_balance_or_phase,False,0.1941956877708435,1.0290669202804565,0.48826363682746887,10
242,1520000,7,non_lateral_balance_or_phase,False,0.20825231075286865,1.0334837436676025,0.297823041677475,10
242,1520000,8,non_lateral_balance_or_phase,False,0.7703300714492798,1.469220519065857,0.37066811323165894,10
242,1520000,9,lateral_heading_drift,True,1.4907965660095215,2.6554837226867676,0.3441908657550812,6
242,1520000,11,non_lateral_high_cbf_demand,False,0.24333426356315613,0.8139936327934265,0.8810665011405945,9
242,1520000,13,lateral_heading_drift,True,1.5183649063110352,1.8100090026855469,0.5252636671066284,10
242,1520000,17,lateral_heading_drift,False,0.8234363198280334,1.4427622556686401,0.6343511939048767,10
242,1520000,22,lateral_heading_drift,True,1.9150278568267822,1.724592685699463,0.9261826872825623,11
242,1520000,25,lateral_heading_drift,False,0.8888430595397949,1.4416269063949585,0.6143101453781128,11
242,1520000,36,non_lateral_balance_or_phase,False,0.6604934930801392,1.026094675064087,0.48401185870170593,10
242,1520000,68,lateral_heading_drift,True,1.4024014472961426,1.629475474357605,1.3821485042572021,11
242,1520000,100,lateral_heading_drift,True,1.7526756525039673,1.8079001903533936,0.596801221370697,11
242,1520000,103,non_lateral_balance_or_phase,False,0.6679704785346985,1.4215928316116333,0.4989764392375946,11
242,1520000,106,lateral_heading_drift,True,1.9935401678085327,3.098330497741699,0.5745331048965454,11
242,1520000,125,lateral_heading_drift,True,1.5028529167175293,2.305590867996216,0.31536155939102173,11
242,1520000,127,lateral_heading_drift,True,2.961747884750366,2.4910430908203125,2.2643847465515137,9
242,1520001,0,non_lateral_balance_or_phase,False,0.44799870252609253,1.467155933380127,0.36386749148368835,2
