rank,candidate,omega,lambda_x,lambda_s,A1_mean_interference,A2_mean_on_success,mean_correction_jerk,mean_intervention_events_per_riser,mean_unsafe_overlap_steps_per_riser
1,w08_x00_s00,8.0,0.0,0.0,0.2734375,0.5963541666666666,1938.3661900339778,2.068840560828862,0.8058476854020596
2,w12_x00_s01,12.0,0.0,0.1,0.30859375,0.5651041666666666,2026.6715576962342,2.092492160012269,0.8122423328404297
3,w08_x08_s01,8.0,8.0,0.1,0.3033854166666667,0.5638020833333334,2156.796315397726,2.0988483739594135,0.8303059576894959
4,w08_x08_s00,8.0,8.0,0.0,0.3111979166666667,0.5611979166666666,2190.656586790563,2.127647634755138,0.8326769023901668
