round,configured_runtime_filter_fraction,rollout_success_rate,rollout_fall_rate,rollout_filter_on_episode_count,rollout_filter_on_success_rate,rollout_filter_on_fall_rate,rollout_filter_off_episode_count,rollout_filter_off_success_rate,rollout_filter_off_fall_rate,rollout_mean_return,rollout_mean_reached_riser,actor_loss,value_loss,moving_forward_kl,behavior_approx_kl,clip_fraction,action_mean_shift,actor_gradient_norm,actor_gradient_clipped_fraction,teacher_transition_count,teacher_fraction_among_interventions,teacher_weight_sum,teacher_loss,teacher_huber_loss_mean,teacher_smooth_l1_beta,mean_cbf_correction_norm,mean_residual_target_norm,mean_policy_to_target_distance_before_update,mean_policy_to_target_distance_after_update,teacher_mode,teacher_gate_mode,teacher_eta,cbf_intervention_count,cbf_intervention_per_riser,toe_riser_kick_event_count,round_start_actor_sha256,round_end_actor_sha256,epoch_moving_forward_kl_json,minibatch_diagnostics_json,teacher_error_before_action_00,teacher_error_before_action_01,teacher_error_before_action_02,teacher_error_before_action_03,teacher_error_before_action_04,teacher_error_before_action_05,teacher_error_before_action_06,teacher_error_before_action_07,teacher_error_before_action_08,teacher_error_before_action_09,teacher_error_before_action_10,teacher_error_before_action_11,teacher_error_after_action_00,teacher_error_after_action_01,teacher_error_after_action_02,teacher_error_after_action_03,teacher_error_after_action_04,teacher_error_after_action_05,teacher_error_after_action_06,teacher_error_after_action_07,teacher_error_after_action_08,teacher_error_after_action_09,teacher_error_after_action_10,teacher_error_after_action_11
1,0.0,0.6731517509727627,0.32684824902723736,0,,,257,0.6731517509727627,0.32684824902723736,7.837310910688764,7.856031128404669,0.002448281040415168,0.34181828796863556,0.0006336917285807431,0.000639899168163538,0.14743804931640625,0.0023424933897331357,43.03373336791992,1.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,none,none,0.0,0,0.0,1920.0,4a4926d9227c31fb239ceead6c39bed61304d1f2c7e3a47aea510e060cee2acd,529402fdda8997a4f7e29a21710c9cd05217133b423e3d69ffc556fe9f9a89c6,"[0.0011679972521960735,0.0006336917285807431]","[{""accumulated_microbatches"":1,""action_mean_shift"":0.003672124585136771,""actor_gradient_norm_pre_clip"":7.917430877685547,""behavior_approximate_kl"":0.0028116328176110983,""clip_fraction"":0.46905517578125,""epoch"":1,""minibatch"":1,""moving_forward_kl"":0.0029559968970716},{""accumulated_microbatches"":1,""action_mean_shift"":0.0026693856343626976,""actor_gradient_norm_pre_clip"":43.03373336791992,""behavior_approximate_kl"":0.0015071012312546372,""clip_fraction"":0.338653564453125,""epoch"":1,""minibatch"":2,""moving_forward_kl"":0.001518679317086935},{""accumulated_microbatches"":1,""action_mean_shift"":0.002710847184062004,""actor_gradient_norm_pre_clip"":26.734329223632812,""behavior_approximate_kl"":0.001948316814377904,""clip_fraction"":0.3355712890625,""epoch"":1,""minibatch"":3,""moving_forward_kl"":0.0015997327864170074},{""accumulated_microbatches"":1,""action_mean_shift"":0.002340423408895731,""actor_gradient_norm_pre_clip"":26.505226135253906,""behavior_approximate_kl"":0.0014943212736397982,""clip_fraction"":0.274993896484375,""epoch"":1,""minibatch"":4,""moving_forward_kl"":0.0011646351777017117},{""accumulated_microbatches"":1,""action_mean_shift"":0.002014581114053726,""actor_gradient_norm_pre_clip"":23.367597579956055,""behavior_approximate_kl"":0.0011832626769319177,""clip_fraction"":0.210723876953125,""epoch"":2,""minibatch"":1,""moving_forward_kl"":0.000864637375343591},{""accumulated_microbatches"":1,""action_mean_shift"":0.001895408146083355,""actor_gradient_norm_pre_clip"":19.988780975341797,""behavior_approximate_kl"":0.0006524319178424776,""clip_fraction"":0.181121826171875,""epoch"":2,""minibatch"":2,""moving_forward_kl"":0.0007706753676757216},{""accumulated_microbatches"":1,""action_mean_shift"":0.001712721772491932,""actor_gradient_norm_pre_clip"":21.74921226501465,""behavior_approximate_kl"":0.000433278240961954,""clip_fraction"":0.144073486328125,""epoch"":2,""minibatch"":3,""moving_forward_kl"":0.0006315300124697387},{""accumulated_microbatches"":1,""action_mean_shift"":0.0017244552727788687,""actor_gradient_norm_pre_clip"":16.297035217285156,""behavior_approximate_kl"":0.0006286386051215231,""clip_fraction"":0.146209716796875,""epoch"":2,""minibatch"":4,""moving_forward_kl"":0.0006342283450067043}]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.6844106463878327,0.3155893536121673,0,,,263,0.6844106463878327,0.3155893536121673,8.181531859894669,7.863117870722434,7.611834007548168e-05,0.31082983687520027,0.000450021616416052,0.0005632847896777093,0.09149169921875,0.0014330782723845914,19.79230499267578,1.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,none,none,0.0,0,0.0,1928.0,529402fdda8997a4f7e29a21710c9cd05217133b423e3d69ffc556fe9f9a89c6,b26cb4a5dce32028362dc942f7bbc8173b94e7141aa60527df76da60eb2e056d,"[0.00044664996676146984,0.000450021616416052]","[{""accumulated_microbatches"":1,""action_mean_shift"":0.0011010699672624469,""actor_gradient_norm_pre_clip"":6.984222412109375,""behavior_approximate_kl"":0.00030454975785687566,""clip_fraction"":0.035491943359375,""epoch"":1,""minibatch"":1,""moving_forward_kl"":0.0002618319122120738},{""accumulated_microbatches"":1,""action_mean_shift"":0.0017016605706885457,""actor_gradient_norm_pre_clip"":10.677820205688477,""behavior_approximate_kl"":0.0005525919259525836,""clip_fraction"":0.14630126953125,""epoch"":1,""minibatch"":2,""moving_forward_kl"":0.0006269548321142793},{""accumulated_microbatches"":1,""action_mean_shift"":0.0016849514795467257,""actor_gradient_norm_pre_clip"":19.79230499267578,""behavior_approximate_kl"":0.0005430043675005436,""clip_fraction"":0.14215087890625,""epoch"":1,""minibatch"":3,""moving_forward_kl"":0.0006078749429434538},{""accumulated_microbatches"":1,""action_mean_shift"":0.0014531488995999098,""actor_gradient_norm_pre_clip"":18.935861587524414,""behavior_approximate_kl"":0.0007394844433292747,""clip_fraction"":0.091552734375,""epoch"":1,""minibatch"":4,""moving_forward_kl"":0.0004473431617952883},{""accumulated_microbatches"":1,""action_mean_shift"":0.0013637817464768887,""actor_gradient_norm_pre_clip"":11.670501708984375,""behavior_approximate_kl"":0.0005525493179447949,""clip_fraction"":0.07525634765625,""epoch"":2,""minibatch"":1,""moving_forward_kl"":0.00039774199831299484},{""accumulated_microbatches"":1,""action_mean_shift"":0.0014137581456452608,""actor_gradient_norm_pre_clip"":11.44826889038086,""behavior_approximate_kl"":0.0003949871752411127,""clip_fraction"":0.08721923828125,""epoch"":2,""minibatch"":2,""moving_forward_kl"":0.00043601967627182603},{""accumulated_microbatches"":1,""action_mean_shift"":0.0013049393892288208,""actor_gradient_norm_pre_clip"":13.592737197875977,""behavior_approximate_kl"":0.0006684525869786739,""clip_fraction"":0.067108154296875,""epoch"":2,""minibatch"":3,""moving_forward_kl"":0.00036996373091824353},{""accumulated_microbatches"":1,""action_mean_shift"":0.0014413159806281328,""actor_gradient_norm_pre_clip"":12.702214241027832,""behavior_approximate_kl"":0.0006085721543058753,""clip_fraction"":0.092803955078125,""epoch"":2,""minibatch"":4,""moving_forward_kl"":0.00044894652091898024}]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.7372549019607844,0.2627450980392157,0,,,255,0.7372549019607844,0.2627450980392157,8.346744059581383,8.08235294117647,-3.74540250049904e-05,0.7293171659111977,0.0005128203192725778,0.0006298759253695607,0.10800933837890625,0.0014373092126334086,15.632617950439453,1.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,none,none,0.0,0,0.0,1960.0,b26cb4a5dce32028362dc942f7bbc8173b94e7141aa60527df76da60eb2e056d,57795f76e57036878e8d373f9d1601431593ccaca62f6508dd96208b94975c92,"[0.0004944410175085068,0.0005128203192725778]","[{""accumulated_microbatches"":1,""action_mean_shift"":0.0010018814355134964,""actor_gradient_norm_pre_clip"":11.633915901184082,""behavior_approximate_kl"":0.0002257811138406396,""clip_fraction"":0.0316162109375,""epoch"":1,""minibatch"":1,""moving_forward_kl"":0.00022723956499248743},{""accumulated_microbatches"":1,""action_mean_shift"":0.001592121203429997,""actor_gradient_norm_pre_clip"":10.574482917785645,""behavior_approximate_kl"":0.0003941837348975241,""clip_fraction"":0.120391845703125,""epoch"":1,""minibatch"":2,""moving_forward_kl"":0.0005417803768068552},{""accumulated_microbatches"":1,""action_mean_shift"":0.0016963817179203033,""actor_gradient_norm_pre_clip"":15.632617950439453,""behavior_approximate_kl"":0.0004254757659509778,""clip_fraction"":0.14532470703125,""epoch"":1,""minibatch"":3,""moving_forward_kl"":0.0006033321260474622},{""accumulated_microbatches"":1,""action_mean_shift"":0.0015259886858984828,""actor_gradient_norm_pre_clip"":12.479677200317383,""behavior_approximate_kl"":0.00042136694537475705,""clip_fraction"":0.103271484375,""epoch"":1,""minibatch"":4,""moving_forward_kl"":0.0004912768490612507},{""accumulated_microbatches"":1,""action_mean_shift"":0.0013771236408501863,""actor_gradient_norm_pre_clip"":11.115516662597656,""behavior_approximate_kl"":0.0005211068782955408,""clip_fraction"":0.076507568359375,""epoch"":2,""minibatch"":1,""moving_forward_kl"":0.00039779351209290326},{""accumulated_microbatches"":1,""action_mean_shift"":0.0013705447781831026,""actor_gradient_norm_pre_clip"":9.115898132324219,""behavior_approximate_kl"":0.00031811604276299477,""clip_fraction"":0.077972412109375,""epoch"":2,""minibatch"":2,""moving_forward_kl"":0.00040945372893474996},{""accumulated_microbatches"":1,""action_mean_shift"":0.001411506556905806,""actor_gradient_norm_pre_clip"":7.5079731941223145,""behavior_approximate_kl"":0.0003517201403155923,""clip_fraction"":0.088531494140625,""epoch"":2,""minibatch"":3,""moving_forward_kl"":0.000443615106632933},{""accumulated_microbatches"":1,""action_mean_shift"":0.0015229256823658943,""actor_gradient_norm_pre_clip"":8.725505828857422,""behavior_approximate_kl"":0.0007748880889266729,""clip_fraction"":0.1060791015625,""epoch"":2,""minibatch"":4,""moving_forward_kl"":0.0005109184421598911}]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.6339622641509434,0.3660377358490566,0,,,265,0.6339622641509434,0.3660377358490566,7.587110041672329,7.683018867924528,4.1622843127697706e-05,0.24228952825069427,0.00044878904009237885,0.0005531478673219681,0.0921173095703125,0.0014205747793312185,17.294607162475586,1.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,none,none,0.0,0,0.0,1895.0,57795f76e57036878e8d373f9d1601431593ccaca62f6508dd96208b94975c92,ab94298b9f62a6164dcae0bb076a70af35a7e3a0c07df3c2005b5afe8bec486c,"[0.0005485126166604459,0.00044878904009237885]","[{""accumulated_microbatches"":1,""action_mean_shift"":0.0009390998748131096,""actor_gradient_norm_pre_clip"":7.158959865570068,""behavior_approximate_kl"":7.574429037049413e-05,""clip_fraction"":0.031219482421875,""epoch"":1,""minibatch"":1,""moving_forward_kl"":0.00021227725665085018},{""accumulated_microbatches"":1,""action_mean_shift"":0.0014025146374478936,""actor_gradient_norm_pre_clip"":11.863992691040039,""behavior_approximate_kl"":0.0003027217462658882,""clip_fraction"":0.090850830078125,""epoch"":1,""minibatch"":2,""moving_forward_kl"":0.0004357189463917166},{""accumulated_microbatches"":1,""action_mean_shift"":0.0014758367324247956,""actor_gradient_norm_pre_clip"":17.294607162475586,""behavior_approximate_kl"":0.000683664227835834,""clip_fraction"":0.097076416015625,""epoch"":1,""minibatch"":3,""moving_forward_kl"":0.0004606964357662946},{""accumulated_microbatches"":1,""action_mean_shift"":0.001630363054573536,""actor_gradient_norm_pre_clip"":15.014458656311035,""behavior_approximate_kl"":0.0004269584605935961,""clip_fraction"":0.125091552734375,""epoch"":1,""minibatch"":4,""moving_forward_kl"":0.0005490884650498629},{""accumulated_microbatches"":1,""action_mean_shift"":0.0016718104016035795,""actor_gradient_norm_pre_clip"":16.864444732666016,""behavior_approximate_kl"":0.001070392201654613,""clip_fraction"":0.1346435546875,""epoch"":2,""minibatch"":1,""moving_forward_kl"":0.0005781947402283549},{""accumulated_microbatches"":1,""action_mean_shift"":0.0014515997609123588,""actor_gradient_norm_pre_clip"":17.076828002929688,""behavior_approximate_kl"":0.00019742624135687947,""clip_fraction"":0.0933837890625,""epoch"":2,""minibatch"":2,""moving_forward_kl"":0.0004453799920156598},{""accumulated_microbatches"":1,""action_mean_shift"":0.0013480553170666099,""actor_gradient_norm_pre_clip"":12.559030532836914,""behavior_approximate_kl"":0.0008423210820183158,""clip_fraction"":0.076812744140625,""epoch"":2,""minibatch"":3,""moving_forward_kl"":0.00039748960989527404},{""accumulated_microbatches"":1,""action_mean_shift"":0.0014453184558078647,""actor_gradient_norm_pre_clip"":13.739545822143555,""behavior_approximate_kl"":0.000336636119754985,""clip_fraction"":0.09124755859375,""epoch"":2,""minibatch"":4,""moving_forward_kl"":0.00044741560122929513}]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
