round,configured_runtime_filter_fraction,rollout_success_rate,rollout_fall_rate,rollout_filter_on_episode_count,rollout_filter_on_success_rate,rollout_filter_on_fall_rate,rollout_filter_off_episode_count,rollout_filter_off_success_rate,rollout_filter_off_fall_rate,rollout_mean_return,rollout_mean_reached_riser,actor_loss,value_loss,moving_forward_kl,behavior_approx_kl,clip_fraction,action_mean_shift,actor_gradient_norm,actor_gradient_clipped_fraction,teacher_transition_count,teacher_fraction_among_interventions,teacher_weight_sum,teacher_loss,teacher_huber_loss_mean,teacher_smooth_l1_beta,mean_cbf_correction_norm,mean_residual_target_norm,mean_policy_to_target_distance_before_update,mean_policy_to_target_distance_after_update,teacher_mode,teacher_gate_mode,teacher_eta,cbf_intervention_count,cbf_intervention_per_riser,toe_riser_kick_event_count,round_start_actor_sha256,round_end_actor_sha256,epoch_moving_forward_kl_json,minibatch_diagnostics_json,teacher_error_before_action_00,teacher_error_before_action_01,teacher_error_before_action_02,teacher_error_before_action_03,teacher_error_before_action_04,teacher_error_before_action_05,teacher_error_before_action_06,teacher_error_before_action_07,teacher_error_before_action_08,teacher_error_before_action_09,teacher_error_before_action_10,teacher_error_before_action_11,teacher_error_after_action_00,teacher_error_after_action_01,teacher_error_after_action_02,teacher_error_after_action_03,teacher_error_after_action_04,teacher_error_after_action_05,teacher_error_after_action_06,teacher_error_after_action_07,teacher_error_after_action_08,teacher_error_after_action_09,teacher_error_after_action_10,teacher_error_after_action_11
1,1.0,0.7323420074349443,0.26765799256505574,269,0.7323420074349443,0.26765799256505574,0,,,8.47728033934384,8.037174721189592,0.002079466372379102,0.34135257452726364,0.0005019748350605369,0.0005768667324446142,0.1079864501953125,0.0022785493201809004,42.13222885131836,1.0,0.0,0.0,0.0,0.0,0.0,0.05,0.6060752272605896,0.0,0.0,0.0,none,none,0.0,13108,4.963271617889404,1846.0,4a4926d9227c31fb239ceead6c39bed61304d1f2c7e3a47aea510e060cee2acd,5127895b898efcf9a046b3399da7d6d1425530086eb6b31c680b2d67777e1994,"[0.0009353637578897178,0.0005019748350605369]","[{""accumulated_microbatches"":1,""action_mean_shift"":0.0033607473596930504,""actor_gradient_norm_pre_clip"":8.103032112121582,""behavior_approximate_kl"":0.0029232283122837543,""clip_fraction"":0.4267578125,""epoch"":1,""minibatch"":1,""moving_forward_kl"":0.002491990104317665},{""accumulated_microbatches"":1,""action_mean_shift"":0.002992865163832903,""actor_gradient_norm_pre_clip"":42.13222885131836,""behavior_approximate_kl"":0.0017986259190365672,""clip_fraction"":0.3875732421875,""epoch"":1,""minibatch"":2,""moving_forward_kl"":0.0018694675527513027},{""accumulated_microbatches"":1,""action_mean_shift"":0.0023841755464673042,""actor_gradient_norm_pre_clip"":34.08208465576172,""behavior_approximate_kl"":0.0009419710841029882,""clip_fraction"":0.28076171875,""epoch"":1,""minibatch"":3,""moving_forward_kl"":0.0012582531198859215},{""accumulated_microbatches"":1,""action_mean_shift"":0.0020928881131112576,""actor_gradient_norm_pre_clip"":23.43008041381836,""behavior_approximate_kl"":0.0012685523834079504,""clip_fraction"":0.22412109375,""epoch"":1,""minibatch"":4,""moving_forward_kl"":0.0009324515704065561},{""accumulated_microbatches"":1,""action_mean_shift"":0.0020149871706962585,""actor_gradient_norm_pre_clip"":21.320602416992188,""behavior_approximate_kl"":0.001236640033312142,""clip_fraction"":0.20684814453125,""epoch"":2,""minibatch"":1,""moving_forward_kl"":0.000878671882674098},{""accumulated_microbatches"":1,""action_mean_shift"":0.002087043132632971,""actor_gradient_norm_pre_clip"":19.195457458496094,""behavior_approximate_kl"":0.0012547466903924942,""clip_fraction"":0.226898193359375,""epoch"":2,""minibatch"":2,""moving_forward_kl"":0.0009199869818985462},{""accumulated_microbatches"":1,""action_mean_shift"":0.0017672426765784621,""actor_gradient_norm_pre_clip"":22.709007263183594,""behavior_approximate_kl"":0.000763534102588892,""clip_fraction"":0.1578369140625,""epoch"":2,""minibatch"":3,""moving_forward_kl"":0.0006603101501241326},{""accumulated_microbatches"":1,""action_mean_shift"":0.0015284453984349966,""actor_gradient_norm_pre_clip"":17.448123931884766,""behavior_approximate_kl"":0.00041885185055434704,""clip_fraction"":0.107818603515625,""epoch"":2,""minibatch"":4,""moving_forward_kl"":0.0005023150006309152}]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1.0,0.7362637362637363,0.26373626373626374,273,0.7362637362637363,0.26373626373626374,0,,,8.748843069041605,8.139194139194139,3.3353528124280274e-05,0.336096353828907,0.00042852573096752167,0.0005835463525727391,0.0863037109375,0.0014631699887104332,16.889801025390625,1.0,0.0,0.0,0.0,0.0,0.0,0.05,0.5747729539871216,0.0,0.0,0.0,none,none,0.0,12583,4.750094413757324,1872.0,5127895b898efcf9a046b3399da7d6d1425530086eb6b31c680b2d67777e1994,0a4398a288e75f5f3be09da07324047d3bab4958b628358631cfc16898ddfd77,"[0.0005643764743581414,0.00042852573096752167]","[{""accumulated_microbatches"":1,""action_mean_shift"":0.00119482958689332,""actor_gradient_norm_pre_clip"":7.586686611175537,""behavior_approximate_kl"":0.0003141316119581461,""clip_fraction"":0.04840087890625,""epoch"":1,""minibatch"":1,""moving_forward_kl"":0.0003045335179194808},{""accumulated_microbatches"":1,""action_mean_shift"":0.0015553649282082915,""actor_gradient_norm_pre_clip"":11.080384254455566,""behavior_approximate_kl"":0.00018691536388359964,""clip_fraction"":0.115386962890625,""epoch"":1,""minibatch"":2,""moving_forward_kl"":0.00052113167475909},{""accumulated_microbatches"":1,""action_mean_shift"":0.0015434696106240153,""actor_gradient_norm_pre_clip"":15.337664604187012,""behavior_approximate_kl"":0.0003688369761221111,""clip_fraction"":0.110870361328125,""epoch"":1,""minibatch"":3,""moving_forward_kl"":0.0005076018860563636},{""accumulated_microbatches"":1,""action_mean_shift"":0.0016413384582847357,""actor_gradient_norm_pre_clip"":14.630040168762207,""behavior_approximate_kl"":0.0010381524916738272,""clip_fraction"":0.130767822265625,""epoch"":1,""minibatch"":4,""moving_forward_kl"":0.0005640697199851274},{""accumulated_microbatches"":1,""action_mean_shift"":0.001437610131688416,""actor_gradient_norm_pre_clip"":16.889801025390625,""behavior_approximate_kl"":0.0004862368805333972,""clip_fraction"":0.08331298828125,""epoch"":2,""minibatch"":1,""moving_forward_kl"":0.00043365306919440627},{""accumulated_microbatches"":1,""action_mean_shift"":0.0015020471764728427,""actor_gradient_norm_pre_clip"":9.793740272521973,""behavior_approximate_kl"":0.0006356582744047046,""clip_fraction"":0.101287841796875,""epoch"":2,""minibatch"":2,""moving_forward_kl"":0.00047895818715915084},{""accumulated_microbatches"":1,""action_mean_shift"":0.001407793490216136,""actor_gradient_norm_pre_clip"":15.045026779174805,""behavior_approximate_kl"":0.0007908291299827397,""clip_fraction"":0.081146240234375,""epoch"":2,""minibatch"":3,""moving_forward_kl"":0.00041693655657581985},{""accumulated_microbatches"":1,""action_mean_shift"":0.0014229065272957087,""actor_gradient_norm_pre_clip"":15.18565559387207,""behavior_approximate_kl"":0.0005844567785970867,""clip_fraction"":0.083404541015625,""epoch"":2,""minibatch"":4,""moving_forward_kl"":0.0004280066932551563}]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,1.0,0.701067615658363,0.298932384341637,281,0.701067615658363,0.298932384341637,0,,,8.236744969765063,7.879003558718861,0.0001199778271256946,0.2820974737405777,0.0004217128735035658,0.0005583989550359547,0.08553314208984375,0.0014305626827990636,20.706689834594727,1.0,0.0,0.0,0.0,0.0,0.0,0.05,0.589772641658783,0.0,0.0,0.0,none,none,0.0,12770,4.800751686096191,1822.0,0a4398a288e75f5f3be09da07324047d3bab4958b628358631cfc16898ddfd77,1c8d875b2b21c0d727b589479d26e97fe9bd274741afd57530e43ad95899f7d2,"[0.0004870202101301402,0.0004217128735035658]","[{""accumulated_microbatches"":1,""action_mean_shift"":0.0009702580282464623,""actor_gradient_norm_pre_clip"":8.379728317260742,""behavior_approximate_kl"":0.00015869716298766434,""clip_fraction"":0.022552490234375,""epoch"":1,""minibatch"":1,""moving_forward_kl"":0.00020502216648310423},{""accumulated_microbatches"":1,""action_mean_shift"":0.001480370876379311,""actor_gradient_norm_pre_clip"":9.223464965820312,""behavior_approximate_kl"":0.0004666438326239586,""clip_fraction"":0.101287841796875,""epoch"":1,""minibatch"":2,""moving_forward_kl"":0.000469988735858351},{""accumulated_microbatches"":1,""action_mean_shift"":0.0015412862412631512,""actor_gradient_norm_pre_clip"":17.27960968017578,""behavior_approximate_kl"":0.0005060860421508551,""clip_fraction"":0.107452392578125,""epoch"":1,""minibatch"":3,""moving_forward_kl"":0.0004953989991918206},{""accumulated_microbatches"":1,""action_mean_shift"":0.0015133230481296778,""actor_gradient_norm_pre_clip"":15.107650756835938,""behavior_approximate_kl"":0.0006578441243618727,""clip_fraction"":0.1046142578125,""epoch"":1,""minibatch"":4,""moving_forward_kl"":0.00048528393381275237},{""accumulated_microbatches"":1,""action_mean_shift"":0.001315282890573144,""actor_gradient_norm_pre_clip"":13.760364532470703,""behavior_approximate_kl"":0.0005668699741363525,""clip_fraction"":0.067779541015625,""epoch"":2,""minibatch"":1,""moving_forward_kl"":0.00037102203350514174},{""accumulated_microbatches"":1,""action_mean_shift"":0.0015553742414340377,""actor_gradient_norm_pre_clip"":12.042328834533691,""behavior_approximate_kl"":0.0003594208974391222,""clip_fraction"":0.11376953125,""epoch"":2,""minibatch"":2,""moving_forward_kl"":0.0005116427782922983},{""accumulated_microbatches"":1,""action_mean_shift"":0.0016579503426328301,""actor_gradient_norm_pre_clip"":16.96029281616211,""behavior_approximate_kl"":0.0003452200617175549,""clip_fraction"":0.136260986328125,""epoch"":2,""minibatch"":3,""moving_forward_kl"":0.0005843515391461551},{""accumulated_microbatches"":1,""action_mean_shift"":0.0014106557937338948,""actor_gradient_norm_pre_clip"":20.706689834594727,""behavior_approximate_kl"":0.0007013998692855239,""clip_fraction"":0.085357666015625,""epoch"":2,""minibatch"":4,""moving_forward_kl"":0.00042365360422991216}]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,1.0,0.7158671586715867,0.28413284132841327,271,0.7158671586715867,0.28413284132841327,0,,,8.59816146776685,8.051660516605166,-6.933725671842694e-06,0.26832353323698044,0.00040053261909633875,0.0005207856302149594,0.07843017578125,0.0014086232986301184,17.8483943939209,1.0,0.0,0.0,0.0,0.0,0.0,0.05,0.558428168296814,0.0,0.0,0.0,none,none,0.0,12613,4.790353298187256,1817.0,1c8d875b2b21c0d727b589479d26e97fe9bd274741afd57530e43ad95899f7d2,37ff777029f192700daf2aef276ba3cc199c6548e3fd88c1ec51bea2fa237f30,"[0.00041523680556565523,0.00040053261909633875]","[{""accumulated_microbatches"":1,""action_mean_shift"":0.0011957089882344007,""actor_gradient_norm_pre_clip"":8.702003479003906,""behavior_approximate_kl"":0.00041490208241157234,""clip_fraction"":0.049560546875,""epoch"":1,""minibatch"":1,""moving_forward_kl"":0.00030365970451384783},{""accumulated_microbatches"":1,""action_mean_shift"":0.0015753561165183783,""actor_gradient_norm_pre_clip"":11.906014442443848,""behavior_approximate_kl"":0.0004929388524033129,""clip_fraction"":0.12347412109375,""epoch"":1,""minibatch"":2,""moving_forward_kl"":0.0005276326555758715},{""accumulated_microbatches"":1,""action_mean_shift"":0.0012658777413889766,""actor_gradient_norm_pre_clip"":17.8483943939209,""behavior_approximate_kl"":1.462758518755436e-06,""clip_fraction"":0.0604248046875,""epoch"":1,""minibatch"":3,""moving_forward_kl"":0.0003423619200475514},{""accumulated_microbatches"":1,""action_mean_shift"":0.0013929384294897318,""actor_gradient_norm_pre_clip"":11.847633361816406,""behavior_approximate_kl"":0.0005240258760750294,""clip_fraction"":0.0849609375,""epoch"":1,""minibatch"":4,""moving_forward_kl"":0.0004158270894549787},{""accumulated_microbatches"":1,""action_mean_shift"":0.0015059169381856918,""actor_gradient_norm_pre_clip"":15.200023651123047,""behavior_approximate_kl"":0.0006486844504252076,""clip_fraction"":0.10418701171875,""epoch"":2,""minibatch"":1,""moving_forward_kl"":0.0004795003333128989},{""accumulated_microbatches"":1,""action_mean_shift"":0.0014783538645133376,""actor_gradient_norm_pre_clip"":15.465293884277344,""behavior_approximate_kl"":0.00042733896407298744,""clip_fraction"":0.096832275390625,""epoch"":2,""minibatch"":2,""moving_forward_kl"":0.0004620386753231287},{""accumulated_microbatches"":1,""action_mean_shift"":0.0014816215261816978,""actor_gradient_norm_pre_clip"":17.6352596282959,""behavior_approximate_kl"":0.0005738895270042121,""clip_fraction"":0.10113525390625,""epoch"":2,""minibatch"":3,""moving_forward_kl"":0.0004741830634884536},{""accumulated_microbatches"":1,""action_mean_shift"":0.0013732127845287323,""actor_gradient_norm_pre_clip"":12.200221061706543,""behavior_approximate_kl"":0.0005940865376032889,""clip_fraction"":0.07537841796875,""epoch"":2,""minibatch"":4,""moving_forward_kl"":0.0003999747277703136}]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
