round,configured_runtime_filter_fraction,rollout_success_rate,rollout_fall_rate,rollout_filter_on_episode_count,rollout_filter_on_success_rate,rollout_filter_on_fall_rate,rollout_filter_off_episode_count,rollout_filter_off_success_rate,rollout_filter_off_fall_rate,rollout_mean_return,rollout_mean_reached_riser,actor_loss,value_loss,moving_forward_kl,behavior_approx_kl,clip_fraction,action_mean_shift,actor_gradient_norm,actor_gradient_clipped_fraction,teacher_transition_count,teacher_fraction_among_interventions,teacher_weight_sum,teacher_loss,teacher_huber_loss_mean,teacher_smooth_l1_beta,mean_cbf_correction_norm,mean_residual_target_norm,mean_policy_to_target_distance_before_update,mean_policy_to_target_distance_after_update,teacher_mode,teacher_gate_mode,teacher_eta,cbf_intervention_count,cbf_intervention_per_riser,toe_riser_kick_event_count,round_start_actor_sha256,round_end_actor_sha256,epoch_moving_forward_kl_json,minibatch_diagnostics_json,teacher_error_before_action_00,teacher_error_before_action_01,teacher_error_before_action_02,teacher_error_before_action_03,teacher_error_before_action_04,teacher_error_before_action_05,teacher_error_before_action_06,teacher_error_before_action_07,teacher_error_before_action_08,teacher_error_before_action_09,teacher_error_before_action_10,teacher_error_before_action_11,teacher_error_after_action_00,teacher_error_after_action_01,teacher_error_after_action_02,teacher_error_after_action_03,teacher_error_after_action_04,teacher_error_after_action_05,teacher_error_after_action_06,teacher_error_after_action_07,teacher_error_after_action_08,teacher_error_after_action_09,teacher_error_after_action_10,teacher_error_after_action_11
1,0.0,0.6931818181818182,0.3068181818181818,0,,,264,0.6931818181818182,0.3068181818181818,7.383776108423869,8.06439393939394,0.00258791571832262,0.2952468544244766,0.0005334944580681622,0.0004844075010623783,0.11711883544921875,0.0023924644046928734,42.64082717895508,1.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,none,none,0.0,0,0.0,1979.0,4a4926d9227c31fb239ceead6c39bed61304d1f2c7e3a47aea510e060cee2acd,0af2326a52a71b299edb059f8cfec716353f8a746a0564f3f11b322e3b59fca2,"[0.0010060665663331747,0.0005334944580681622]","[{""accumulated_microbatches"":1,""action_mean_shift"":0.0037086368538439274,""actor_gradient_norm_pre_clip"":8.268741607666016,""behavior_approximate_kl"":0.0036231386475265026,""clip_fraction"":0.475067138671875,""epoch"":1,""minibatch"":1,""moving_forward_kl"":0.00301665673032403},{""accumulated_microbatches"":1,""action_mean_shift"":0.003050365252420306,""actor_gradient_norm_pre_clip"":42.64082717895508,""behavior_approximate_kl"":0.0015214476734399796,""clip_fraction"":0.40130615234375,""epoch"":1,""minibatch"":2,""moving_forward_kl"":0.0019879848696291447},{""accumulated_microbatches"":1,""action_mean_shift"":0.0023789338301867247,""actor_gradient_norm_pre_clip"":35.60357666015625,""behavior_approximate_kl"":0.0014295073924586177,""clip_fraction"":0.279388427734375,""epoch"":1,""minibatch"":3,""moving_forward_kl"":0.0012528127990663052},{""accumulated_microbatches"":1,""action_mean_shift"":0.002169223502278328,""actor_gradient_norm_pre_clip"":26.38028907775879,""behavior_approximate_kl"":0.0011257175356149673,""clip_fraction"":0.239166259765625,""epoch"":1,""minibatch"":4,""moving_forward_kl"":0.0010044248774647713},{""accumulated_microbatches"":1,""action_mean_shift"":0.002251924015581608,""actor_gradient_norm_pre_clip"":22.008073806762695,""behavior_approximate_kl"":0.0011909413151443005,""clip_fraction"":0.25677490234375,""epoch"":2,""minibatch"":1,""moving_forward_kl"":0.0010668293107300997},{""accumulated_microbatches"":1,""action_mean_shift"":0.0021569663658738136,""actor_gradient_norm_pre_clip"":23.436588287353516,""behavior_approximate_kl"":0.0010135939810425043,""clip_fraction"":0.240966796875,""epoch"":2,""minibatch"":2,""moving_forward_kl"":0.0009653508896008134},{""accumulated_microbatches"":1,""action_mean_shift"":0.0018558891024440527,""actor_gradient_norm_pre_clip"":23.558879852294922,""behavior_approximate_kl"":0.00046945910435169935,""clip_fraction"":0.1754150390625,""epoch"":2,""minibatch"":3,""moving_forward_kl"":0.0007174988277256489},{""accumulated_microbatches"":1,""action_mean_shift"":0.0015677763149142265,""actor_gradient_norm_pre_clip"":18.108552932739258,""behavior_approximate_kl"":0.0005694330320693552,""clip_fraction"":0.117889404296875,""epoch"":2,""minibatch"":4,""moving_forward_kl"":0.0005331469001248479}]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.7421875,0.2578125,0,,,256,0.7421875,0.2578125,8.205432489514351,8.27734375,0.00020527953165583313,0.2694123648107052,0.0005225567147135735,0.0005199357401579618,0.116424560546875,0.0015754790656501427,21.381193161010742,1.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,none,none,0.0,0,0.0,1939.0,0af2326a52a71b299edb059f8cfec716353f8a746a0564f3f11b322e3b59fca2,25f8e31730508ab9446808733166880a0726b3c23a2e7afaf3466cfaa19cab58,"[0.0005826300475746393,0.0005225567147135735]","[{""accumulated_microbatches"":1,""action_mean_shift"":0.0012274805922061205,""actor_gradient_norm_pre_clip"":9.497235298156738,""behavior_approximate_kl"":0.0003956070286221802,""clip_fraction"":0.056976318359375,""epoch"":1,""minibatch"":1,""moving_forward_kl"":0.00032625519088469446},{""accumulated_microbatches"":1,""action_mean_shift"":0.0017214042600244284,""actor_gradient_norm_pre_clip"":12.648419380187988,""behavior_approximate_kl"":0.0007515060133300722,""clip_fraction"":0.147857666015625,""epoch"":1,""minibatch"":2,""moving_forward_kl"":0.0006170981214381754},{""accumulated_microbatches"":1,""action_mean_shift"":0.0018311283783987164,""actor_gradient_norm_pre_clip"":20.097837448120117,""behavior_approximate_kl"":0.0005852704052813351,""clip_fraction"":0.173980712890625,""epoch"":1,""minibatch"":3,""moving_forward_kl"":0.0006986760417930782},{""accumulated_microbatches"":1,""action_mean_shift"":0.0016667430754750967,""actor_gradient_norm_pre_clip"":21.381193161010742,""behavior_approximate_kl"":0.0006373072974383831,""clip_fraction"":0.136993408203125,""epoch"":1,""minibatch"":4,""moving_forward_kl"":0.0005820172955282032},{""accumulated_microbatches"":1,""action_mean_shift"":0.001365853939205408,""actor_gradient_norm_pre_clip"":15.306621551513672,""behavior_approximate_kl"":0.0004582286346703768,""clip_fraction"":0.074920654296875,""epoch"":2,""minibatch"":1,""moving_forward_kl"":0.0003949595266021788},{""accumulated_microbatches"":1,""action_mean_shift"":0.0015962785109877586,""actor_gradient_norm_pre_clip"":10.113943099975586,""behavior_approximate_kl"":0.0003075320564676076,""clip_fraction"":0.121307373046875,""epoch"":2,""minibatch"":2,""moving_forward_kl"":0.000539900385774672},{""accumulated_microbatches"":1,""action_mean_shift"":0.0016247995663434267,""actor_gradient_norm_pre_clip"":16.483198165893555,""behavior_approximate_kl"":0.0007439215551130474,""clip_fraction"":0.124969482421875,""epoch"":2,""minibatch"":3,""moving_forward_kl"":0.000552536454051733},{""accumulated_microbatches"":1,""action_mean_shift"":0.0015701442025601864,""actor_gradient_norm_pre_clip"":17.72467041015625,""behavior_approximate_kl"":0.0003173610311932862,""clip_fraction"":0.118560791015625,""epoch"":2,""minibatch"":4,""moving_forward_kl"":0.0005240635946393013}]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.749034749034749,0.25096525096525096,0,,,259,0.749034749034749,0.25096525096525096,8.48931036768733,8.27027027027027,-9.488414798397571e-05,0.23157797940075397,0.00038916614721529186,0.00042464956641197205,0.07534027099609375,0.0012845344535890035,15.435863494873047,1.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,none,none,0.0,0,0.0,1922.0,25f8e31730508ab9446808733166880a0726b3c23a2e7afaf3466cfaa19cab58,71565e9e0b447f88d9ea4ad0868d1e0ca2fa2ecd495412123be291dfe43cee7f,"[0.00032139482209458947,0.00038916614721529186]","[{""accumulated_microbatches"":1,""action_mean_shift"":0.000976449518930167,""actor_gradient_norm_pre_clip"":9.103672981262207,""behavior_approximate_kl"":0.00013544400280807167,""clip_fraction"":0.028472900390625,""epoch"":1,""minibatch"":1,""moving_forward_kl"":0.00021257394109852612},{""accumulated_microbatches"":1,""action_mean_shift"":0.001445561763830483,""actor_gradient_norm_pre_clip"":9.381990432739258,""behavior_approximate_kl"":0.00019237281230743974,""clip_fraction"":0.099945068359375,""epoch"":1,""minibatch"":2,""moving_forward_kl"":0.0004572404723148793},{""accumulated_microbatches"":1,""action_mean_shift"":0.0013648332096636295,""actor_gradient_norm_pre_clip"":15.435863494873047,""behavior_approximate_kl"":0.00034985196543857455,""clip_fraction"":0.08013916015625,""epoch"":1,""minibatch"":3,""moving_forward_kl"":0.00039883487625047565},{""accumulated_microbatches"":1,""action_mean_shift"":0.0012151881819590926,""actor_gradient_norm_pre_clip"":13.156134605407715,""behavior_approximate_kl"":0.0002467047597747296,""clip_fraction"":0.055938720703125,""epoch"":1,""minibatch"":4,""moving_forward_kl"":0.0003205114044249058},{""accumulated_microbatches"":1,""action_mean_shift"":0.0012992625124752522,""actor_gradient_norm_pre_clip"":9.465253829956055,""behavior_approximate_kl"":0.0003384641604498029,""clip_fraction"":0.071807861328125,""epoch"":2,""minibatch"":1,""moving_forward_kl"":0.0003681296366266906},{""accumulated_microbatches"":1,""action_mean_shift"":0.0013233897043392062,""actor_gradient_norm_pre_clip"":11.219451904296875,""behavior_approximate_kl"":0.0005336595932021737,""clip_fraction"":0.066558837890625,""epoch"":2,""minibatch"":2,""moving_forward_kl"":0.0003695941704791039},{""accumulated_microbatches"":1,""action_mean_shift"":0.0012953353580087423,""actor_gradient_norm_pre_clip"":10.676992416381836,""behavior_approximate_kl"":0.00039159832522273064,""clip_fraction"":0.062591552734375,""epoch"":2,""minibatch"":3,""moving_forward_kl"":0.00035159397521056235},{""accumulated_microbatches"":1,""action_mean_shift"":0.0013562553795054555,""actor_gradient_norm_pre_clip"":12.267851829528809,""behavior_approximate_kl"":0.00044888901174999774,""clip_fraction"":0.0733642578125,""epoch"":2,""minibatch"":4,""moving_forward_kl"":0.0003886009508278221}]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.7335907335907336,0.26640926640926643,0,,,259,0.7335907335907336,0.26640926640926643,8.087487981126115,8.181467181467182,5.8608187828212976e-05,0.22508589923381805,0.00046476462739519775,0.0005441971006803215,0.09703826904296875,0.0014416734338738024,20.981504440307617,1.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,none,none,0.0,0,0.0,1869.0,71565e9e0b447f88d9ea4ad0868d1e0ca2fa2ecd495412123be291dfe43cee7f,8f92b4ccef53caca1a0c185db51bfe1d64c852bd2ba8cd627004df6b7e3eae10,"[0.00038082071114331484,0.00046476462739519775]","[{""accumulated_microbatches"":1,""action_mean_shift"":0.001163280801847577,""actor_gradient_norm_pre_clip"":7.641712188720703,""behavior_approximate_kl"":0.0004210477927699685,""clip_fraction"":0.050994873046875,""epoch"":1,""minibatch"":1,""moving_forward_kl"":0.00029739364981651306},{""accumulated_microbatches"":1,""action_mean_shift"":0.0016934724990278482,""actor_gradient_norm_pre_clip"":12.204662322998047,""behavior_approximate_kl"":0.0008325498783960938,""clip_fraction"":0.1455078125,""epoch"":1,""minibatch"":2,""moving_forward_kl"":0.0006168066756799817},{""accumulated_microbatches"":1,""action_mean_shift"":0.0016005879733711481,""actor_gradient_norm_pre_clip"":20.981504440307617,""behavior_approximate_kl"":0.0005265641957521439,""clip_fraction"":0.123321533203125,""epoch"":1,""minibatch"":3,""moving_forward_kl"":0.0005474787903949618},{""accumulated_microbatches"":1,""action_mean_shift"":0.001341554569080472,""actor_gradient_norm_pre_clip"":15.207718849182129,""behavior_approximate_kl"":0.000533736078068614,""clip_fraction"":0.072509765625,""epoch"":1,""minibatch"":4,""moving_forward_kl"":0.0003818691475316882},{""accumulated_microbatches"":1,""action_mean_shift"":0.0013690576888620853,""actor_gradient_norm_pre_clip"":10.123323440551758,""behavior_approximate_kl"":0.00029243744211271405,""clip_fraction"":0.076629638671875,""epoch"":2,""minibatch"":1,""moving_forward_kl"":0.00039882512646727264},{""accumulated_microbatches"":1,""action_mean_shift"":0.0014649494551122189,""actor_gradient_norm_pre_clip"":10.043701171875,""behavior_approximate_kl"":0.0008562979637645185,""clip_fraction"":0.092254638671875,""epoch"":2,""minibatch"":2,""moving_forward_kl"":0.00044858272303827107},{""accumulated_microbatches"":1,""action_mean_shift"":0.0014240867458283901,""actor_gradient_norm_pre_clip"":11.413675308227539,""behavior_approximate_kl"":0.0005040274700149894,""clip_fraction"":0.089874267578125,""epoch"":2,""minibatch"":3,""moving_forward_kl"":0.00043126591481268406},{""accumulated_microbatches"":1,""action_mean_shift"":0.0014763977378606796,""actor_gradient_norm_pre_clip"":11.048063278198242,""behavior_approximate_kl"":0.00045692489948123693,""clip_fraction"":0.096405029296875,""epoch"":2,""minibatch"":4,""moving_forward_kl"":0.0004647279274649918}]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
