arm,teacher_name,teacher_mode,teacher_gate,teacher_eta,teacher_weight,target_base_on_success,target_round8_on_success,target_on_gain_over_base,target_base_off_success,target_round8_off_success,target_off_gain_over_base,target_round8_on_fall,target_round8_off_fall,target_round8_on_return,target_round8_on_mean_riser,target_round8_on_completion_time_s,target_round8_on_intervention_steps_per_riser,target_round8_off_would_intervene_fraction,target_round8_off_mean_correction_norm,target_round8_off_nominal_violation_steps_per_riser,target_round8_off_kick_events_per_riser,target_round8_off_unsafe_overlap_steps_per_riser,target_round8_off_minimum_nominal_barrier_margin,target_repairs_vs_base_on,target_regressions_vs_base_on,D0_base_on_success,D0_round8_on_success,D0_on_gain_over_base,moving_KL_round8,final_checkpoint_sha256
A0,no_teacher_control,none,none,0.0,0.0,0.76171875,0.75,-0.01171875,0.6328125,0.671875,0.0390625,0.25,0.328125,-5.3366863233968616,8.24609375,8.467890624999999,6.060634770251066,0.11696092225298416,0.02560147770587452,6.26095423563778,0.7599805258033107,0.868062317429406,-17.962983403354883,37,40,0.9609375,0.953125,-0.0078125,0.0005796024342998862,a86de945a924871ce1908d381386d19b5df2f96b857b402095448286efddc816
A1,v29_full_action_nll_no_kl_rollback,full_action,local_success_50,1.0,0.1,0.76171875,0.765625,0.00390625,0.6328125,0.71875,0.0859375,0.234375,0.28125,-3.0352108497172594,8.29296875,7.06296875,3.4912859161563823,0.07274337605241535,0.01320586773155835,3.272727272727273,0.6786916786916787,0.7643097643097643,-13.981249869801104,50,49,0.9609375,0.9609375,0.0,0.5888065099716187,c535756f021d7dfb8c261ebb0e0cf6902f98d354cd55cf8069232b708a9ad44a
A2,residual_eta_025_all_interventions,residual,all_interventions,0.25,1.0,0.76171875,0.7890625,0.02734375,0.6328125,0.66015625,0.02734375,0.2109375,0.33984375,-4.781869665719569,8.4375,8.7296875,6.049074074074074,0.11791854790897068,0.02575030840497372,6.343980343980344,0.7041769041769042,0.8093366093366093,-17.880392394959927,48,41,0.9609375,0.890625,-0.0703125,0.0006594512378796935,77b5cfa634a5b6d8c31ef8ff75d0273f35965ad3925febd86091bf2707bd4ef4
A3,residual_eta_050_all_interventions,residual,all_interventions,0.5,1.0,0.76171875,0.75,-0.01171875,0.6328125,0.65234375,0.01953125,0.25,0.34765625,-5.54266575537622,8.09765625,8.47796875,6.414375301495418,0.11617948240551108,0.025748285734993055,6.126476377952756,0.7106299212598425,0.8252952755905512,-17.50166280940175,41,44,0.9609375,0.8984375,-0.0625,0.0006191631546244025,cf3af5d967550d9f92ba71f54cd554ceb06b410f823602edf3ca4409db403675
A4,residual_eta_100_all_interventions,residual,all_interventions,1.0,1.0,0.76171875,0.6796875,-0.08203125,0.6328125,0.64453125,0.01171875,0.3203125,0.35546875,-6.314278228208423,7.8984375,8.22203125,6.4614243323442135,0.11800334748152874,0.025711476724007865,6.24693176239568,0.7152675503190967,0.882179675994109,-17.795534145087004,37,58,0.9609375,0.9375,-0.0234375,0.0005371280713006854,033face7ae47f865f04df30b5977dd436fcf9c7504f4a9326e71672e16233887
A5,residual_eta_050_local_success_50,residual,local_success_50,0.5,1.0,0.76171875,0.70703125,-0.0546875,0.6328125,0.60546875,-0.02734375,0.29296875,0.39453125,-5.535522120073438,8.0546875,8.334765625000001,6.197381183317168,0.1190291834891138,0.02618759912834704,6.390873015873016,0.720734126984127,0.8804563492063492,-18.428247142583132,37,51,0.9609375,0.921875,-0.0390625,0.0005843329709023237,fa2aed1157d2f6a675a4e6e022552177b570ed3acaac2a7bbc4471d3f267086c
